State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	631	618	605	590	581	575	562	551	546	537	529	517	504	489	488	485	476	467	449	429	401	393	388	375	349	340	313	296	290	288	279	269	245	242	222	216	212	197	197	194	177	167	154	146	144	133	121	110	99	93	91	80	74	66	56	50	45	43	35	32	26	13	6	4	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	7	7	7	6	6	6	5	3	3	3	3	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	906	903	885	857	831	807	806	800	799	775	763	747	704	686	680	679	651	624	594	562	542	536	532	517	450	426	395	362	362	348	330	320	304	293	275	275	266	266	249	229	208	187	184	177	169	150	142	131	122	115	108	97	89	80	73	65	64	52	41	32	29	24	20	17	15	13	8	6	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	133	133	125	120	120	119	117	116	113	113	110	107	102	100	98	98	98	97	95	95	94	88	88	88	87	85	83	81	76	73	64	61	59	52	50	49	47	45	45	42	43	42	40	38	37	37	33	30	30	27	24	23	21	18	16	16	16	14	12	12	10	8	7	6	5	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	4213	4156	4068	3973	3884	3814	3795	3774	3708	3630	3542	3436	3334	3302	3261	3204	3108	3032	2934	2847	2770	2745	2678	2585	2504	2412	2317	2254	2215	2171	2073	1982	1887	1809	1755	1710	1651	1562	1469	1354	1268	1208	1166	1072	985	890	821	758	687	651	609	541	492	442	374	343	319	276	237	203	171	153	133	123	101	78	65	53	40	27	27	24	20	18	13	11	6	5	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	1443	1436	1421	1392	1352	1333	1332	1327	1324	1310	1299	1257	1224	1215	1192	1150	1091	1062	1009	987	981	967	960	961	921	903	851	842	832	820	777	766	760	706	680	672	674	552	508	486	449	422	411	391	374	357	329	308	304	274	250	250	193	179	150	140	126	111	97	80	69	51	51	44	31	24	19	11	7	6	5	4	3	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	3944	3912	3868	3826	3769	3769	3742	3693	3675	3637	3582	3529	3472	3449	3408	3339	3285	3219	3125	3041	3008	2967	2932	2874	2797	2718	2633	2495	2436	2339	2339	2257	2168	2089	1998	1924	1862	1764	1639	1544	1423	1331	1086	1036	1036	971	868	671	602	554	494	448	380	277	277	206	189	165	131	112	85	69	36	34	27	27	21	19	12	10	5	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	366	361	356	345	344	335	332	326	324	322	317	310	304	297	290	286	271	260	247	237	225	224	221	213	202	193	187	182	177	168	159	152	144	137	125	120	112	100	92	89	82	72	67	61	61	52	46	41	35	33	33	23	23	16	16	14	14	14	14	12	11	10	6	6	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	2534	2530	2495	2446	2400	2338	2331	2316	2312	2268	2222	2173	2129	2073	2049	2040	1991	1948	1898	1849	1805	1791	1785	1738	1667	1605	1536	1423	1403	1388	1314	1290	1240	1154	1101	1094	1075	1031	979	910	856	806	781	754	699	646	609	537	483	465	438	390	354	309	296	236	218	191	163	128	87	77	63	56	54	34	28	22	18	14	13	12	10	8	7	6	4	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	2042	2003	1974	1962	1907	1871	1830	1824	1811	1785	1754	1687	1664	1642	1606	1592	1557	1527	1505	1461	1441	1405	1400	1377	1336	1311	1288	1222	1177	1174	1154	1120	1093	1026	971	912	904	892	872	836	799	733	687	673	650	587	552	501	464	433	428	416	379	362	329	229	211	201	184	163	139	111	87	80	69	64	48	40	32	25	23	14	13	10	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hawaii	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	16	16	16	16	16	14	14	13	12	12	12	10	10	9	9	9	9	9	9	9	8	8	6	5	5	5	4	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	82	82	82	82	81	79	79	79	79	77	77	77	74	73	73	73	72	69	69	70	67	67	67	67	66	65	64	64	63	63	63	60	60	58	56	56	54	54	54	51	48	45	44	43	41	41	39	33	27	27	25	24	18	15	13	10	10	10	9	9	9	7	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	5390	5330	5270	5186	5083	4923	4884	4856	4790	4715	4607	4525	4379	4234	4177	4129	4058	3928	3792	3601	3459	3406	3349	3241	3111	2974	2838	2662	2618	2559	2457	2355	2215	2125	1983	1933	1874	1795	1688	1565	1468	1349	1290	1259	1134	1072	948	868	794	720	677	596	528	462	380	307	274	243	210	157	141	99	73	65	47	34	26	19	16	12	9	6	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	2134	2125	2110	2068	2030	2004	1976	1976	1943	1941	1913	1864	1824	1765	1751	1741	1691	1646	1619	1578	1540	1508	1490	1447	1414	1377	1326	1264	1246	1229	1175	1114	1065	901	844	813	785	741	706	661	630	569	562	545	519	477	436	388	350	343	330	300	245	203	173	139	127	116	102	78	65	49	35	32	31	24	17	14	12	7	6	4	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	534	531	522	504	491	478	459	454	444	425	406	388	372	355	351	346	336	318	306	289	271	265	252	243	231	219	207	188	184	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	49	43	41	34	31	29	27	26	25	22	14	11	11	9	7	6	4	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	208	208	208	205	205	188	188	185	185	185	178	178	173	173	172	172	172	164	164	158	158	157	157	152	147	144	137	136	134	131	130	129	125	124	120	118	117	111	112	110	107	100	92	86	84	80	76	69	62	56	55	50	42	38	27	25	22	21	17	13	10	9	8	6	5	4	3	3	2	2	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	431	418	409	400	400	391	391	391	391	386	376	366	366	334	334	332	328	326	321	311	304	304	298	294	283	275	261	253	248	248	240	235	225	213	208	205	200	191	185	171	154	148	144	137	129	122	115	104	97	94	90	90	73	65	59	45	40	37	31	20	17	11	9	9	8	6	4	4	4	3	3	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	2791	2785	2766	2740	2722	2701	2690	2690	2668	2668	2629	2608	2581	2563	2491	2479	2448	2417	2381	2347	2308	2286	2267	2227	2208	2115	2115	2064	1969	1950	1927	1862	1802	1758	1697	1670	1644	1601	1540	1473	1405	1328	1296	1267	1213	1156	1103	1013	884	840	806	755	702	652	582	512	477	409	370	310	273	239	185	151	137	119	83	65	46	34	20	16	12	8	6	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maine	89	89	85	84	81	79	78	78	77	75	73	73	73	71	70	70	69	69	66	65	65	64	64	63	62	62	61	57	57	56	55	53	52	51	51	50	50	47	44	39	36	35	34	32	29	27	24	20	19	19	19	17	16	14	12	10	10	10	9	7	7	5	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maryland	2532	2509	2466	2428	2392	2333	2302	2277	2243	2207	2159	2123	2081	2023	1992	1957	1911	1866	1809	1756	1683	1644	1614	1560	1503	1437	1390	1317	1281	1251	1192	1140	1078	1016	945	910	875	798	748	698	652	582	548	534	494	459	413	302	262	235	206	171	138	124	103	91	67	53	42	36	31	18	15	10	5	5	4	4	3	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massachusetts	6846	6768	6718	6640	6473	6473	6416	6372	6304	6228	6148	6066	5938	5797	5797	5705	5592	5482	5315	5141	5108	4979	4840	4702	4552	4420	4212	4090	4004	3846	3716	3562	3405	3153	3003	2899	2877	2877	2769	2597	2449	2303	2146	1983	1822	1667	1502	1329	1211	1056	946	832	725	615	515	448	370	304	265	229	187	153	124	99	72	57	42	33	26	17	11	7	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michigan	5491	5463	5406	5372	5334	5266	5240	5228	5223	5158	5129	5060	5017	4915	4891	4880	4825	4787	4714	4674	4584	4551	4526	4393	4343	4250	4179	4049	4049	4020	3866	3789	3670	3567	3407	3315	3274	3085	2977	2813	2700	2468	2391	2308	2227	2093	1921	1768	1602	1487	1392	1281	1076	959	845	727	617	540	479	417	337	259	184	132	92	92	60	43	24	15	8	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minnesota	1050	1036	1006	977	942	908	890	878	861	851	818	786	757	740	731	709	692	663	638	614	591	578	558	534	508	485	455	428	419	395	371	343	319	301	286	272	244	221	200	179	160	143	134	121	111	94	87	79	70	70	64	57	50	39	34	30	29	24	22	18	17	12	10	9	5	4	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi	734	723	710	693	670	652	635	625	616	596	580	570	554	528	521	510	493	480	465	457	435	430	421	409	396	374	342	310	303	291	281	261	250	239	229	227	221	209	201	193	183	169	159	152	140	129	122	111	98	96	93	82	76	67	59	51	43	35	29	26	22	20	16	14	13	8	6	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Missouri	772	771	738	707	696	686	685	681	676	671	661	631	616	605	594	589	576	562	542	524	488	482	472	449	418	396	377	358	352	351	337	329	318	314	288	274	273	262	218	208	189	177	176	175	165	152	147	133	114	110	109	96	77	58	53	39	34	24	19	19	18	14	13	10	10	8	8	8	3	3	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
