State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	17903	17359	16823	16310	15843	15396	14730	14327	13938	13563	13119	12744	12376	12086	11771	11523	11216	10968	10617	10310	10009	9777	9567	9221	8898	8581	8285	8025	7725	7434	7158	7019	6842	6687	6499	6270	6137	5832	5778	5465	5231	5025	4837	4655	4530	4345	4113	3876	3734	3525	3191	2968	2769	2369	2119	1968	1796	1580	1432	1233	1077	981	859	806	696	587	506	283	215	167	138	124	81	68	46	36	28	12	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	434	434	430	425	412	411	409	408	408	404	402	402	399	399	396	392	388	387	383	383	381	379	378	377	374	372	371	370	368	365	364	355	355	351	345	341	339	339	337	335	329	321	319	314	309	300	293	285	277	272	257	246	235	226	213	191	185	171	157	143	133	119	114	102	85	69	59	42	36	22	22	14	12	6	6	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	19936	19255	18465	17763	17262	16783	16561	16339	16039	15608	15315	14897	14566	14170	13937	13631	13169	12674	12176	11736	11380	11119	10960	10526	9945	9707	9305	8919	8640	8364	7962	7648	7202	6948	6716	6526	6280	6045	5769	5459	5251	5064	4929	4719	4507	4234	3962	3806	3702	3539	3393	3112	3018	2726	2575	2456	2269	2019	1769	1598	1413	1289	1157	919	873	736	577	450	357	265	152	104	65	44	28	20	18	12	12	9	9	9	6	5	5	5	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	7253	7013	6538	6538	6277	6180	6029	5922	5612	5612	5458	5003	4923	4813	4759	4578	4463	4236	4164	4164	4034	3747	3747	3694	3611	3568	3496	3458	3431	3372	3321	3255	3192	3111	3017	2941	2829	2741	2465	2276	2227	1923	1781	1739	1695	1620	1569	1480	1410	1280	1226	1171	1119	1000	946	875	830	743	704	643	584	523	473	426	404	381	335	280	218	174	165	118	96	46	33	22	22	16	12	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	110583	106878	103886	101697	98980	96733	94558	92710	90631	88444	86197	84057	81795	80430	78839	76793	74936	73164	71141	69382	67939	66680	64561	62512	60614	58815	56212	54937	53616	52197	50442	48917	46500	45031	43464	42164	41137	39254	37369	35396	33261	30978	30333	28963	27528	26182	24424	23338	22348	21794	20615	19472	18309	16957	15865	14336	13438	12026	10701	9191	8155	7482	6447	5708	4643	3879	3006	2355	2102	1733	1536	1279	1063	924	611	483	335	293	252	202	202	157	133	114	88	69	60	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	26098	25613	25121	24767	24565	24269	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19899	19703	18827	18801	17830	17364	16907	16635	16225	15768	15284	14758	14735	13879	13441	12968	12256	11262	10878	10447	10106	9730	9433	9047	8675	8280	7941	7691	7684	6893	6510	6510	5655	5429	5172	4950	4565	4173	3728	3342	2966	2627	2627	2061	1734	1430	1086	912	720	591	475	363	277	216	183	160	131	131	101	72	45	28	12	9	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	42201	42022	41762	41559	41303	41303	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29287	29287	28764	28764	27700	26767	26312	25269	25269	24582	23921	23100	22469	20360	19815	17550	16809	16809	15884	14755	13989	13381	12035	11510	10538	9784	7781	7781	6906	5675	5276	4914	3824	3557	3128	2571	1993	1291	1291	1012	875	618	415	223	194	194	96	68	41	26	20	11	6	6	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6447	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2323	2323	2075	2014	1761	1625	1479	1479	1326	1207	928	928	673	673	593	450	393	368	319	264	232	214	163	130	115	91	68	56	45	38	30	25	16	8	6	6	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	56163	55424	54497	53285	52634	52255	51746	50867	50127	49451	48675	47471	46944	46442	45588	44811	43210	43210	42402	41923	40982	40596	40001	39199	38828	38002	37439	36897	36078	35463	34728	33690	33193	32846	32138	31528	30839	30174	28832	28309	27495	26660	25996	25269	24119	22897	22511	21367	20601	19355	18494	17531	16364	15455	14747	13324	12151	11111	9585	8010	6955	6338	5473	4246	3763	2765	2355	1682	1412	1171	830	658	520	390	314	186	141	116	77	50	32	28	19	18	17	14	9	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	46986	46286	45670	45070	44421	43730	43344	42838	42132	41218	40405	39647	38721	38081	37701	37147	36681	35858	35332	34635	33927	33441	32532	32106	31439	30696	29711	29368	28602	28306	27270	26155	25572	24615	23913	23401	22695	22147	21512	20740	19881	18947	18301	17669	17194	15669	14987	14223	13315	12452	12159	11483	10566	9901	8818	7314	6647	6160	5831	5348	4638	3929	2809	2651	2366	2001	1525	1247	1026	772	600	507	420	287	197	146	121	99	66	42	31	22	17	12	7	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
