State	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	119254	117242	116710	115060	114532	112770	112449	111478	110361	109004	108433	107580	106309	105557	104786	103851	103020	101334	98387	98301	96592	94654	93702	92661	91444	89349	87723	85762	83782	82366	81115	79294	78130	76005	74212	71813	70358	68891	67011	65234	63091	61088	59067	57255	55545	53587	51947	50508	49174	46962	45785	44878	43953	42862	41865	40111	38962	38045	37175	35441	35083	34183	33206	32064	31097	30454	30021	29549	29002	28206	27312	26912	26272	25615	24601	23710	22845	21989	21422	20925	20500	20043	19387	19072	18851	18642	18363	17903	17359	16823	16310	15843	15396	14730	14327	13938	13563	13119	12744	12376	12086	11771	11523	11216	10968	10617	10310	10009	9777	9567	9221	8898	8581	8285	8025	7725	7434	7158	7019	6842	6687	6499	6270	6137	5832	5778	5465	5231	5025	4837	4655	4530	4345	4113	3876	3734	3525	3191	2968	2769	2369	2119	1968	1796	1580	1432	1233	1077	981	859	806	696	587	506	283	215	167	138	124	81	68	46	36	28	12	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	5719	5666	5628	5558	5494	5403	5332	5247	5177	5110	5060	4954	4869	4750	4655	4589	4539	4473	4373	4288	4223	4183	4125	4064	3984	3827	3677	3559	3442	3350	3206	3102	2868	2748	2684	2619	2525	2414	2277	2159	2081	2032	1631	1579	1539	1479	1385	1323	1272	1226	1184	1138	1138	1111	1063	1017	978	940	904	883	854	836	816	792	778	761	755	743	722	708	696	676	664	661	654	625	611	593	573	563	544	536	524	513	505	487	467	434	434	430	425	412	411	409	408	408	404	402	402	399	399	396	392	388	387	383	383	381	379	378	377	374	372	371	370	368	365	364	355	355	351	345	341	339	339	337	335	329	321	319	314	309	300	293	285	277	272	257	246	235	226	213	191	185	171	157	143	133	119	114	102	85	69	59	42	36	22	22	14	12	6	6	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	199459	199273	198414	198103	197895	196899	196280	195557	194920	194005	193537	192654	191721	190794	189443	188737	187523	186923	186107	185053	183647	182203	180505	179497	178467	177002	174010	170798	168273	165934	163827	162014	160041	156301	152944	150609	148683	145183	143624	141265	138523	134613	131354	128097	123824	122467	119930	116892	112671	108614	105094	101441	98089	94553	91858	87425	84092	79215	74533	73908	70051	66548	63030	59974	58179	54586	52390	49798	46689	43443	40924	39097	36705	35691	34458	32918	31264	29852	28296	27678	26889	25451	24332	22753	22233	21250	20123	19936	19255	18465	17763	17262	16783	16561	16339	16039	15608	15315	14897	14566	14170	13937	13631	13169	12674	12176	11736	11380	11119	10960	10526	9945	9707	9305	8919	8640	8364	7962	7648	7202	6948	6716	6526	6280	6045	5769	5459	5251	5064	4929	4719	4507	4234	3962	3806	3702	3539	3393	3112	3018	2726	2575	2456	2269	2019	1769	1598	1413	1289	1157	919	873	736	577	450	357	265	152	104	65	44	28	20	18	12	12	9	9	9	6	5	5	5	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	58023	57374	56894	56574	56199	55652	54765	54216	53487	53077	52665	51992	52392	51766	51114	50411	50028	49383	48039	48039	47028	46293	45381	44597	43173	43173	42511	41759	40968	40181	39447	38623	37249	37249	36259	35246	34655	33927	32533	31762	31762	31114	30297	29733	28939	28367	26803	26803	26052	24512	24512	24253	23209	23209	22622	22075	21197	20777	20257	19310	18740	18062	18062	17375	16678	16083	15142	15142	14631	13928	13606	13191	12917	12501	11547	11547	10816	10368	10080	9740	9426	9101	8651	8067	8067	7443	7443	7253	7013	6538	6538	6277	6180	6029	5922	5612	5612	5458	5003	4923	4813	4759	4578	4463	4236	4164	4164	4034	3747	3747	3694	3611	3568	3496	3458	3431	3372	3321	3255	3192	3111	3017	2941	2829	2741	2465	2276	2227	1923	1781	1739	1695	1620	1569	1480	1410	1280	1226	1171	1119	1000	946	875	830	743	704	643	584	523	473	426	404	381	335	280	218	174	165	118	96	46	33	22	22	16	12	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	679099	673095	668615	663669	656892	650336	644751	638831	632667	628031	621562	613689	601075	593141	586056	574411	561911	554160	545787	538416	529980	524722	519427	514901	509162	500130	493588	485502	475305	466550	460550	453659	445400	435334	425616	413576	400769	391538	384692	375363	366164	356178	347634	336508	329162	320804	312344	304297	296499	289468	277774	271684	265985	257388	248235	242547	236139	228732	219252	211243	206433	200461	195571	190222	183073	178054	173824	169309	165416	161099	157015	153560	151452	148855	145643	141983	139281	136191	133489	131319	128812	126016	122901	119807	117687	115310	113006	110583	106878	103886	101697	98980	96733	94558	92710	90631	88444	86197	84057	81795	80430	78839	76793	74936	73164	71141	69382	67939	66680	64561	62512	60614	58815	56212	54937	53616	52197	50442	48917	46500	45031	43464	42164	41137	39254	37369	35396	33261	30978	30333	28963	27528	26182	24424	23338	22348	21794	20615	19472	18309	16957	15865	14336	13438	12026	10701	9191	8155	7482	6447	5708	4643	3879	3006	2355	2102	1733	1536	1279	1063	924	611	483	335	293	252	202	202	157	133	114	88	69	60	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	55800	55341	55143	54883	54586	54230	53901	53631	53370	53176	52838	52538	52219	51756	51441	51039	50660	50324	49893	49436	48988	48394	47968	47716	47267	46809	46204	45796	45314	44565	44336	43789	42980	42314	41698	41059	40566	40142	39788	39344	38726	38155	37686	37242	36913	36591	36191	35525	35116	34664	34257	34065	33866	33619	33352	33029	32715	32511	32307	32022	31796	31479	31155	30893	30705	30539	30349	30187	29901	29673	29442	29299	29130	29017	28822	28647	28499	28347	28183	28001	27848	27615	27360	27060	26788	26577	26378	26098	25613	25121	24767	24565	24269	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19899	19703	18827	18801	17830	17364	16907	16635	16225	15768	15284	14758	14735	13879	13441	12968	12256	11262	10878	10447	10106	9730	9433	9047	8675	8280	7941	7691	7684	6893	6510	6510	5655	5429	5172	4950	4565	4173	3728	3342	2966	2627	2627	2061	1734	1430	1086	912	720	591	475	363	277	216	183	160	131	131	101	72	45	28	12	9	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	52220	52040	52011	51519	51519	51519	51432	51314	51255	51267	50897	50897	50897	50782	50706	50684	50567	50320	50320	50320	50245	50225	50110	50062	49810	49810	49810	49670	49540	49077	48983	48776	48776	48776	48232	48223	48096	48055	47893	47893	47893	47750	47636	47530	47510	47287	47287	47287	47209	47108	47033	46976	46717	46717	46717	46646	46572	46514	46362	46303	46206	46059	45994	45913	45899	45782	45755	45715	45557	45440	45429	45349	45235	45088	44994	44689	44461	44347	44179	44092	43968	43818	43460	43239	43091	42979	42740	42201	42022	41762	41559	41288	41303	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29287	29287	28764	28764	27700	26767	26312	25269	25269	24582	23921	23100	22469	20360	19815	17550	16809	16809	15884	14755	13989	13381	12035	11510	10538	9784	7781	7781	6906	5675	5276	4914	3824	3557	3128	2571	1993	1291	1291	1012	875	618	415	223	194	194	96	68	41	26	20	11	6	6	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	16986	16962	16942	16895	16828	16770	16718	16643	16593	16536	16451	16396	16340	15967	15699	15699	15634	15575	15502	15445	15365	15296	15137	15055	14949	14877	14788	14689	14602	14476	14406	14290	14175	14202	13924	13792	13746	13519	13519	13429	13337	13114	13050	12969	12879	12804	12743	12652	12531	12462	12414	12293	12128	11996	11923	11731	11510	11474	11376	11226	11091	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6447	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2323	2323	2075	2014	1761	1625	1479	1479	1326	1207	928	928	673	673	593	450	393	368	319	264	232	214	163	130	115	91	68	56	45	38	30	25	16	8	6	6	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	608722	605502	602829	600571	597597	593286	588602	584047	579932	576094	573416	569637	563285	557137	550901	542792	536961	532806	526577	518075	510389	502739	497330	491884	487132	480028	470386	461379	451423	441977	432747	423855	414511	402312	389868	379619	369834	360394	350047	337569	327241	315775	301810	291629	282435	269811	254511	244151	232718	223783	213794	206447	200111	190052	178594	169106	158997	152434	146341	141075	132545	122960	114018	109014	103503	100217	97291	93797	89748	85926	82719	80109	77326	75568	73552	70971	69069	67371	66000	64904	63938	62758	61488	60183	58764	57447	56830	56163	55424	54497	53285	52634	52255	51746	50867	50127	49451	48675	47471	46944	46442	45588	44811	43210	43210	42402	41923	40982	40596	40001	39199	38828	38002	37439	36897	36078	35463	34728	33690	33193	32846	32138	31528	30839	30174	28832	28309	27495	26660	25996	25269	24119	22897	22511	21367	20601	19355	18494	17531	16364	15455	14747	13324	12151	11111	9585	8010	6955	6338	5473	4246	3763	2765	2355	1682	1412	1171	830	658	520	390	314	186	141	116	77	50	32	28	19	18	17	14	9	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	260590	258354	256253	253949	252222	249630	246741	243982	241677	238861	237030	235168	231895	228668	226153	222588	219025	216596	213427	209004	204895	201713	197948	195435	193177	190012	186352	182286	178323	175052	170843	167953	165188	161401	156588	152302	148988	145575	143123	139872	135183	131275	127834	123963	120569	116926	114401	111211	106727	103890	100470	97064	95516	93319	90493	87709	84237	81291	79417	77210	74985	72995	71095	69381	67678	65928	64701	63809	62009	60912	60030	59078	58414	57681	56801	55783	54973	53980	53249	52497	51898	51309	50621	49847	48894	48207	47618	46986	46286	45670	45070	44421	43730	43344	42838	42132	41218	40405	39647	38721	38081	37701	37147	36681	35858	35332	34635	33927	33441	32532	32106	31439	30696	29711	29368	28602	28306	27270	26155	25623	24615	23913	23401	22695	22147	21512	20740	19881	18947	18301	17669	17194	15669	14987	14223	13315	12452	12159	11483	10566	9901	8818	7314	6647	6160	5831	5348	4638	3929	2809	2651	2366	2001	1525	1247	1026	772	600	507	420	287	197	146	121	99	66	42	31	22	17	12	7	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
