State	X2020.12.29	X2020.12.28	X2020.12.27	X2020.12.26	X2020.12.25	X2020.12.24	X2020.12.23	X2020.12.22	X2020.12.21	X2020.12.20	X2020.12.19	X2020.12.18	X2020.12.17	X2020.12.16	X2020.12.15	X2020.12.14	X2020.12.13	X2020.12.12	X2020.12.11	X2020.12.10	X2020.12.09	X2020.12.08	X2020.12.07	X2020.12.06	X2020.12.05	X2020.12.04	X2020.12.03	X2020.12.02	X2020.12.01	X2020.11.30	X2020.11.29	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	351804	347897	345628	343458	342426	338801	334569	329811	324832	322452	319904	315683	310335	305640	301533	297895	295631	292841	288775	284922	280187	276665	272229	269877	267589	264199	260359	256828	252900	249524	247229	244993	242874	241957	239318	236865	234080	232506	230708	228373	225910	223486	220848	219232	217822	215843	213617	210637	208637	206567	204857	203687	202482	200714	199158	197777	195929	194892	193985	192285	190496	189149	187706	186437	185322	184355	183276	180916	177064	174528	174528	173485	172626	171662	170374	169162	167977	167193	166076	165342	164526	163465	161975	161418	160477	159713	159169	158380	156698	155744	154701	153554	152983	152321	151591	150658	148206	147153	146584	145780	144962	144164	142863	141757	141087	140160	139459	138755	137646	136703	135565	134417	133606	132973	132314	131803	130393	129285	128239	127616	126058	125235	123889	122185	121023	119254	117242	116710	115060	114532	112770	112449	111478	110361	109004	108433	107580	106309	105557	104786	103851	103020	101334	98387	98301	96592	94654	93702	92661	91444	89349	87723	85762	83782	82366	81115	79294	78130	76005	74212	71813	70358	68891	67011	65234	63091	61088	59067	57255	55545	53587	51947	50508	49174	46962	45785	44878	43953	42862	41865	40111	38962	38045	37175	35441	35083	34183	33206	32064	31097	30454	30021	29549	29002	28206	27312	26912	26272	25615	24601	23710	22845	21989	21422	20925	20500	20043	19387	19072	18851	18642	18363	17903	17359	16823	16310	15843	15396	14730	14327	13938	13563	13119	12744	12376	12086	11771	11523	11216	10968	10617	10310	10009	9777	9567	9221	8898	8581	8285	8025	7725	7434	7158	7019	6842	6687	6499	6270	6137	5832	5778	5465	5231	5025	4837	4655	4530	4345	4113	3876	3734	3525	3191	2968	2769	2369	2119	1968	1796	1580	1432	1233	1077	981	859	806	696	587	506	283	215	167	138	124	81	68	46	36	28	12	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	44581	44406	44280	43990	43629	43629	43361	43001	42563	42413	42235	41905	41418	41041	40438	40160	39738	39101	38584	37962	37342	36758	36196	35720	34963	34041	33291	32531	31834	31323	30816	30204	29554	28892	28339	27669	27085	26587	26044	25369	24909	24419	23874	23240	22662	22020	21286	20702	20221	19734	19196	18732	18221	17618	17111	16798	16390	16007	15663	15312	14858	14481	14131	13779	13391	13041	12523	12167	11919	11680	11456	11225	11021	10811	10601	10380	10214	10059	9903	9712	9462	9232	9045	8911	8790	8643	8447	8306	8167	8026	7889	7785	7663	7549	7439	7320	7194	7063	6987	6930	6860	6752	6658	6551	6443	6393	6350	6275	6214	6111	6022	5908	5843	5810	5776	5681	5594	5475	5387	5321	5286	5250	5207	5114	4998	4914	4862	4829	4758	4692	4604	4535	4452	4379	4313	4263	4162	4078	3978	3896	3835	3786	3718	3621	3542	3487	3447	3392	3331	3273	3137	2993	2887	2803	2735	2627	2533	2348	2260	2203	2139	2045	1955	1882	1799	1737	1695	1631	1580	1537	1478	1386	1323	1273	1226	1186	1168	1141	1114	1065	1020	982	944	908	887	858	839	821	797	783	767	761	750	729	713	701	681	668	665	656	630	616	598	578	567	549	541	529	518	508	490	470	463	435	432	427	414	413	411	410	410	406	404	404	401	401	398	394	390	389	384	383	381	379	378	377	374	372	371	370	368	365	364	355	355	351	345	341	339	339	337	335	329	321	319	314	309	300	293	285	277	272	257	246	235	226	213	191	185	171	160	149	141	128	118	110	91	74	63	49	42	38	25	15	14	11	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	507222	504423	494337	493041	486935	480319	473273	467215	461345	453597	448231	442671	435036	429219	424382	420248	408442	402589	394512	387529	382601	378157	365843	364276	358900	352101	346421	340979	337139	326817	325995	322774	318638	314326	310850	306868	302324	299665	295334	291696	287225	283102	279896	276912	275436	273053	269577	266562	265163	263133	259699	259264	257384	254764	252768	250633	249818	248139	247473	245946	244045	242480	241165	240122	238964	238163	236772	235882	234906	233912	232937	231897	231149	230407	229486	228748	227635	226734	226050	225575	224978	224084	223401	222538	221934	221070	220754	220399	219763	219212	218507	218184	217510	217237	216826	216367	215852	215284	214846	214251	214018	213551	212942	211660	209907	209209	208725	208512	208128	207523	207002	206541	206045	205964	205766	205516	204681	203953	202861	202342	201835	201661	201287	200658	200139	199459	199273	198414	198103	197895	196899	196280	195557	194920	194005	193537	192654	191721	190794	189443	188737	187523	186923	186107	185053	183647	182203	180505	179497	178467	177002	174010	170798	168273	165934	163827	162014	160041	156301	152944	150609	148683	145183	143624	141265	138523	134613	131354	128097	123824	122467	119930	116892	112671	108614	105094	101441	98089	94553	91858	87425	84092	79215	74533	73908	70051	66548	63030	59974	58179	54586	52390	49798	46689	43443	40924	39097	36705	35691	34458	32918	31264	29852	28296	27678	26889	25451	24332	22753	22233	21250	20123	19936	19255	18465	17763	17262	16783	16561	16339	16039	15608	15315	14897	14566	14170	13937	13631	13169	12674	12176	11736	11380	11119	10960	10526	9945	9707	9305	8919	8640	8364	7962	7648	7202	6948	6716	6526	6280	6045	5769	5459	5251	5064	4929	4719	4507	4234	3962	3806	3702	3539	3393	3112	3018	2726	2575	2456	2269	2019	1769	1598	1413	1289	1157	919	873	736	577	450	357	265	152	104	65	44	28	20	18	12	12	9	9	9	6	5	5	5	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	219246	216528	214877	213969	213267	211145	207941	205048	203107	201650	200114	197421	194543	191504	189198	187507	185702	184252	181624	178854	176652	174325	172042	170924	169382	167137	164310	161521	159309	157359	156247	155026	153677	152625	150277	148312	146190	145173	143821	141916	139855	137617	135902	134348	133040	130318	130318	128006	126197	124235	122811	121866	120828	119230	117360	115812	114519	113641	112190	112190	110874	109712	108640	107679	106727	106115	105318	104135	102798	101596	100441	99597	99066	98422	97539	96524	95246	94167	93487	92833	92220	90145	90145	88880	88071	87430	87013	86525	85779	84821	83697	82755	82049	81242	80755	79946	79049	77963	76981	76364	75723	75160	74082	73211	72219	71357	70627	70219	69710	68983	67803	67255	66757	66280	65226	65226	64678	63504	62112	61497	61224	60856	60378	59583	58745	58023	57374	56894	56574	56199	55652	54765	54216	53487	53077	52665	51992	52392	51766	51114	50411	50028	49383	48039	48039	47028	46293	45381	44597	43173	43173	42511	41759	40968	40181	39447	38623	37249	37249	36259	35246	34655	33927	32533	31762	31762	31114	30297	29733	28939	28367	26803	26803	26052	24512	24512	24253	23209	23209	22622	22075	21197	20777	20257	19310	18740	18062	18062	17375	16678	16083	15142	15142	14631	13928	13606	13191	12917	12501	11547	11547	10816	10368	10080	9740	9426	9101	8651	8067	8067	7443	7443	7253	7013	6538	6538	6277	6180	6029	5922	5612	5612	5458	5003	4923	4813	4759	4578	4463	4236	4164	4164	4034	3747	3747	3694	3611	3568	3496	3458	3431	3372	3321	3255	3192	3111	3017	2941	2829	2741	2465	2276	2227	1923	1781	1739	1695	1620	1569	1480	1410	1280	1226	1171	1119	1000	946	875	830	743	704	643	584	523	473	426	404	381	335	280	218	174	165	118	96	46	33	22	22	16	12	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	2187221	2155976	2122806	2072665	2042290	2003146	1964076	1925007	1892348	1854456	1807982	1764374	1723362	1671081	1617370	1585044	1551766	1521432	1485703	1450235	1420558	1389707	1366435	1341700	1311625	1286557	1264539	1245948	1225189	1212968	1198934	1183320	1171324	1158689	1144049	1125699	1110370	1102033	1087714	1072272	1059267	1047789	1037978	1029235	1019345	1008377	998502	991609	984682	977218	971851	964639	956957	951094	944576	940010	934672	930628	926534	922005	916918	912904	908713	904198	901010	898029	892810	886865	880724	877784	874077	870791	867317	864455	861476	858401	855072	852406	850028	846579	842776	838606	834800	831225	828461	826784	823729	819436	817277	813687	810625	807425	805263	802308	798237	794040	790640	787470	784324	781694	778400	774135	769831	766201	762963	760013	757778	754923	750298	746191	742865	739527	737911	735235	732144	727239	722283	717177	712052	707797	704085	699909	693839	688858	683529	679099	673095	668615	663669	656892	650336	644751	638831	632667	628031	621562	613689	601075	593141	586056	574411	561911	554160	545787	538416	529980	524722	519427	514901	509162	500130	493588	485502	475305	466550	460550	453659	445400	435334	425616	413576	400769	391538	384692	375363	366164	356178	347634	336508	329162	320804	312344	304297	296499	289468	277774	271684	265985	257388	248235	242547	236139	228732	219252	211243	206433	200461	195571	190222	183073	178054	173824	169309	165416	161099	157015	153560	151452	148855	145643	141983	139281	136191	133489	131319	128812	126016	122901	119807	117687	115310	113006	110583	106878	103886	101697	98980	96733	94558	92710	90631	88444	86197	84057	81795	80430	78839	76793	74936	73164	71141	69382	67939	66680	64561	62512	60614	58815	56212	54937	53616	52197	50442	48917	46500	45031	43464	42164	41137	39254	37369	35396	33261	30978	30333	28963	27528	26182	24424	23338	22348	21794	20615	19472	18309	16957	15865	14336	13438	12026	10701	9191	8155	7482	6447	5708	4643	3879	3006	2355	2102	1733	1536	1279	1063	924	611	483	335	293	252	202	202	157	133	114	88	69	60	53	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	328408	326668	325018	323619	322189	319530	316500	313552	311036	308890	306598	304107	300414	296716	293382	291104	288193	285634	281673	276995	272346	268589	264618	260581	257347	252222	247209	241172	237310	232905	228772	225283	220953	216683	210630	206439	202289	198600	194679	188566	182801	176694	172044	167713	163417	159234	154038	147599	142402	138427	134537	130984	127967	124469	121006	117637	114709	112147	109910	107350	104426	102014	100208	98733	97300	95089	93400	91572	90222	88849	87582	86374	85302	84369	83230	81918	80777	80085	79037	78461	77642	76619	75785	74922	74191	73537	73076	72555	71898	71218	70536	70025	69490	69079	68510	67926	67217	66669	66053	65399	64857	64356	63750	63145	62686	62099	61699	61324	60907	60492	60185	59920	59674	59487	59274	58989	58655	58287	58019	57775	57424	57223	57041	56773	56343	55993	55800	55341	55143	54883	54586	54230	53901	53631	53370	53176	52838	52538	52219	51756	51441	51039	50660	50324	49893	49436	48988	48394	47968	47716	47267	46809	46204	45796	45314	44565	44336	43789	42980	42314	41698	41059	40566	40142	39788	39344	38726	38155	37686	37242	36913	36591	36191	35525	35116	34664	34257	34065	33866	33619	33352	33029	32715	32511	32307	32022	31796	31479	31155	30893	30705	30539	30349	30187	29901	29673	29442	29299	29130	29017	28822	28647	28499	28347	28183	28001	27848	27615	27360	27060	26788	26577	26378	26098	25613	25121	24767	24565	24269	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19703	19375	18827	18371	17830	17364	16907	16635	16225	15768	15284	14758	14316	13879	13441	12968	12255	11262	10878	10447	10106	9730	9433	9047	8675	8280	7941	7691	7303	6893	6510	6202	5655	5429	5172	4950	4565	4173	3728	3342	2966	2627	2307	2061	1734	1430	1086	912	720	591	475	363	277	216	183	160	131	131	101	72	45	28	12	9	8	8	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	181967	181200	172743	172743	172743	172743	170705	168960	167377	162782	162782	162782	160102	157781	155462	153992	146761	146761	146761	142979	140548	138258	135844	127715	127715	127715	126177	121426	118754	117295	112581	112581	112581	109152	109152	107280	106740	101469	101469	101469	99381	97028	94986	93284	88645	88645	88645	85899	84741	82987	81463	78125	78125	78125	77060	75373	73858	73858	71207	71207	71207	70446	69127	68637	68099	66052	66052	66052	65373	64871	64455	64021	62830	62830	62830	62028	61861	61697	61377	60038	60038	60038	59748	59364	59241	59120	58297	58297	58297	57742	57550	57329	57147	56587	56587	56587	56472	56315	56160	56024	55527	55527	55527	55386	55166	55031	54895	54326	54326	54326	54093	53871	53782	53365	53365	53365	53365	53209	53108	53006	52879	52495	52495	52495	52350	52220	52040	52011	51519	51519	51519	51432	51314	51255	51267	50897	50897	50897	50782	50706	50684	50567	50320	50320	50320	50245	50225	50110	50062	49810	49810	49810	49670	49540	49077	48983	48776	48776	48776	48232	48223	48096	48055	47893	47893	47893	47750	47636	47530	47510	47287	47287	47287	47209	47108	47033	46976	46717	46717	46717	46646	46572	46514	46362	46303	46206	46059	45994	45913	45899	45782	45755	45715	45557	45440	45429	45349	45235	45088	44994	44689	44461	44347	44179	44092	43968	43818	43460	43239	43091	42979	42743	42201	42022	41762	41559	41288	41303	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29287	29287	28764	28764	27700	26767	26312	25269	25269	24582	23921	23100	22469	20360	19815	17550	16809	16809	15884	14755	13989	13381	12035	11510	10538	9784	7781	7781	6906	5675	5276	4914	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	223	194	194	96	68	41	26	20	11	6	6	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	56189	55488	55057	54473	53653	53015	52235	51623	51056	50616	50136	49109	48768	47929	47142	46457	45460	44876	43818	43036	42393	41464	40711	39912	39096	38398	37456	36698	36343	35654	35251	34670	34170	33579	32995	32664	32211	31808	31321	30816	30153	29755	29552	29200	28803	28395	28016	27546	27342	27112	26908	26603	26258	26035	25753	25534	25426	25311	25126	24951	24751	24553	24392	24249	24168	23961	23847	23687	23528	23375	23325	23196	23093	22942	22724	22560	22465	22394	22289	22130	21998	21827	21682	21550	21466	21363	21243	21125	20937	20787	20613	20531	20389	20260	20156	20085	19947	19830	19761	19667	19566	19449	19366	19318	19234	19137	18937	18849	18726	18466	18466	18308	18308	18249	18043	17892	17752	17653	17549	17535	17429	17343	17349	17083	16976	16986	16962	16942	16895	16828	16770	16718	16643	16593	16536	16451	16396	16340	15967	15699	15699	15634	15575	15502	15445	15365	15296	15137	15055	14949	14877	14788	14689	14602	14476	14406	14290	14175	14202	13924	13792	13746	13519	13519	13429	13337	13114	13050	12969	12879	12804	12743	12652	12531	12462	12414	12293	12128	11996	11923	11731	11510	11474	11376	11226	11091	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6447	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2323	2323	2075	2014	1761	1625	1479	1479	1326	1207	928	928	673	673	593	450	393	368	319	264	232	214	163	130	115	91	68	56	45	38	30	25	16	8	6	6	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	1270063	1258315	1250275	1243118	1226530	1226530	1213760	1202660	1192456	1181549	1173409	1161953	1149126	1136024	1124742	1115446	1107103	1098341	1087956	1076547	1065476	1056065	1048264	1040727	1032552	1022354	1012456	1001800	991910	983370	976944	969813	963751	946956	946956	938830	930728	924614	918240	910065	901234	892352	884625	877340	872810	862990	858585	851825	846321	840652	836370	832525	825906	821526	816376	810256	805924	801371	796802	791997	789714	784331	780220	776215	771989	768653	766305	761924	758306	752845	750739	747183	745492	743018	739050	735685	732399	729591	726934	725415	720001	720001	717148	713902	711358	709157	707751	705965	703212	700602	698051	696171	692962	692234	690387	687656	684847	682370	679776	677362	675691	673194	669684	666507	663234	660946	658203	656485	654090	650922	647318	644781	642775	640978	639166	636653	633060	629913	626426	624116	616629	614753	612206	609074	605342	602113	599176	596511	594287	591283	587023	582407	577891	573811	570024	567375	563628	557337	549340	543113	535018	529256	525106	518967	510624	503083	495510	490086	484729	479915	472859	463357	454457	444622	435302	426164	417360	408114	396069	383749	373637	363973	354710	344305	331920	321747	310573	296814	286822	277639	265432	250283	240009	228759	219869	209922	202623	196386	186530	175200	165876	156434	149889	143862	138499	130145	120611	111797	106806	101335	97537	94786	90169	86167	82854	80160	77733	75042	73282	71149	68673	67039	65370	64128	62970	61941	60549	59305	58286	57021	55812	55210	54510	53640	52888	51667	51053	50578	50075	49095	48550	47817	47092	45902	45427	44815	44161	43025	42545	41759	40967	40168	39562	39179	38498	37733	37389	36764	36183	35609	34841	34209	33506	32529	32015	31672	30924	30405	29610	28876	27662	26965	26106	25360	24647	23906	22823	21624	20727	20135	19213	18404	17340	16252	15219	14173	13167	12008	11245	10097	8816	7548	6516	5612	4760	3884	3179	2520	1985	1488	1205	1029	731	528	386	310	211	149	122	91	51	31	26	20	18	13	12	8	8	7	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	552712	546859	543707	540758	537079	531954	524055	518902	512699	509588	504501	500265	494173	488338	484152	479340	476044	471734	466904	462175	456113	452369	448683	443822	442017	438300	433353	428980	424929	422133	420601	418936	416303	413909	411002	408644	406220	404411	402435	399410	396641	393890	391466	387930	386949	384997	382505	380190	377694	376054	374181	373078	371825	370106	368368	366452	364589	362921	361982	360790	358225	356848	355025	353372	351881	350923	349605	347759	345535	343750	342438	341310	340558	339384	337850	336241	334601	333304	332311	331409	330269	329032	327407	326142	324650	323714	322925	322078	320634	319334	318026	316306	315281	314685	313873	312514	311046	309678	308221	307339	306155	305021	302737	300903	299056	296833	295337	294314	292905	290781	289123	287287	285350	283807	283199	281548	279354	277288	274613	272697	270471	268973	267758	265372	263074	260590	258354	256253	253949	252222	249630	246741	243982	241677	238861	237030	235168	231895	228668	226153	222588	219025	216596	213427	209004	204895	201713	197948	195435	193177	190012	186352	182286	178323	175052	170843	167953	165188	161401	156588	152302	148988	145575	143123	139872	135183	131275	127834	123963	120569	116926	114401	111211	106727	103890	100470	97064	95516	93319	90493	87709	84237	81291	79417	77210	74985	72995	71095	69381	67678	65928	64701	63809	62009	60912	60030	59078	58414	57681	56801	55783	54973	53980	53249	52497	51898	51309	50621	49847	48894	48207	47618	46986	46286	45670	45070	44421	43730	43344	42838	42132	41218	40405	39647	38721	38081	37701	37147	36681	35858	35332	34635	33927	33441	32532	32106	31439	30696	29711	29368	28602	28306	27270	26155	25623	24615	23913	23401	22695	22147	21512	20740	19881	18947	18301	17669	17194	15669	14987	14223	13315	12452	12159	11483	10566	9901	8818	7314	6647	6160	5831	5348	4638	3929	2809	2651	2366	2001	1525	1247	1026	772	600	507	420	287	197	146	121	99	66	42	31	22	17	12	7	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
