State	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	41523	37923	37923	37923	37923	37923	37923	37923	35401	35401	35401	35401	35401	35401	32510	32510	32510	32510	32510	32510	32510	29736	29736	29736	29736	29736	29736	29736	29736	25783	25783	25783	25783	25783	25783	22082	22082	22082	22082	22082	22082	22082	18866	18866	18866	18866	18866	18866	18866	18866	15974	15974	15974	15974	15974	15974	15974	13508	13508	13508	13508	13508	13508	13508	11395	11395	11395	11395	11395	11395	11395	9355	9355	9355	9355	9355	9355	7951	7951	7951	7951	7951	7951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	1359	1344	1332	1269	1254	1238	1220	1017	987	946	932	930	898	885	854	836	817	817	815	800	787	753	737	712	712	708	697	688	669	642	620	615	598	588	571	563	560	548	548	544	539	535	528	526	525	521	521	519	513	507	502	491	475	464	457	449	438	429	417	411	405	403	397	392	389	384	382	382	380	376	373	371	368	368	368	367	366	364	362	361	358	358	356	356	352	348	345	344	344	343	339	338	334	328	324	318	305	291	284	277	263	262	261	254	252	240	228	218	217	217	208	209	196	168	161	153	147	128	110	106	98	85	66	63	55	49	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	26418	26102	25848	25527	25163	24815	24531	24222	23944	23702	23413	23064	22714	22358	21994	21626	21321	20978	20566	20171	19737	19293	18863	18518	18149	17661	17184	16684	16155	15678	15254	14829	14394	13853	13341	12803	12260	11836	11361	10903	10478	10137	9715	9411	9179	8926	8659	8389	8139	7936	7746	7581	7387	7196	7018	6863	6715	6598	6462	6333	6209	5980	5980	5851	5764	5639	5517	5399	5298	5172	5076	4967	4869	4761	4657	4551	4452	4361	4297	4204	4132	4033	3949	3872	3773	3693	3570	3450	3357	3145	3074	2979	2909	2852	2775	2684	1747	1722	1693	1671	1632	1597	1565	1528	1499	1475	1450	1418	1383	1345	1313	1282	1265	1155	1155	994	539	539	460	385	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	42998	42998	42130	41452	40360	40360	39555	38848	38000	37240	36034	36034	35413	34737	33938	33188	32365	31622	29827	29827	28864	27990	27283	26397	25292	24776	24776	24195	23523	22844	22106	21591	20642	20642	19992	18725	17834	17834	16726	16726	16164	15698	15163	14531	14066	13270	12784	12127	12127	11568	11220	10793	10082	10082	9712	9376	8996	8352	8352	8110	7607	7607	7351	7116	6875	6424	6424	6266	5919	5717	5717	5401	5401	5275	5166	4583	4583	4424	4332	4249	4148	4029	4029	3915	3852	3739	3645	3590	3472	3390	3277	3220	3220	3149	2968	2968	2159	2123	2109	2041	2016	1999	1987	1973	1305	1249	1146	987	985	964	929	902	863	809	749	721	703	593	548	489	427	391	367	340	312	288	208	142	102	97	79	60	47	42	35	29	28	24	19	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	5608	5579	5554	5507	5490	5490	5471	5449	5424	5393	5359	5334	5309	5277	5243	5212	5182	5158	5133	5122	5095	5064	5019	4969	4948	4927	4909	4880	4844	4808	4780	4749	4728	4691	4669	4669	4636	4603	4568	4557	4541	4524	4502	4479	4459	4442	4430	4412	4392	4370	4342	4328	4309	4296	4280	4253	4231	4196	4196	4178	4184	4169	4150	4130	4112	4091	4074	4055	4034	4014	3983	3954	3919	3919	3859	3838	3783	3741	3702	3666	3640	3612	3580	3532	3478	3431	3346	3346	3312	3217	3217	3171	3114	3076	3023	2974	2869	2869	2801	2743	2650	2607	2553	2486	2415	2275	2275	2150	2150	2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	8721	8721	8721	8721	8721	8721	8721	8613	8613	8613	8613	8613	8613	8613	8516	8516	8516	8516	8516	8516	8516	8466	8466	8466	8466	8466	8466	8466	8351	8351	8351	8351	8351	8351	8351	8210	8210	8210	8210	8210	8210	8210	8053	8053	8053	8053	8053	8053	8053	7842	7842	7842	7842	7842	7842	7842	7611	7611	7611	7611	7611	7611	7611	7284	7284	7284	7284	7284	7284	7284	7511	7511	7511	7127	7127	7127	7127	7127	7127	7127	7127	7127	7127	6264	6264	6264	6264	6264	6264	6264	6264	5413	5413	5413	5413	5413	5413	5413	4346	4346	4346	4346	4346	4346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	8519	8519	8500	8449	8416	8392	8365	8339	8303	8267	8235	8212	8179	8140	8108	8076	8035	7996	7961	7936	7893	7859	7362	7362	7362	7362	7315	7269	7236	7184	7139	7120	7002	6949	6901	6851	6815	6778	6740	6711	6692	6678	6676	6667	6665	6665	6665	6661	6646	6598	6554	6459	6459	6395	6395	6350	6305	6256	6172	6172	6116	6062	6001	5939	5888	5791	5792	5696	5631	5562	5493	5442	5353	5266	5205	5103	5010	4909	4802	4693	4598	4454	4296	4130	3965	3760	3545	3478	3367	3210	3080	2942	2802	2619	2537	2450	2288	2110	2008	1847	1716	1640	1546	1403	1275	1173	1096	996	911	809	703	643	599	565	495	466	423	423	378	354	277	213	191	191	177	173	144	144	71	71	71	71	49	49	22	9	9	9	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
