"County","State","ID","start","reopen"
"Autauga","Alabama",1001,"2020-04-05","2020-04-30"
"Baldwin","Alabama",1003,"2020-04-05","2020-04-30"
"Barbour","Alabama",1005,"2020-04-05","2020-04-30"
"Bibb","Alabama",1007,"2020-04-05","2020-04-30"
"Blount","Alabama",1009,"2020-04-05","2020-04-30"
"Bullock","Alabama",1011,"2020-04-05","2020-04-30"
"Butler","Alabama",1013,"2020-04-05","2020-04-30"
"Calhoun","Alabama",1015,"2020-04-05","2020-04-30"
"Chambers","Alabama",1017,"2020-04-05","2020-04-30"
"Cherokee","Alabama",1019,"2020-04-05","2020-04-30"
"Chilton","Alabama",1021,"2020-04-05","2020-04-30"
"Choctaw","Alabama",1023,"2020-04-05","2020-04-30"
"Clarke","Alabama",1025,"2020-04-05","2020-04-30"
"Clay","Alabama",1027,"2020-04-05","2020-04-30"
"Cleburne","Alabama",1029,"2020-04-05","2020-04-30"
"Coffee","Alabama",1031,"2020-04-05","2020-04-30"
"Colbert","Alabama",1033,"2020-04-05","2020-04-30"
"Conecuh","Alabama",1035,"2020-04-05","2020-04-30"
"Coosa","Alabama",1037,"2020-04-05","2020-04-30"
"Covington","Alabama",1039,"2020-04-05","2020-04-30"
"Crenshaw","Alabama",1041,"2020-04-05","2020-04-30"
"Cullman","Alabama",1043,"2020-04-05","2020-04-30"
"Dale","Alabama",1045,"2020-04-05","2020-04-30"
"Dallas","Alabama",1047,"2020-04-05","2020-04-30"
"DeKalb","Alabama",1049,"2020-04-05","2020-04-30"
"Elmore","Alabama",1051,"2020-04-05","2020-04-30"
"Escambia","Alabama",1053,"2020-04-05","2020-04-30"
"Etowah","Alabama",1055,"2020-04-05","2020-04-30"
"Fayette","Alabama",1057,"2020-04-05","2020-04-30"
"Franklin","Alabama",1059,"2020-04-05","2020-04-30"
"Geneva","Alabama",1061,"2020-04-05","2020-04-30"
"Greene","Alabama",1063,"2020-04-05","2020-04-30"
"Hale","Alabama",1065,"2020-04-05","2020-04-30"
"Henry","Alabama",1067,"2020-04-05","2020-04-30"
"Houston","Alabama",1069,"2020-04-05","2020-04-30"
"Jackson","Alabama",1071,"2020-04-05","2020-04-30"
"Jefferson","Alabama",1073,"2020-03-25","2020-04-30"
"Lamar","Alabama",1075,"2020-04-05","2020-04-30"
"Lauderdale","Alabama",1077,"2020-04-05","2020-04-30"
"Lawrence","Alabama",1079,"2020-04-05","2020-04-30"
"Lee","Alabama",1081,"2020-04-05","2020-04-30"
"Limestone","Alabama",1083,"2020-04-05","2020-04-30"
"Lowndes","Alabama",1085,"2020-04-05","2020-04-30"
"Macon","Alabama",1087,"2020-04-05","2020-04-30"
"Madison","Alabama",1089,"2020-04-05","2020-04-30"
"Marengo","Alabama",1091,"2020-04-05","2020-04-30"
"Marion","Alabama",1093,"2020-04-05","2020-04-30"
"Marshall","Alabama",1095,"2020-04-05","2020-04-30"
"Mobile","Alabama",1097,"2020-04-05","2020-04-30"
"Monroe","Alabama",1099,"2020-04-05","2020-04-30"
"Montgomery","Alabama",1101,"2020-04-05","2020-04-30"
"Morgan","Alabama",1103,"2020-04-05","2020-04-30"
"Perry","Alabama",1105,"2020-04-05","2020-04-30"
"Pickens","Alabama",1107,"2020-04-05","2020-04-30"
"Pike","Alabama",1109,"2020-04-05","2020-04-30"
"Randolph","Alabama",1111,"2020-04-05","2020-04-30"
"Russell","Alabama",1113,"2020-04-05","2020-04-30"
"St. Clair","Alabama",1115,"2020-04-05","2020-04-30"
"Shelby","Alabama",1117,"2020-04-05","2020-04-30"
"Sumter","Alabama",1119,"2020-04-05","2020-04-30"
"Talladega","Alabama",1121,"2020-04-05","2020-04-30"
"Tallapoosa","Alabama",1123,"2020-04-05","2020-04-30"
"Tuscaloosa","Alabama",1125,"2020-04-05","2020-04-30"
"Walker","Alabama",1127,"2020-04-05","2020-04-30"
"Washington","Alabama",1129,"2020-04-05","2020-04-30"
"Wilcox","Alabama",1131,"2020-04-05","2020-04-30"
"Winston","Alabama",1133,"2020-04-05","2020-04-30"
"Aleutians East Borough","Alaska",2013,"2020-03-29","2020-04-24"
"Aleutians West Census Area","Alaska",2016,"2020-03-29","2020-04-24"
"Anchorage Municipality","Alaska",2020,"2020-03-23","2020-04-24"
"Bethel Census Area","Alaska",2050,"2020-03-29","2020-04-24"
"Bristol Bay Borough","Alaska",2060,"2020-03-29","2020-04-24"
"Denali Borough","Alaska",2068,"2020-03-29","2020-04-24"
"Dillingham Census Area","Alaska",2070,"2020-03-29","2020-04-24"
"Fairbanks North Star Borough","Alaska",2090,"2020-03-29","2020-04-24"
"Haines Borough","Alaska",2100,"2020-03-29","2020-04-24"
"Juneau City and Borough","Alaska",2110,"2020-03-29","2020-04-24"
"Kenai Peninsula Borough","Alaska",2122,"2020-03-29","2020-04-24"
"Ketchikan Gateway Borough","Alaska",2130,"2020-03-29","2020-04-24"
"Kodiak Island Borough","Alaska",2150,"2020-03-29","2020-04-24"
"Lake and Peninsula Borough","Alaska",2164,"2020-03-29","2020-04-24"
"Matanuska-Susitna Borough","Alaska",2170,"2020-03-29","2020-04-24"
"Nome Census Area","Alaska",2180,"2020-03-29","2020-04-24"
"North Slope Borough","Alaska",2185,"2020-03-29","2020-04-24"
"Northwest Arctic Borough","Alaska",2188,"2020-03-29","2020-04-24"
"Sitka City and Borough","Alaska",2220,"2020-03-29","2020-04-24"
"Southeast Fairbanks Census Area","Alaska",2240,"2020-03-29","2020-04-24"
"Valdez-Cordova Census Area","Alaska",2261,"2020-03-29","2020-04-24"
"Yakutat City and Borough","Alaska",2282,"2020-03-29","2020-04-24"
"Yukon-Koyukuk Census Area","Alaska",2290,"2020-03-29","2020-04-24"
"Apache","Arizona",4001,"2020-04-01","2020-05-15"
"Cochise","Arizona",4003,"2020-04-01","2020-05-15"
"Coconino","Arizona",4005,"2020-04-01","2020-05-15"
"Gila","Arizona",4007,"2020-04-01","2020-05-15"
"Graham","Arizona",4009,"2020-04-01","2020-05-15"
"Greenlee","Arizona",4011,"2020-04-01","2020-05-15"
"La Paz","Arizona",4012,"2020-04-01","2020-05-15"
"Maricopa","Arizona",4013,"2020-04-01","2020-05-15"
"Mohave","Arizona",4015,"2020-04-01","2020-05-15"
"Navajo","Arizona",4017,"2020-04-01","2020-05-15"
"Pima","Arizona",4019,"2020-04-01","2020-05-15"
"Pinal","Arizona",4021,"2020-04-01","2020-05-15"
"Santa Cruz","Arizona",4023,"2020-04-01","2020-05-15"
"Yavapai","Arizona",4025,"2020-04-01","2020-05-15"
"Yuma","Arizona",4027,"2020-04-01","2020-05-15"
"Arkansas","Arkansas",5001,NA,NA
"Ashley","Arkansas",5003,NA,NA
"Baxter","Arkansas",5005,NA,NA
"Benton","Arkansas",5007,NA,NA
"Boone","Arkansas",5009,NA,NA
"Bradley","Arkansas",5011,NA,NA
"Calhoun","Arkansas",5013,NA,NA
"Carroll","Arkansas",5015,NA,NA
"Chicot","Arkansas",5017,NA,NA
"Clark","Arkansas",5019,NA,NA
"Clay","Arkansas",5021,NA,NA
"Cleburne","Arkansas",5023,NA,NA
"Cleveland","Arkansas",5025,NA,NA
"Columbia","Arkansas",5027,NA,NA
"Conway","Arkansas",5029,NA,NA
"Craighead","Arkansas",5031,NA,NA
"Crawford","Arkansas",5033,NA,NA
"Crittenden","Arkansas",5035,NA,NA
"Cross","Arkansas",5037,NA,NA
"Dallas","Arkansas",5039,NA,NA
"Desha","Arkansas",5041,NA,NA
"Drew","Arkansas",5043,NA,NA
"Faulkner","Arkansas",5045,NA,NA
"Franklin","Arkansas",5047,NA,NA
"Fulton","Arkansas",5049,NA,NA
