date	death
X2020.01.21	0
X2020.01.22	0
X2020.01.23	0
X2020.01.24	0
X2020.01.25	0
X2020.01.26	0
X2020.01.27	0
X2020.01.28	0
X2020.01.29	0
X2020.01.30	0
X2020.01.31	0
X2020.02.01	0
X2020.02.02	0
X2020.02.03	0
X2020.02.04	0
X2020.02.05	0
X2020.02.06	0
X2020.02.07	0
X2020.02.08	0
X2020.02.09	0
X2020.02.10	0
X2020.02.11	0
X2020.02.12	0
X2020.02.13	0
X2020.02.14	0
X2020.02.15	0
X2020.02.16	0
X2020.02.17	0
X2020.02.18	0
X2020.02.19	0
X2020.02.20	0
X2020.02.21	0
X2020.02.22	0
X2020.02.23	0
X2020.02.24	0
X2020.02.25	0
X2020.02.26	0
X2020.02.27	0
X2020.02.28	0
X2020.02.29	1
X2020.03.01	3
X2020.03.02	6
X2020.03.03	10
X2020.03.04	12
X2020.03.05	12
X2020.03.06	15
X2020.03.07	19
X2020.03.08	22
X2020.03.09	26
X2020.03.10	31
X2020.03.11	37
X2020.03.12	43
X2020.03.13	50
X2020.03.14	60
X2020.03.15	68
X2020.03.16	91
X2020.03.17	117
X2020.03.18	162
X2020.03.19	212
X2020.03.20	277
X2020.03.21	360
X2020.03.22	458
X2020.03.23	579
X2020.03.24	785
X2020.03.25	1054
X2020.03.26	1353
X2020.03.27	1770
X2020.03.28	2300
X2020.03.29	2718
X2020.03.30	3368
X2020.03.31	4304
X2020.04.01	5325
X2020.04.02	6541
X2020.04.03	7932
X2020.04.04	9488
X2020.04.05	10856
X2020.04.06	12382
X2020.04.07	14616
X2020.04.08	16701
X2020.04.09	18821
X2020.04.10	21084
X2020.04.11	23168
X2020.04.12	24849
X2020.04.13	26613
X2020.04.14	29318
X2020.04.15	32070
X2020.04.16	34419
X2020.04.17	36708
X2020.04.18	38659
X2020.04.19	40179
X2020.04.20	42016
X2020.04.21	44688
X2020.04.22	47059
X2020.04.23	49228
X2020.04.24	51360
X2020.04.25	53327
X2020.04.26	54580
X2020.04.27	56022
X2020.04.28	58416
X2020.04.29	60930
X2020.04.30	63140
X2020.05.01	64902
X2020.05.02	66485
X2020.05.03	67816
X2020.05.04	68905
X2020.05.05	71139
X2020.05.06	73847
X2020.05.07	75805
X2020.05.08	77380
X2020.05.09	78834
X2020.05.10	79766
X2020.05.11	80748
X2020.05.12	82400
X2020.05.13	84168
X2020.05.14	85906
X2020.05.15	87499
X2020.05.16	88724
X2020.05.17	89568
X2020.05.18	90414
X2020.05.19	91934
X2020.05.20	93411
X2020.05.21	94722
X2020.05.22	96010
X2020.05.23	97060
X2020.05.24	97680
X2020.05.25	98190
X2020.05.26	98937
X2020.05.27	100422
X2020.05.28	101622
X2020.05.29	102812
X2020.05.30	103775
X2020.05.31	104379
X2020.06.01	105113
X2020.06.02	106195
X2020.06.03	107184
X2020.06.04	108192
X2020.06.05	109304
X2020.06.06	110032
X2020.06.07	110422
X2020.06.08	111144
X2020.06.09	112174
X2020.06.10	113103
X2020.06.11	113980
X2020.06.12	114759
X2020.06.13	115451
X2020.06.14	115768
X2020.06.15	116216
X2020.06.16	116985
X2020.06.17	117746
X2020.06.18	118473
X2020.06.19	119171
X2020.06.20	119717
X2020.06.21	119974
X2020.06.22	120334
X2020.06.23	121167
X2020.06.24	121934
X2020.06.25	124400
X2020.06.26	125033
X2020.06.27	125544
X2020.06.28	125815
X2020.06.29	126162
X2020.06.30	127462
X2020.07.01	128104
X2020.07.02	128827
X2020.07.03	129418
X2020.07.04	129679
X2020.07.05	129941
X2020.07.06	130332
X2020.07.07	131290
X2020.07.08	132238
X2020.07.09	133079
X2020.07.10	133907
X2020.07.11	134582
X2020.07.12	134977
X2020.07.13	135402
X2020.07.14	136356
X2020.07.15	137327
X2020.07.16	138285
X2020.07.17	139186
X2020.07.18	139961
X2020.07.19	140373
X2020.07.20	140904
X2020.07.21	142031
X2020.07.22	143167
X2020.07.23	144283
X2020.07.24	145429
X2020.07.25	146313
X2020.07.26	146753
X2020.07.27	148449
X2020.07.28	149776
X2020.07.29	151172
X2020.07.30	152433
X2020.07.31	153862
X2020.08.01	154917
X2020.08.02	155337
X2020.08.03	155945
X2020.08.04	157301
X2020.08.05	158554
X2020.08.06	159625
X2020.08.07	160981
X2020.08.08	161947
X2020.08.09	162486
X2020.08.10	163023
X2020.08.11	164474
X2020.08.12	165952
X2020.08.13	167165
X2020.08.14	168341
X2020.08.15	169400
X2020.08.16	169914
X2020.08.17	170449
X2020.08.18	171798
X2020.08.19	173093
X2020.08.20	174136
X2020.08.21	175297
X2020.08.22	176247
X2020.08.23	176693
X2020.08.24	177197
X2020.08.25	178410
X2020.08.26	179603
X2020.08.27	180729
X2020.08.28	181739
X2020.08.29	182610
X2020.08.30	182984
X2020.08.31	183472
X2020.09.01	184563
X2020.09.02	185639
X2020.09.03	186717
X2020.09.04	187697
X2020.09.05	188409
X2020.09.06	188820
X2020.09.07	189083
X2020.09.08	189541
X2020.09.09	190716
X2020.09.10	191631
X2020.09.11	192858
X2020.09.12	193559
X2020.09.13	193958
X2020.09.14	194408
X2020.09.15	195689
X2020.09.16	196686
X2020.09.17	197535
X2020.09.18	198484
X2020.09.19	199154
X2020.09.20	199367
X2020.09.21	199797
X2020.09.22	200738
X2020.09.23	201828
X2020.09.24	202713
X2020.09.25	203566
X2020.09.26	204335
X2020.09.27	204602
X2020.09.28	204952
X2020.09.29	205878
X2020.09.30	206852
X2020.10.01	207699
X2020.10.02	208564
X2020.10.03	209273
X2020.10.04	209606
X2020.10.05	210035
X2020.10.06	210756
X2020.10.07	211752
X2020.10.08	212680
X2020.10.09	213595
X2020.10.10	214187
X2020.10.11	214606
X2020.10.12	214957
X2020.10.13	215783
X2020.10.14	216792
X2020.10.15	217585
X2020.10.16	218476
X2020.10.17	219154
X2020.10.18	219541
X2020.10.19	220058
X2020.10.20	220987
X2020.10.21	222195
X2020.10.22	223023
X2020.10.23	223949
X2020.10.24	224821
X2020.10.25	225160
X2020.10.26	225698
X2020.10.27	226681
X2020.10.28	227697
X2020.10.29	228701
X2020.10.30	229672
X2020.10.31	230510
X2020.11.01	230937
X2020.11.02	231477
X2020.11.03	232607
X2020.11.04	234223
X2020.11.05	235331
X2020.11.06	236577
X2020.11.07	237584
X2020.11.08	238048
X2020.11.09	238793
X2020.11.10	240258
X2020.11.11	241689
X2020.11.12	242861
X2020.11.13	244250
X2020.11.14	245460
X2020.11.15	246083
X2020.11.16	246879
X2020.11.17	248486
X2020.11.18	250411
X2020.11.19	252373
X2020.11.20	254325
X2020.11.21	255754
X2020.11.22	256597
X2020.11.23	257635
X2020.11.24	259844
X2020.11.25	262157
X2020.11.26	263336
X2020.11.27	264748
X2020.11.28	265940
X2020.11.29	266758
X2020.11.30	268023
X2020.12.01	270633
X2020.12.02	273518
X2020.12.03	276375
X2020.12.04	279012
X2020.12.05	281202
X2020.12.06	282313
X2020.12.07	283846
X2020.12.08	286667
X2020.12.09	289824
X2020.12.10	292761
X2020.12.11	295712
X2020.12.12	297971
X2020.12.13	299328
X2020.12.14	301006
X2020.12.15	304031
X2020.12.16	307642
X2020.12.17	310935
X2020.12.18	313750
X2020.12.19	316378
X2020.12.20	317800
X2020.12.21	319762
