State	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21
Alabama	34183	33206	32064	31097	30454	30021	29549	29002	28206	27312	26912	26272	25615	24601	23710	22845	21989	21422	20925	20500	20043	19387	19072	18851	18771	18534	17952	17359	17031	16530	16032	15650	14986	14478	14149	13670	13414	13052	12376	12086	11771	11674	11373	11101	10700	10464	10164	9889	9668	9385	9046	8691	8437	8112	7888	7611	7294	7068	6925	6750	6539	6421	6213	6026	5832	5610	5327	5078	4903	4723	4572	4404	4241	3953	3805	3583	3262	3008	2838	2498	2197	2005	1840	1632	1535	1270	1108	999	947	830	720	639	538	386	242	196	157	131	106	78	51	39	29	23	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	66676	63297	60207	58397	54767	52666	50198	46914	43731	41159	39298	37005	35953	34773	33167	31525	29981	28396	27761	26924	25517	24369	22818	22245	21250	20123	19936	19255	18465	17763	17262	16783	16561	16339	16040	15608	15315	14897	14566	14170	13937	13631	13169	12674	12176	11736	11380	11119	10960	10526	9945	9707	9305	8919	8640	8364	7962	7648	7202	6948	6716	6526	6280	6045	5769	5459	5251	5064	4929	4719	4507	4234	3962	3806	3702	3539	3393	3112	3018	2726	2577	2466	2269	2019	1769	1600	1413	1298	1169	930	773	665	508	402	326	234	153	104	70	47	28	20	18	13	12	9	9	9	6	6	5	5	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Arkansas	18740	18062	17375	16678	16083	15561	15142	14631	13928	13606	13191	12917	12501	12095	11547	10816	10368	10080	9740	9426	9101	8651	8425	8067	7818	7443	7253	7013	6777	6538	6277	6180	6029	5922	5775	5612	5458	5003	4923	4813	4759	4578	4463	4366	4236	4164	4043	4012	3747	3747	3694	3611	3525	3469	3431	3372	3310	3281	3207	3127	3069	3001	2909	2810	2599	2392	2262	1971	1781	1777	1695	1620	1599	1498	1475	1280	1228	1202	1146	1077	997	927	853	743	738	683	624	564	508	449	409	385	350	307	231	201	165	118	100	62	33	22	22	16	9	7	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	207027	201413	195889	191039	184620	178807	174854	170843	167135	163381	159131	155662	152953	150434	147285	143709	140139	137245	134287	131997	129147	126510	122917	120407	118081	115643	113114	110100	107043	104071	101874	99925	97017	94743	92815	90801	88488	86125	83981	81943	80366	78933	77015	74947	73218	71150	69514	68051	66824	64616	62481	60787	58848	56333	55072	53753	52318	50470	48904	46570	45208	43691	42590	41368	39534	37573	35844	33862	31544	30829	29398	28142	27107	25758	24334	23323	22421	21366	20191	19043	17540	16361	15202	13796	12569	11190	9857	8583	7421	6321	5566	4915	4060	3183	2644	2240	1851	1544	1283	1067	893	732	588	478	381	320	252	202	179	172	112	100	81	67	55	45	38	33	28	27	26	26	11	11	9	9	9	8	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	3	3	2	2	2	2	2	1	0	0	0	0
Colorado	31780	31463	31139	30877	30689	30524	30334	30172	29886	29658	29427	29284	29115	29002	28807	28632	28484	28333	28169	27987	27834	27601	27346	27046	26774	26563	26364	26084	25602	25116	24775	24553	24256	24140	23932	23456	23161	22769	22454	22174	21909	21604	21207	20813	20442	20103	19793	19595	19267	18719	18264	17720	17256	16799	16527	16118	15661	15207	14680	14239	13804	13440	12967	12255	11262	10878	10447	10106	9730	9433	9047	8675	8280	7941	7691	7303	6893	6510	6202	5655	5429	5172	4950	4574	4182	3728	3346	2990	2628	2315	2061	1735	1432	1086	912	721	591	475	364	278	216	183	161	136	103	78	49	34	17	12	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	46059	45994	45913	45899	45782	45755	45715	45557	45440	45429	45349	45235	45088	44994	44689	44461	44347	44179	44092	43968	43818	43460	43239	43091	42979	42740	42201	42022	41762	41559	41288	41288	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24582	23921	23100	22469	20360	19815	17962	17550	16809	15884	14755	13989	13381	12035	11510	10538	9784	8781	7781	6906	5675	5276	4915	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	223	194	159	96	68	41	26	20	11	6	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6447	6277	6083	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2323	2075	2014	1926	1761	1625	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	165	143	119	104	87	56	45	39	30	26	16	8	7	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	10185	10159	10128	10094	10058	10020	9984	9952	9903	9847	9818	9799	9767	9709	9654	9589	9537	9474	9389	9332	9269	9199	9120	9016	8886	8857	8801	8717	8538	8492	8406	8334	8225	8110	7966	7893	7788	7551	7434	7270	7123	7042	6871	6736	6584	6485	6389	6272	6102	5899	5654	5461	5322	5170	5016	4797	4658	4323	4106	3994	3892	3841	3699	3528	3361	3206	3098	2927	2793	2666	2476	2350	2197	2058	1955	1875	1778	1660	1523	1440	1211	1097	998	902	757	653	586	495	401	342	304	267	231	183	137	116	98	77	71	39	36	31	22	17	16	10	10	10	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	122952	114010	109006	103495	100209	97283	93789	89740	85918	82711	80101	77318	75560	73544	70963	69061	67363	65992	64896	63930	62750	61480	60175	58756	57439	56822	56155	55416	54489	53277	52626	52247	51738	50859	50119	49443	48667	47463	46936	46434	45580	44803	44130	43202	42394	41915	40974	40588	39993	39191	38820	37994	37431	36889	36070	35455	34720	33683	33185	32838	32130	31520	30831	30525	29640	28301	27861	27050	26306	25484	24745	23332	22526	21620	21011	19855	18978	17960	16819	15690	14739	13621	12342	11537	10260	9000	7769	6742	5695	4943	4038	3198	2478	1971	1467	1222	1000	764	564	434	326	210	141	109	70	70	46	26	23	14	13	12	7	4	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	69542	67796	66290	64577	62705	61493	60669	59117	58040	57217	56302	55505	54874	54178	53201	52332	51465	50769	49995	49371	48943	48280	47528	46711	46063	45757	45051	44336	43888	43363	42713	42066	41414	40989	40408	39734	38969	38162	37214	36634	35954	35655	35242	34422	33866	33311	32448	32267	31481	31089	30524	29724	28876	28350	27618	27268	26436	25431	24300	23607	23229	22459	22225	21575	20905	20099	19189	18447	17619	17014	16658	15644	14583	13913	13125	12103	12103	11859	10885	10204	9156	7558	6742	6383	5967	5444	4747	4116	3032	2683	2447	2198	1641	1385	1095	800	620	552	482	282	193	142	118	97	65	41	31	31	22	17	11	7	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
