State	X2020.12.19	X2020.12.18	X2020.12.17	X2020.12.16	X2020.12.15	X2020.12.14	X2020.12.13	X2020.12.12	X2020.12.11	X2020.12.10	X2020.12.09	X2020.12.08	X2020.12.07	X2020.12.06	X2020.12.05	X2020.12.04	X2020.12.03	X2020.12.02	X2020.12.01	X2020.11.30	X2020.11.29	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23
Alabama	183625	183625	183625	183625	174805	174805	174805	174805	174805	174805	174805	168387	168387	168387	168387	168387	168387	168387	161946	161946	161946	161946	161946	161946	161946	90702	90702	90702	90702	90702	90702	88038	88038	88038	88038	88038	88038	88038	84471	84471	84471	84471	84471	84471	84471	84471	81005	81005	81005	81005	81005	81005	74439	74439	74439	74439	74439	74439	74439	74439	74238	74238	74238	74238	74238	74238	74238	71240	71240	71240	71240	71240	71240	67948	67948	67948	67948	67948	67948	67948	67948	64583	64583	64583	64583	64583	64583	64583	61232	61232	61232	61232	61232	61232	61232	54223	54223	54223	54223	54223	54223	54223	51154	51154	51154	51154	51154	51154	51154	48028	48028	48028	48028	48028	48028	48028	44684	44684	44684	44684	44684	44684	41523	41523	41523	41523	41523	41523	41523	41523	37923	37923	37923	37923	37923	37923	37923	35401	35401	35401	35401	35401	35401	32510	32510	32510	32510	32510	32510	32510	29736	29736	29736	29736	29736	29736	29736	29736	25783	25783	25783	25783	25783	25783	22082	22082	22082	22082	22082	22082	22082	18866	18866	18866	18866	18866	18866	18866	18866	15974	15974	15974	15974	15974	15974	15974	13508	13508	13508	13508	13508	13508	13508	11395	11395	11395	11395	11395	11395	11395	9355	9355	9355	9355	9355	9355	7951	7951	7951	7951	7951	7951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	66132	65350	64500	63697	62839	62118	61399	60646	59932	59155	58366	57632	57040	56382	55640	54980	54342	53694	53026	52438	51911	51333	50892	50352	49810	49234	48807	48380	47890	47383	46951	46521	46103	45737	45400	45036	44675	44363	43990	43682	43460	43232	42950	42652	42317	42039	41776	41589	41398	41159	40906	40697	40426	40169	39920	39742	39525	39306	39089	38883	38705	38553	38384	38193	37994	37782	37586	37403	37287	37110	36920	36723	36534	36336	36167	36007	35838	35696	35553	35411	35261	35125	34998	34872	34730	34564	34393	34227	34053	33946	33835	33668	33526	33381	33250	33095	32975	32817	32628	32472	32310	32151	32003	31866	31721	31548	31384	31201	31021	30841	30682	30539	30331	30123	29939	29734	29526	29341	29147	28932	28731	28471	28233	28027	27800	27582	27339	27029	26736	26418	26102	25848	25527	25163	24815	24531	24222	23944	23702	23413	23064	22714	22358	21994	21626	21321	20978	20566	20171	19737	19293	18863	18518	18149	17661	17184	16684	16155	15678	15254	14829	14394	13853	13341	12803	12260	11836	11361	10903	10478	10137	9715	9411	9179	8926	8659	8389	8139	7936	7746	7581	7387	7196	7018	6863	6715	6598	6462	6333	6209	5980	5980	5851	5764	5639	5517	5399	5298	5172	5076	4967	4869	4761	4657	4551	4452	4361	4297	4204	4132	4033	3949	3872	3773	3693	3570	3450	3357	3145	3074	2979	2909	2852	2775	2684	1747	1722	1693	1671	1632	1597	1565	1528	1499	1475	1450	1418	1383	1345	1313	1282	1265	1155	1155	994	539	539	460	385	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	173832	171864	169745	167631	165467	163351	161337	159827	158018	156286	155077	153088	151248	149490	148131	146496	144624	142600	140682	138696	136872	135614	134312	132580	130818	128831	127059	125153	123722	122219	120545	118751	117068	115625	114312	112383	112383	111357	110365	109235	108201	107287	106594	105746	104816	103762	102666	101507	100067	100067	99165	98340	97450	96322	95314	94528	93977	93215	92288	91317	90283	89217	88450	87920	87256	86447	85597	84804	84055	83454	82924	81563	81563	80703	79052	79052	78358	77772	76186	76186	75312	74440	73573	72602	72051	71426	70737	69952	69184	66934	66397	66003	65542	64145	64145	63415	62740	61819	61245	61245	60668	59920	59260	58757	58295	57968	57547	56889	56261	55647	54961	54408	54133	53331	52665	51901	51351	50689	50251	49764	49135	48458	47666	46970	46133	45572	44905	44905	44602	42998	42998	42130	41452	40360	40360	39555	38848	38000	37240	36034	36034	35413	34737	33938	33188	32365	31622	29827	29827	28864	27990	27283	26397	25292	24776	24776	24195	23523	22844	22106	21591	20642	20642	19992	18725	17834	17834	16726	16726	16164	15698	15163	14531	14066	13270	12784	12127	12127	11568	11220	10793	10082	10082	9712	9376	8996	8352	8352	8110	7607	7607	7351	7116	6875	6424	6424	6266	5919	5717	5717	5401	5401	5275	5166	4583	4583	4424	4332	4249	4148	4029	4029	3915	3852	3739	3645	3590	3472	3390	3277	3220	3220	3149	2968	2968	2159	2123	2109	2041	2016	1999	1987	1973	1305	1249	1146	987	985	964	929	902	863	809	749	721	703	593	548	489	427	391	367	340	312	288	208	142	102	97	79	60	47	42	35	29	28	24	19	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	16240	16062	15874	15696	15696	15521	15350	15208	15027	14812	14571	14366	14125	13941	13760	13500	13233	12996	12779	12538	12345	12153	11957	11782	11628	11430	11201	11014	10831	10618	10392	10195	10004	9828	9657	9528	9352	9148	8980	8846	8738	8667	8562	8478	8366	8268	8179	8106	8038	7963	7854	7798	7724	7668	7628	7578	7513	7463	7394	7352	7286	7225	7176	7127	7087	7034	6968	6922	6869	6835	6814	6792	6756	6727	6696	6655	6635	6609	6576	6556	6531	6500	6469	6441	6424	6404	6384	6351	6332	6306	6291	6274	6254	6241	6220	6197	6184	6162	6156	6139	6117	6102	6093	6074	6057	6049	6029	6011	5992	5979	5953	5946	5933	5921	5907	5881	5867	5841	5823	5804	5791	5759	5759	5729	5712	5695	5660	5660	5644	5630	5608	5579	5554	5507	5490	5490	5471	5449	5424	5393	5359	5334	5309	5277	5243	5212	5182	5158	5133	5122	5095	5064	5019	4969	4948	4927	4909	4880	4844	4808	4780	4749	4728	4691	4669	4669	4636	4603	4568	4557	4541	4524	4502	4479	4459	4442	4430	4412	4392	4370	4342	4328	4309	4296	4280	4253	4231	4196	4196	4178	4178	4169	4150	4130	4112	4091	4074	4055	4034	4014	3983	3954	3919	3919	3859	3838	3783	3741	3702	3666	3640	3612	3580	3532	3478	3431	3346	3346	3312	3217	3217	3171	3114	3076	3023	2974	2869	2869	2801	2743	2650	2607	2553	2486	2415	2275	2275	2150	2150	2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9800	9651	9651	9651	9651	9651	9651	9651	9522	9522	9522	9522	9522	9522	9522	9408	9408	9408	9408	9408	9408	9408	9310	9310	9310	9310	9310	9310	9310	9204	9204	9204	9204	9204	9204	9204	9142	9142	9142	9142	9142	9142	9142	9049	9049	9049	9049	9049	9049	9049	8967	8967	8967	8967	8967	8967	8967	8893	8893	8893	8893	8893	8893	8893	8809	8809	8809	8809	8809	8809	8809	8721	8721	8721	8721	8721	8721	8721	8613	8613	8613	8613	8613	8613	8613	8516	8516	8516	8516	8516	8516	8516	8466	8466	8466	8466	8466	8466	8466	8351	8351	8351	8351	8351	8351	8351	8210	8210	8210	8210	8210	8210	8210	8053	8053	8053	8053	8053	8053	8053	7842	7842	7842	7842	7842	7842	7842	7611	7611	7611	7611	7611	7611	7611	7284	7284	7284	7284	7284	7284	7284	7284	7284	7284	7127	7127	7127	7127	7127	7127	7127	7127	7127	7127	6264	6264	6264	6264	6264	6264	6264	6264	5413	5413	5413	5413	5413	5413	5413	4346	4346	4346	4346	4346	4346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	18851	18851	18851	18851	18851	18851	18851	18851	18851	18851	18851	18851	18851	18851	18605	18371	18066	17907	17713	17463	17279	17082	16874	16712	16538	16262	16073	15890	15735	15534	15435	15301	15161	15007	14867	14727	14571	14487	14380	14276	14158	14019	13888	13766	13685	13598	13497	13375	13291	13188	13074	13008	12934	12846	12732	12643	12610	12493	12410	12335	12245	12113	12018	11928	11818	11724	11665	11588	11493	11430	11338	11236	11146	11071	10990	10880	10806	10748	10678	10648	10622	10599	10577	10557	10541	10517	10487	10443	10411	10376	10299	10257	10201	10193	10189	10165	10091	10077	10063	10027	10027	9920	9920	9847	9696	9641	9582	9514	9467	9419	9381	9318	9271	9156	9101	9050	9010	8972	8936	8923	8839	8809	8780	8749	8713	8671	8649	8613	8587	8519	8519	8500	8449	8416	8392	8365	8339	8303	8267	8235	8212	8179	8140	8108	8076	8035	7996	7961	7936	7893	7859	7362	7362	7362	7362	7315	7269	7236	7184	7139	7120	7002	6949	6901	6851	6815	6778	6740	6711	6692	6678	6676	6667	6665	6665	6665	6661	6646	6598	6554	6459	6459	6395	6395	6350	6305	6256	6172	6172	6116	6062	6001	5939	5888	5791	5791	5696	5631	5562	5493	5442	5353	5266	5205	5103	5010	4909	4802	4693	4598	4454	4296	4130	3965	3760	3545	3478	3367	3210	3080	2942	2802	2619	2537	2450	2288	2110	2008	1847	1716	1640	1546	1403	1275	1173	1096	996	911	809	703	643	599	565	495	466	423	423	378	354	277	213	191	191	177	173	144	144	71	71	71	71	49	49	22	9	9	9	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	18893	18743	18582	18392	18137	17914	17745	17618	17493	17291	17081	16884	16733	16665	16596	16374	16268	16070	15914	15746	15671	15603	15476	15401	15281	15085	14935	14882	14821	14699	14589	14477	14336	14271	14182	14160	14160	14103	14036	13977	13919	13843	13811	13738	13653	13601	13517	13443	13349	13348	13348	13325	13276	13215	13179	13104	13068	13028	12979	12938	12884	12824	12801	12793	12731	12681	12627	12583	12539	12531	12492	12456	12431	12350	12350	12306	12299	12252	12252	12202	12155	12115	12053	12037	12029	11990	11956	11929	11886	11856	11829	11823	11802	11763	11691	11630	11592	11574	11561	11526	11498	11452	11414	11366	11355	11323	11297	11254	11211	11150	11105	11087	11046	11010	10986	10923	10885	10835	10812	10800	10772	10720	10596	10595	10521	10493	10452	10416	10361	10300	10232	10188	10156	10124	10118	10094	10015	9959	9893	9870	9816	9816	9777	9723	9664	9639	9607	9603	9582	2020	1974	1932	1909	1886	1877	1863	1843	1809	1774	1756	1737	1717	1703	1662	1625	1574	1553	1542	1523	1497	1465	1451	1270	1200	1199	1194	1186	1182	1182	1182	1182	1172	1166	1162	1155	1155	1155	1155	1150	1143	1143	1143	1143	1143	1143	1143	1138	1138	1138	1138	1137	1126	1116	1100	1089	1082	1082	1080	1080	1075	1075	1069	1061	1059	1040	1028	1023	998	975	966	934	886	881	880	879	825	825	808	667	666	666	666	666	660	660	660	659	657	652	651	648	645	636	630	622	608	573	552	530	518	507	493	447	426	393	361	318	287	258	235	206	173	142	121	106	66	51	49	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
