State	X2020.12.21	X2020.12.20	X2020.12.19	X2020.12.18	X2020.12.17	X2020.12.16	X2020.12.15	X2020.12.14	X2020.12.13	X2020.12.12	X2020.12.11	X2020.12.10	X2020.12.09	X2020.12.08	X2020.12.07	X2020.12.06	X2020.12.05	X2020.12.04	X2020.12.03	X2020.12.02	X2020.12.01	X2020.11.30	X2020.11.29	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21	X2020.01.20	X2020.01.19	X2020.01.18	X2020.01.17	X2020.01.16	X2020.01.15
Alabama	2380	2548	4221	5348	4695	4107	3638	2264	2790	4066	3853	4735	3522	4436	2352	2288	3390	3840	3531	3928	3376	2295	2236	2119	917	2639	2453	2785	1574	1798	2335	2463	2424	2638	1616	1410	1979	2226	2980	2000	2070	1710	1170	1205	1768	1556	1381	1848	1037	907	1700	1789	1347	1443	1269	1115	967	1079	2360	3852	2536	0	1043	859	964	1288	1212	1185	784	1117	734	816	1061	1490	557	941	764	544	789	1682	954	1043	1147	571	662	730	933	2452	1053	569	804	818	798	1301	1106	670	927	701	704	1109	943	1138	1148	811	633	659	511	1410	1108	1046	623	1558	823	1346	1704	1162	1769	2012	532	1650	528	1762	321	971	1117	1357	571	853	1271	752	771	935	831	1686	2947	86	1709	1938	952	1041	1217	2095	1626	1961	1980	1416	1251	1821	1164	2125	1793	2399	1455	1467	1880	1777	2143	2003	2021	1812	1710	1958	1640	1439	1334	2212	1177	907	925	1091	997	1754	1149	917	870	1734	358	900	977	1142	967	643	433	472	547	796	894	400	640	657	1014	891	865	856	567	497	425	457	656	315	221	209	279	460	544	536	513	467	447	666	403	389	375	444	375	368	290	315	248	307	248	351	307	301	232	210	346	323	317	296	260	300	291	276	139	177	155	188	229	133	305	54	313	234	206	188	182	125	185	232	237	142	209	334	223	199	400	250	151	172	216	148	199	156	96	122	53	110	109	81	223	68	48	29	14	43	13	22	10	8	16	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	7748	5366	5560	7635	5817	4837	4134	11806	5853	8077	6983	4928	4444	12314	1567	5376	6799	5680	5442	3840	10322	822	3221	4136	4312	3476	3982	4544	2659	4331	3638	4471	4123	3206	2984	1476	2383	3476	3015	1399	2030	3434	435	1880	2620	1996	2135	815	1679	666	1527	1901	1565	1315	1043	1158	801	1391	890	976	994	975	1040	748	742	921	738	1113	901	684	475	597	894	683	863	604	864	316	355	636	551	705	323	674	273	411	459	515	568	438	595	233	467	609	1282	1753	698	484	213	384	605	521	461	496	81	198	250	835	728	1092	519	507	174	374	629	519	680	186	859	311	208	996	619	723	637	915	468	883	933	927	1351	706	1214	600	816	1054	1406	1444	1698	1008	1030	1465	2992	3212	2525	2339	2107	1813	1973	3740	3357	2335	1926	3500	1559	2359	2742	3910	3259	3257	4273	1357	2537	3038	4221	4057	3520	3653	3352	3536	2695	4433	3333	4877	4682	625	3857	3503	3518	3056	1795	3593	2196	2592	3109	3246	2519	1827	2392	1014	1233	1540	1654	1412	1556	618	789	1438	1119	1579	520	983	1127	187	681	790	702	501	479	222	222	300	431	293	418	331	396	233	306	462	495	498	440	356	261	159	434	581	238	402	386	279	276	402	314	446	254	232	190	246	235	276	310	208	187	135	210	212	273	272	156	104	163	146	281	94	292	151	119	187	250	250	171	185	124	132	238	46	137	159	127	93	92	113	48	39	21	16	8	2	6	0	3	0	0	3	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	1457	1536	2693	2878	3039	2306	1691	1805	1450	2628	2770	2202	2327	2283	1118	1542	2245	2827	2789	2212	1950	1112	1221	1349	1052	2348	1965	2122	1017	1352	1905	2061	2238	1715	1554	1308	2722	0	2312	1809	1962	1424	945	1038	1598	1870	1548	1293	878	1451	0	1316	1162	1072	961	952	612	797	1183	1337	1202	1155	844	531	644	883	1015	1278	1079	680	654	613	2075	0	1265	809	641	417	488	746	958	1124	942	706	807	487	809	897	1086	982	617	641	563	1078	871	992	862	730	408	509	727	1180	548	498	477	1054	0	548	1174	1392	615	273	368	478	795	838	722	649	480	320	375	547	887	549	729	410	412	673	-400	626	652	703	383	645	1344	0	1011	735	912	784	1424	0	662	752	791	787	734	824	1374	0	990	1013	591	728	1394	771	0	648	817	564	794	572	1564	0	751	1540	0	259	1044	0	587	547	878	420	520	947	570	678	0	687	697	595	941	0	511	703	322	415	274	416	954	0	731	448	288	340	314	325	450	584	0	624	0	190	240	475	0	261	97	151	107	310	0	154	455	80	110	54	181	115	227	72	0	130	287	0	53	83	43	72	38	27	59	51	66	63	81	94	76	112	88	276	189	49	304	142	42	44	75	51	89	70	130	54	55	52	119	54	71	45	87	39	61	59	61	50	47	22	23	46	55	62	44	9	47	22	50	13	11	0	6	4	3	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	37892	46474	43608	41012	52281	53711	32326	33278	30334	35729	35468	29677	30851	23272	24735	30075	25068	22018	18591	20759	12221	14034	15614	11996	12635	14640	18350	15329	8337	14319	15442	13005	11478	9811	8743	9890	10968	9875	6893	6927	7464	5367	7212	7682	5863	6518	4566	5338	4044	4094	4529	5087	4014	4191	4515	3188	2981	5219	5945	6141	2940	3707	3286	3474	2862	2979	3075	3329	2666	2378	3449	3803	4170	3806	3575	2764	1677	3055	4293	2159	3590	3062	3200	2162	2955	4071	4197	3400	3170	3146	2630	3294	4265	4304	3630	3238	2950	2235	2855	4625	4107	3326	3338	1616	2676	3091	4905	4956	5106	5125	4255	3712	4176	6070	4981	5329	4430	6004	4480	4946	6777	6556	5585	5920	6164	4636	6469	7873	12614	7934	7085	11645	12500	7751	8373	7371	8436	5258	5295	4526	5739	9032	6542	8086	10197	8755	6000	6891	8259	10066	9718	12040	12807	9231	6846	9329	9199	9986	8544	11126	7346	8358	8460	8047	7798	7031	11694	6090	5699	8597	9153	5688	6408	7407	9480	8009	4810	5972	4890	5349	7149	5019	4230	4515	3893	4317	4084	3455	2108	2597	3212	3660	2702	3090	2702	2170	2507	2796	3115	3094	2120	2377	2304	2423	3705	2992	2189	2717	2247	2175	1848	2079	2187	2247	2140	2262	1365	1591	2046	1857	1772	2023	1759	1443	1259	2119	2049	1898	1799	2603	1275	1321	1419	1755	1525	2417	1469	1567	1300	1027	1883	1885	1973	2135	2283	645	1370	1435	1346	1758	1086	990	554	1179	1143	1163	1352	1092	1529	898	1412	1325	1510	1036	673	1035	739	1065	764	873	651	253	369	197	257	216	139	313	128	148	42	41	50	0	45	24	19	26	19	9	7	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	2146	2292	2491	3693	3698	3334	2278	2911	2559	3961	4678	4649	3757	3971	4037	3234	5125	5013	6037	3862	4405	4133	3489	4330	4270	6053	4191	4150	3689	3921	6113	5765	6107	4650	4331	4296	4183	5196	6439	5197	3975	3890	3553	3017	3498	3463	3369	2928	2562	2237	2560	2924	2412	1806	1475	1433	2211	1689	1828	1350	1373	1267	1208	1072	933	1139	1312	1141	692	1048	576	819	1023	834	863	731	654	461	521	657	680	682	511	535	411	569	584	709	548	616	654	542	501	606	605	459	587	400	375	417	415	307	265	246	187	213	285	334	368	268	244	351	201	182	268	430	350	193	459	198	260	297	356	329	270	261	194	338	300	319	463	315	402	379	336	431	457	448	594	426	252	449	458	605	408	482	749	229	547	809	666	616	639	493	424	354	444	618	571	469	444	329	322	400	666	409	452	407	192	199	247	267	323	314	204	204	285	226	317	324	262	188	166	190	162	286	228	231	143	169	113	195	175	148	152	164	182	153	233	255	300	272	211	199	280	485	492	354	202	296	95	210	477	296	394	315	280	264	305	401	394	363	318	278	176	328	548	456	541	466	457	272	410	457	484	526	442	437	438	473	713	993	384	431	341	376	297	386	372	395	339	250	388	410	383	308	547	226	257	222	385	392	445	386	376	339	320	246	327	304	344	174	192	129	116	112	86	61	33	23	29	0	30	29	27	17	16	3	1	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	4595	0	0	2680	2321	2319	1470	7231	0	0	3782	2431	2290	2414	8129	0	0	1538	4751	2672	1459	4714	0	0	3429	0	1872	540	5271	0	0	2088	2353	2042	1702	4639	0	0	2746	1158	1754	1524	3338	0	0	1065	1687	1515	0	2651	0	0	761	1319	490	538	2047	0	0	679	502	416	434	1191	0	0	802	167	164	320	1339	0	0	290	384	123	121	823	0	0	555	192	221	182	560	0	0	115	157	155	136	497	0	0	141	220	135	136	569	0	0	233	222	89	417	0	0	0	156	101	102	127	384	0	0	145	130	180	29	492	0	0	87	118	59	-12	370	0	0	115	76	22	117	247	0	0	75	20	115	48	252	0	0	140	130	463	94	207	0	0	544	9	127	41	162	0	0	143	114	106	20	223	0	0	78	101	75	57	259	0	0	71	74	58	152	59	97	147	65	81	14	117	27	40	158	117	11	80	114	147	94	305	228	114	168	87	124	150	358	221	148	112	236	542	179	260	203	271	-15	430	405	446	382	432	191	587	314	697	716	618	621	609	522	568	211	570	573	627	789	374	1334	0	523	0	1064	933	455	1043	0	687	661	821	631	2109	545	2265	741	0	925	1129	766	608	1346	525	972	754	2003	0	875	1231	399	362	1090	267	429	557	578	469	233	279	137	257	203	192	29	0	98	28	27	15	6	9	5	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	440	480	1027	341	839	787	685	997	584	1058	782	643	929	753	799	816	698	942	758	355	689	403	581	500	591	584	331	453	403	487	505	663	398	203	352	397	408	379	470	204	230	204	305	345	223	282	219	108	115	185	175	200	198	161	143	81	207	114	160	159	153	50	129	103	151	218	164	95	71	105	159	132	171	145	132	84	103	120	118	188	150	174	82	142	129	104	71	138	117	69	94	101	117	83	48	84	97	200	88	123	260	0	158	0	59	206	151	140	99	104	14	106	86	-6	266	107	-10	24	20	47	67	58	52	75	50	57	85	55	56	373	268	0	65	59	73	57	80	69	159	82	106	72	89	99	87	126	70	116	115	-27	278	132	46	227	0	90	92	223	64	81	90	75	61	91	121	69	48	121	165	132	73	192	221	36	98	150	135	74	37	91	42	27	45	94	70	112	55	41	63	76	35	56	67	50	36	48	30	97	72	27	34	27	80	107	76	186	65	75	30	101	156	119	161	143	192	157	168	199	123	174	150	271	211	176	118	170	166	172	161	407	83	80	170	120	184	79	80	413	128	458	134	134	108	269	186	207	215	0	248	61	253	136	146	0	153	119	279	0	255	0	80	143	57	25	49	55	32	18	51	33	15	24	23	12	11	7	8	5	9	8	2	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	139	259	238	274	228	263	301	164	231	286	259	244	265	270	183	264	392	316	322	157	133	104	140	371	201	220	107	119	139	190	153	130	213	156	245	87	163	148	159	128	206	86	86	110	99	110	81	77	86	69	103	122	70	101	67	94	45	61	97	72	39	53	50	25	36	79	89	34	64	46	38	66	75	78	68	45	105	28	46	50	65	32	26	36	14	35	52	57	56	29	43	23	53	50	62	47	56	65	30	40	59	81	25	25	47	36	41	52	51	58	28	57	33	34	74	57	72	38	45	49	56	65	60	55	29	52	53	61	41	94	65	63	89	54	100	64	71	75	45	85	39	69	79	69	58	54	87	78	63	68	78	42	102	88	78	67	79	39	50	80	40	59	46	58	64	37	73	54	33	35	12	45	25	38	35	44	32	31	26	31	34	36	38	36	32	49	56	29	19	32	58	55	65	52	63	85	57	63	70	79	104	130	29	56	84	179	46	86	72	109	259	0	73	105	237	117	164	147	81	171	135	152	99	96	117	170	203	245	193	139	152	154	219	139	335	217	112	102	51	142	171	167	155	108	171	134	127	190	126	153	139	103	80	97	118	137	83	229	114	99	96	145	104	67	91	94	59	38	37	36	48	46	21	18	21	6	32	8	9	5	1	6	0	0	5	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	10907	8140	11456	12827	13102	11282	9296	8343	8762	10385	11409	11071	9411	7801	7537	8175	10198	9898	10656	9890	8540	6426	7131	6062	16795	0	8126	8102	6114	6374	8175	8831	8882	7727	7285	4530	9820	4405	6760	5504	5669	4282	3845	6619	4380	5150	6120	4332	4553	4569	4805	2283	5383	4111	4005	4226	3336	2348	4381	3618	5461	2106	3556	1691	2474	3968	3365	3286	2808	2657	1519	5414	0	2853	3246	2544	2201	1406	1786	2753	2610	2551	1880	3209	728	1847	2731	2809	2477	2594	2414	1671	2497	3510	3177	3273	2288	2743	1718	2395	3168	3604	2537	2006	1797	1812	2513	3593	3147	3487	2310	7487	1876	2547	3132	3732	3229	2937	2665	2224	3004	4260	4616	4516	4080	3787	2649	3747	6291	7997	6227	8095	5762	4150	6139	8343	7541	7573	5424	5357	4814	7056	9502	8900	9835	9320	9138	8804	9246	12045	12320	10112	9664	9263	10405	12385	10173	11174	13759	9992	9183	12207	15149	10274	11250	8890	9947	7299	6237	9856	11330	9324	9442	6545	6027	5363	8354	9534	8814	4991	5471	3798	2751	4617	4002	3313	2694	2427	2691	1760	2133	2476	1634	1669	1242	1158	1029	1392	1244	1019	1265	1209	602	700	870	752	1221	614	475	503	980	545	733	725	1190	475	612	654	1136	480	786	792	799	606	383	681	765	344	625	581	574	768	632	703	977	514	343	748	519	795	734	1214	697	859	746	713	741	1083	1199	897	592	922	809	1064	1088	1033	1046	1006	1159	763	1148	1281	1268	1032	904	852	876	705	659	535	497	283	176	298	203	142	76	99	62	27	31	40	20	5	6	2	5	1	4	0	1	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	3111	5087	4236	6092	5835	4186	4812	3296	4310	4830	4729	6062	3744	3686	4861	1805	3717	4947	4373	4051	2796	1532	1665	2633	2394	2907	2358	2424	1809	1976	3025	2769	2751	2424	3536	981	1952	2492	2315	2496	1640	1873	1103	1253	1719	1738	1916	1863	1668	939	1192	2565	1377	1823	1653	1491	958	1318	1846	2224	1785	1312	1128	752	1174	1534	1609	1640	1297	993	902	1140	1237	1625	1265	1492	936	789	847	1444	1300	1308	1720	1025	596	812	1359	1468	1368	1457	882	1184	1134	2284	1834	1847	2223	1496	1023	1409	2124	1658	1836	1937	1543	608	1651	2194	2066	2675	1916	2226	1498	1215	2386	2298	2484	2236	2101	2304	1727	2592	2889	2759	2305	2816	1831	1862	3273	3227	2515	3565	3563	2429	3169	4423	4109	3182	3765	2513	2258	3165	3660	4066	3963	3271	4209	2890	2765	3787	4813	4286	3314	3413	2452	3251	4689	3908	3441	3871	3394	3643	2525	3190	4484	2837	3420	3406	1548	2197	2826	2784	3472	2946	1874	2207	2225	1990	1900	1714	1703	1750	1227	892	1800	1097	882	952	664	733	880	1018	810	993	731	752	599	589	688	774	953	687	589	632	700	616	600	649	691	386	506	706	914	813	758	926	640	380	554	466	823	526	697	708	486	909	426	667	743	985	343	766	296	1036	1115	532	1008	702	512	706	548	635	772	859	934	646	632	475	1525	682	764	908	863	293	676	917	665	1083	1504	667	487	329	483	710	709	1120	158	285	365	476	278	221	254	172	93	87	133	90	51	25	22	33	24	11	9	5	5	5	1	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
