State	X2020.12.21	X2020.12.20	X2020.12.19	X2020.12.18	X2020.12.17	X2020.12.16	X2020.12.15	X2020.12.14	X2020.12.13	X2020.12.12	X2020.12.11	X2020.12.10	X2020.12.09	X2020.12.08	X2020.12.07	X2020.12.06	X2020.12.05	X2020.12.04	X2020.12.03	X2020.12.02	X2020.12.01	X2020.11.30	X2020.11.29	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21	X2020.01.20	X2020.01.19	X2020.01.18	X2020.01.17	X2020.01.16	X2020.01.15
Alabama	6411	8462	10678	12037	11585	8943	8516	27230	0	0	12077	11198	9074	12517	6532	7880	10793	10420	12425	9681	9495	4634	5811	6189	4771	9355	8722	11237	8242	7200	9974	11495	15049	8122	6943	7197	6251	12280	19285	0	15451	-690	4138	6323	8920	8341	7495	8563	6629	3840	6327	10564	8254	7129	7419	5193	5028	6798	6095	9078	7172	7948	5475	6204	5101	7613	7108	7853	5014	6597	4603	5687	7868	11742	3892	7971	5334	4995	6473	10444	6869	6693	12327	3366	5107	6307	7337	19415	7277	5350	6036	5500	5595	9412	7757	4046	7584	5232	4164	6681	5230	4876	6878	5894	4172	3687	6312	7188	4019	1076	4776	-26943	4098	5070	10812	7821	12023	15568	4625	-339	5387	19503	0	11161	16939	15199	6444	9276	11923	22370	6715	12022	2827	18085	12910	0	9348	12012	5093	8172	7880	8635	7780	9181	11776	2723	7369	8230	7948	12451	9333	9923	8990	6490	8221	10946	11306	11956	9972	11932	9448	8000	9460	9767	23846	0	6912	6250	5209	7798	11457	10907	5788	7290	13343	6997	1777	6169	8852	10686	4708	4924	4432	5155	8194	8782	11799	5289	2742	5219	4203	6864	7553	5761	5306	8156	0	13922	6151	3860	4002	7495	567	1928	9106	3318	8402	4687	2035	3444	4516	3123	4908	7029	6289	6884	443	773	2856	7431	9691	3154	0	3774	2023	1927	5380	4941	5657	2750	3649	10617	291	276	4737	6747	4622	1830	446	2207	18649	54	3881	234	2626	188	3174	4690	1457	2314	960	3935	7599	334	223	199	1705	4206	151	1687	2225	1234	883	962	495	726	1563	110	109	672	1287	491	489	230	1450	43	13	22	10	8	16	12	16	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	37767	57721	48550	51882	53583	34631	29759	38805	60734	57294	51785	44258	26478	43	4081	15440	33404	46993	50731	54038	57515	22500	23429	27409	10480	47663	51057	57140	23236	30985	45002	48856	49728	46783	43841	17004	22808	34245	38870	28355	38838	36237	14835	19277	31744	34703	35256	34495	33230	12212	13357	24885	28898	28512	29084	28065	8960	13744	22591	24855	29539	27308	26554	10128	12365	20992	21201	24411	22286	22093	7898	10105	19197	21118	22948	24292	23800	7473	10587	19466	19988	22709	19057	19062	6529	8893	16612	17766	20098	21703	21299	7122	8384	15973	16624	19986	18821	18561	5262	7128	14887	14977	18254	18766	4585	4350	4927	16048	16020	17572	20014	20022	4377	6351	14000	14666	20913	17290	18055	6234	7824	15936	14610	17491	17636	17732	7165	9554	16372	14070	17477	17963	18163	7764	9320	14424	14691	16491	15857	17483	6711	11765	16944	15666	16351	17261	19111	7668	11726	16169	16189	18413	18935	18865	7363	12791	21913	20774	23346	24177	22248	8500	12589	23522	25796	24826	26150	25193	8494	8073	17463	26589	26174	26669	26633	9565	13808	23684	23669	23698	23477	21964	7690	13128	22321	20636	17723	17988	17774	6281	9317	16337	15088	15036	15112	14456	4814	6308	13828	12096	11044	11141	11073	3481	9103	10822	9146	8255	9151	3181	3387	6367	8156	7546	6829	8051	9122	3281	12342	9674	7269	7445	8094	8195	2156	10983	7030	7106	5702	5785	5685	1632	6549	5124	4105	3842	4060	3535	892	1163	2991	2582	2510	2450	2745	967	981	2458	2335	2216	2171	2304	898	854	1961	2106	1889	2420	3664	948	1138	2241	2412	2383	2274	2441	781	1237	2407	2426	2729	2586	2548	724	806	1919	1652	1449	1396	1043	303	261	478	391	137	63	75	17	13	37	17	30	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	9289	12969	13823	13674	13686	11617	8272	10495	12673	14852	15181	12964	16536	10425	9923	14704	13760	15285	16135	11813	7996	7629	10243	9591	8850	14638	14603	12730	10226	14006	15068	13423	14667	12504	8413	11312	21690	0	13717	13153	12250	8328	8545	9378	11491	14097	12783	11237	5456	16457	0	10401	11281	12348	9706	8391	6845	7982	12517	11967	12782	11100	7738	7970	8302	9744	11896	12660	10677	7599	8412	8938	26190	0	13970	9885	8527	6801	7605	10478	11644	12899	21812	10207	57071	6732	7601	8881	10466	8950	6473	7540	17549	0	11114	10632	-26195	43795	6190	545	24175	0	13185	0	11084	6499	0	18094	9868	0	6424	3990	14348	5717	8915	8027	6755	9569	0	2878	12235	0	10082	7229	8628	10602	0	33390	0	5180	10612	0	3548	5489	12308	0	12422	5202	0	6499	12819	0	11864	0	7112	5699	5015	7624	15803	0	15997	5832	0	6819	13645	6166	6156	6705	4932	5707	7103	0	12753	4988	0	11389	2876	5867	5636	0	7656	7250	9129	3655	8667	11314	7257	6585	0	5514	7374	8153	14105	0	7462	6338	7735	15407	1240	7063	9972	4372	6428	0	5697	10247	0	3516	5782	3590	4905	9244	0	3721	3018	6729	1127	3142	3877	0	3041	5534	0	3771	3018	2557	8516	0	3656	0	5711	2603	2771	1414	3502	0	1534	3999	992	4368	193	1552	1308	1906	1297	2930	4778	214	988	1416	2475	3988	1877	2272	888	2344	68	647	819	841	703	327	1082	1144	1458	2169	421	892	793	1603	872	671	1176	585	1456	747	2282	111	1416	87	122	552	85	204	191	238	91	87	50	65	35	42	38	9	18	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	395234	352921	371222	284669	306768	304524	293027	356452	309457	313787	248011	282261	252296	296424	298305	293071	226497	200836	175516	137813	136142	217670	234319	257264	219173	186394	168988	283819	220235	265477	241281	178023	133985	159467	190182	202109	195189	193096	136428	119979	127452	176162	193851	159477	168802	129986	85351	106091	162420	169186	140998	157794	120752	100175	96547	144220	194944	178706	125886	124523	65631	104069	146662	150346	135351	134755	104144	92325	91770	142376	144337	168559	141948	112874	66917	126285	128740	141394	161399	130457	96580	66649	91657	128693	151354	150768	130483	99390	73434	75368	131273	149624	179272	166700	97149	79515	72352	121981	116173	133049	105307	61669	46194	75849	109656	111101	130868	119353	133046	83554	109674	97391	141476	122199	98993	92222	85658	70251	110019	111456	104679	106980	101406	87283	91644	115259	135645	117024	124513	111105	142026	117188	187926	172234	118592	110645	96419	91063	103687	121017	148721	149388	75546	177201	116374	99600	121288	128439	120784	131479	137572	113885	127487	122611	127469	119634	123119	128591	122232	118321	130590	137766	130904	99958	97303	82259	99805	103017	113215	127107	104855	109458	84542	87037	105447	105740	93642	90996	76969	101446	95970	85243	92430	84844	78710	81172	76542	60233	69573	66186	77603	62135	64611	56849	54553	55055	68972	53918	69837	55792	51377	59703	59008	67735	56253	53117	44919	53665	40498	52294	61357	67439	48533	45646	41007	40804	46644	57429	56117	45220	29255	39059	32222	41473	36233	43094	37298	32398	33838	29134	32028	32123	30703	30063	29648	22198	25531	24199	27325	20049	11862	12076	16770	165227	9600	9600	21234	8052	5214	29914	14278	11326	554	17109	8356	1363	19236	13035	13798	898	2833	78400	2300	3073	673	2258	739	1065	3933	873	2110	2722	1254	1460	312	1041	1776	1119	128	148	7107	41	50	0	45	250	19	254	19	9	7	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	31861	39692	33004	47792	46805	35442	31936	36588	35198	46640	48945	50721	40346	35448	37843	36046	45040	53979	54195	33359	36690	43725	31899	51389	45689	65750	41136	37523	46130	47972	54920	57018	55085	41034	39485	36344	38301	41852	51797	44534	40486	32354	29043	30597	37697	35158	32819	26963	21509	25847	30073	41137	27177	25425	18034	18848	31847	24058	27792	25756	22065	18545	15588	19137	21260	21496	21030	22571	14324	17303	11150	19017	22708	22256	18897	17969	15070	13722	16204	17990	19426	19761	15979	14538	13239	17748	18042	16752	15116	13457	13151	10712	13046	13550	14919	13057	9912	9275	10485	12609	13587	10786	7923	5297	4373	10049	8473	10332	10961	8294	6855	4672	7168	7851	9329	12632	10236	7113	7996	9049	8444	11226	12233	11486	7348	6607	8201	13317	10939	11505	12228	7640	7146	8537	10717	11352	13197	11829	27618	5105	7361	10606	12589	12542	10578	11940	17337	3393	11224	16281	13339	9180	11389	8863	12383	9246	9049	8941	10938	8614	7297	8154	9327	9050	11375	9332	7131	6190	6571	6747	6697	7934	8706	7001	5803	5462	7655	8521	7238	8287	6281	4114	6238	5637	7016	7595	6502	6818	4481	5164	5893	7385	5596	5401	5172	4793	5261	5366	5690	6581	8296	4859	3395	5096	7532	5703	7915	7178	4440	4175	4033	3379	6197	3550	5121	4365	3014	3269	3414	4422	4262	4017	3821	2929	3071	4024	4680	5376	3306	3161	3010	2232	3582	3335	3336	3312	2754	2702	2659	3237	2943	5249	1904	2167	1476	1477	1826	1581	1706	1495	1182	1018	1794	2585	2462	1675	2199	1233	1634	1202	2120	1968	1816	1589	1692	1407	1633	1283	1687	1593	1833	1134	1231	924	1422	832	807	524	736	461	303	179	192	135	128	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	89021	0	0	39154	36103	31327	24729	119244	0	0	54546	36690	30320	28114	123323	0	0	27985	66673	41230	24756	106837	0	0	71504	0	31383	13241	109429	0	0	31780	36596	34226	33306	86485	0	0	43186	24276	36943	22684	89974	0	0	29683	58044	33883	0	79410	0	0	30692	22519	14339	13097	92193	0	0	23481	22137	15864	14665	71964	0	0	33064	15845	8376	13404	100405	0	0	17281	27213	7611	17713	50311	0	0	72030	10387	12401	10386	52055	0	0	13678	15575	10074	12058	45618	0	0	13875	13868	3634	10783	49004	0	0	21524	16613	5960	49229	0	0	0	19442	14237	11641	19242	45590	0	0	14010	15461	15329	4990	55346	0	0	7530	12420	9689	10763	44278	0	0	10355	8052	7984	8342	38324	0	0	7535	8989	11838	7089	35186	0	0	15268	12952	13088	7637	31979	0	0	25184	13482	11569	41	5665	27162	-139	25	14425	11535	12143	2586	31006	-73	19	12439	8177	7313	5945	24542	-60	-28	10305	11451	11536	21462	6330	9206	12704	7850	6473	-1484	6351	2043	3799	11795	7014	4571	6435	4922	7184	5035	14061	8067	4982	4327	4672	5594	16042	5862	5089	5826	9217	11347	3111	5542	5868	6656	3507	3636	7590	5769	6039	5881	5729	5198	7841	7072	5852	8847	6346	6619	4519	5916	2316	6623	3028	4367	4727	2804	6150	0	2236	0	3124	2315	2073	12934	0	2209	3564	2541	1579	5726	1386	4593	2751	0	2340	2979	4302	1532	3089	1389	3543	2786	4466	0	2350	3416	1241	2014	1715	1700	443	1557	2700	1700	1800	1763	739	598	800	1400	800	1502	98	507	27	15	6	9	31	10	21	18	9	17	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	7129	7996	7520	8332	10563	9676	8556	9931	6829	9874	8820	8158	5841	8081	9960	8480	9014	4175	8590	3851	3754	10970	9274	10939	3664	5944	6634	5527	7533	9593	10902	16112	1216	8113	5075	6597	5894	7673	4127	1319	4285	5244	6237	5281	5159	3331	1308	2423	4077	4716	6396	4014	4020	2057	2058	3323	6187	4782	5276	2913	1483	3377	2352	6458	5098	6058	3199	1608	3707	5460	6265	8353	6319	3449	1920	3109	3681	5425	4602	4767	2006	1399	1916	3259	4249	5109	2243	1404	636	1428	3412	3461	2640	3083	2901	3448	2282	2659	4996	3491	2418	2664	1321	2572	2583	4972	2156	3778	2791	1862	4459	2885	2285	4223	4719	3135	3285	2495	1274	4194	3293	3394	1776	2077	2936	3260	2769	2952	3974	2613	2047	3127	2820	3793	2369	3937	2800	1502	3448	2615	3691	3163	5209	1834	1695	3096	3688	2967	2579	3115	2854	1969	3419	4013	4709	3925	5260	3513	2157	3774	2239	2515	3873	4637	2746	2051	1276	5631	3742	4496	8054	2613	1618	4174	3435	4839	3119	4980	2234	1184	2304	3467	2813	2861	4860	1456	979	2648	2741	2889	3371	2416	1619	1664	1984	1002	1100	907	1897	1859	1232	558	766	1657	2282	2709	1052	794	1744	1014	1130	2286	1478	1106	1171	880	983	2093	3034	1392	1342	1104	746	953	1630	1947	2059	1710	1377	1125	850	1169	1163	922	743	848	831	730	1048	1266	1233	769	1096	383	701	942	791	971	714	715	491	553	688	1098	661	869	1218	661	861	1247	1071	1206	570	542	590	457	542	476	431	414	419	363	264	370	346	185	304	480	66	231	60	32	9	7	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	4839	8300	8097	8695	5819	6404	9005	4714	7351	8168	4913	5326	6876	6547	4451	7246	9145	8251	8506	4076	2153	4914	5004	12899	9238	12966	1313	9461	8929	11748	6580	4370	6422	4670	6390	1732	5301	5718	6071	4458	5239	3019	3365	4864	4262	5821	3411	3672	5245	2928	11116	0	4266	4457	2869	4348	1958	4679	5800	6318	2992	2636	4767	2235	3837	7181	5173	2352	5181	4262	2652	7068	6874	5409	4160	2627	8461	1743	2276	3431	3938	2320	1464	3348	1889	3180	4393	5719	4419	1815	3889	2600	4267	3759	5800	3077	1961	4132	1507	3204	6001	2248	1528	1062	2883	2205	3646	4513	4592	3962	1953	2162	2593	2333	4207	4845	2956	2126	2221	3355	3606	3382	5073	2326	2181	3823	2803	3636	2911	6656	2908	1992	4358	2449	4608	4609	2742	3158	2698	1312	1623	3411	5040	5751	2941	2027	3874	2550	2589	3749	3239	2449	3861	3971	3975	2810	3348	1365	2298	4028	3696	3337	2833	3166	4961	1634	3912	2727	1657	1439	1745	1746	1028	2740	1935	2228	3861	1148	1392	2558	871	1298	2482	1569	4162	1592	2113	2960	1280	1316	1494	1083	2665	1096	1040	1386	1219	869	1817	765	1534	1861	438	780	854	1771	344	817	642	1252	0	1875	-4065	1237	1337	1045	1549	1299	994	1193	2681	608	0	789	691	1387	1068	1259	872	655	534	693	1098	869	1056	850	344	469	348	766	769	603	428	563	826	414	431	625	493	625	241	350	294	601	684	631	441	460	370	619	396	854	514	1222	91	674	272	296	351	307	251	274	103	174	472	11	380	23	43	13	18	36	29	0	5	3	7	4	3	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	116673	93311	123243	132680	131562	108401	85977	90729	103473	120432	131102	127033	97815	89756	92339	96582	129842	121877	119339	98399	89717	71417	85090	79276	242690	0	106585	101987	79792	90769	113698	107865	110691	87065	77345	51327	122779	37613	78469	69004	67377	46452	44970	101854	48304	76349	92039	54498	55696	39866	107550	35722	88022	81412	70701	64541	56560	50215	120483	92812	97356	31901	58302	36064	53114	76807	77646	63585	52615	53779	36802	105804	22523	69642	71411	60824	42993	35365	49430	58250	70613	59906	40727	64222	19004	45268	66440	65615	58096	48926	40522	38280	53474	78220	76142	73203	51573	63096	46031	56042	71355	66136	45837	38874	36334	40794	49967	61498	62489	57417	44016	110290	33553	51890	62926	65264	50652	56520	36233	39163	52380	85096	67384	66232	57826	48228	32572	48738	80747	74732	64496	66969	55472	47934	71550	83387	73757	88745	48947	48391	51913	74332	84455	82202	80116	74521	76414	75332	81480	102503	90669	80043	88585	66455	68914	101596	80694	91724	103084	71041	59489	100982	129145	77508	84956	46776	67436	43362	40509	63788	77840	60623	62493	41848	39427	37707	64790	71204	65014	53065	32598	33677	33994	37092	30974	31521	29092	22825	34413	30907	45792	35007	30492	27796	21339	29175	24940	50715	35848	28263	34562	25625	10168	24222	26713	14315	36737	19497	13972	18066	37478	15706	25853	23841	45203	71322	30481	19312	21549	6606	15534	15700	14557	21155	17780	13684	16745	17302	13811	14803	21067	15372	12393	16386	18225	9670	7013	11763	8877	16900	13407	18611	11064	12234	10579	9218	9158	12795	15461	9625	6421	8691	8697	11251	9442	14011	6493	11510	11063	7018	12143	10738	12683	8444	8213	6927	7137	6375	6244	5626	6902	2881	1670	2797	2295	1419	1102	1055	704	591	181	436	199	118	53	71	84	36	27	48	27	19	3	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	1	0	1	0	0	1	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	25142	33115	37003	47876	38262	23433	38945	25996	32827	39508	35358	43717	22681	34383	45008	9852	31180	38355	33701	23997	24519	11521	13903	30611	31722	30762	21986	34434	26729	26638	43016	32450	35607	20647	53714	13422	21347	27389	31137	21367	13522	22630	15934	18690	23537	19573	24882	28448	22130	12589	21429	26857	19663	20755	20516	13503	16356	18922	18487	40089	29219	10479	13557	15821	17790	26398	24489	25483	23760	12422	17087	18480	19930	29498	24934	13395	12035	14139	17237	31368	15621	20713	22846	12335	12229	13914	24861	22678	21601	19788	12564	20041	15433	33437	22061	25770	25031	13843	13045	17945	25938	15725	14815	15953	22985	9273	18839	28604	21460	29028	13139	24864	16144	15311	25195	18147	19936	18051	25669	33297	22714	29068	23267	21138	15378	30617	24429	17207	16872	27319	29441	16217	28605	22035	32143	39861	23598	25274	30856	19161	21773	28767	22014	34533	29573	26141	34855	23968	23372	30895	46886	20564	22026	22036	16442	28268	33436	21023	24861	24490	24172	24919	18697	18248	27338	19864	21610	21323	13080	23295	25785	18412	28393	21892	11092	16179	17125	18785	13104	14690	11973	23236	9708	9707	24618	6560	12699	15453	4218	9589	15786	13254	7493	13243	13765	7044	9516	12007	15070	11548	13624	8425	6493	265	30561	8584	9111	7450	7524	3672	21337	16663	13179	9995	477	16484	4167	9329	8234	24933	13904	10998	5697	10273	10418	5327	4803	4834	10285	8903	4781	12573	445	6461	4881	15956	5311	3735	11750	3402	13942	6106	6908	1649	4999	4096	3977	7664	1920	4534	3424	4719	476	4844	5581	1360	3829	3002	6647	3409	1604	1051	2316	2632	428	3685	1596	549	3059	1059	655	2501	847	1197	781	866	647	602	366	541	252	241	130	255	37	15	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
