State	X2020.12.27	X2020.12.26	X2020.12.25	X2020.12.24	X2020.12.23	X2020.12.22	X2020.12.21	X2020.12.20	X2020.12.19	X2020.12.18	X2020.12.17	X2020.12.16	X2020.12.15	X2020.12.14	X2020.12.13	X2020.12.12	X2020.12.11	X2020.12.10	X2020.12.09	X2020.12.08	X2020.12.07	X2020.12.06	X2020.12.05	X2020.12.04	X2020.12.03	X2020.12.02	X2020.12.01	X2020.11.30	X2020.11.29	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	345628	343458	342426	338801	334569	329811	324832	322452	319904	315683	310335	305640	301533	297895	295631	292841	288775	284922	280187	276665	272229	269877	267589	264199	260359	256828	252900	249524	247229	244993	242874	241957	239318	236865	234080	232506	230708	228373	225910	223486	220848	219232	217822	215843	213617	210637	208637	206562	206523	204665	203518	202131	200528	198927	197504	195692	194458	193613	191932	190113	188775	187267	185938	184723	183831	182567	180437	176605	175210	174078	173002	172137	171157	169845	168620	167396	166514	165414	164698	163897	162683	161085	160485	159476	158717	158181	157402	155727	154772	153584	152350	151604	150965	150239	149263	146897	145859	145202	144325	143578	142768	141454	140423	139660	138619	137861	137166	136107	135138	134061	133005	132221	131690	130914	130373	129225	128240	127234	126500	124944	124155	122879	121041	119904	118190	116045	115485	114809	114212	112737	111696	110415	109092	107667	106926	106096	104976	104219	103485	102391	101466	99854	98895	97044	95323	93457	92502	91458	90299	88266	86664	84652	82698	81256	79948	78188	76795	74685	72594	70600	69236	67733	66181	64152	62128	60194	58284	56168	54781	52802	51329	49695	48149	46348	44932	44022	43216	42255	41340	39647	38477	37589	36503	35083	34903	33880	32878	31889	30771	30122	29683	29225	28676	27941	27034	26485	26182	25364	24405	23370	22659	21834	21268	20777	20355	19910	19262	18954	18734	18525	18200	17689	17262	16749	16263	15899	15309	14676	14328	13954	13590	13186	12825	12438	12137	11828	11494	11161	10822	10566	10262	9982	9720	9437	9115	8769	8520	8203	7977	7700	7440	7187	6979	6820	6621	6475	6274	6092	5899	5692	5404	5163	4978	4788	4557	4465	4307	4041	3870	3667	3346	3112	2954	2614	2308	2079	1905	1727	1606	1371	1175	1063	1001	880	801	684	574	472	298	224	180	149	115	88	61	51	36	28	15	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	494337	493041	486935	480319	473273	467215	461345	453597	448231	442671	435036	429219	424382	420248	408442	402589	394512	387529	382601	378157	365843	364276	358900	352101	346421	340979	337139	326817	325995	322774	318638	314324	310850	306868	302324	299665	295334	291696	287225	283102	279896	276912	275436	273053	269577	266562	265163	263133	259699	259264	257384	254764	252768	250633	249818	248139	247473	245946	244045	242480	241165	240122	238964	238163	236772	235882	234906	233912	232937	231897	231149	230459	229486	228748	227635	226734	226050	225575	224978	224084	223401	222538	221934	221070	220754	220399	219763	219212	218507	218184	217510	217237	216826	216367	215852	215284	214846	214251	214021	213551	212942	211660	209907	209209	208725	208512	208128	207523	207002	206541	206045	205964	205767	205517	204681	203953	202861	202342	201835	201661	201287	200658	200139	199459	199273	198414	198103	197895	196899	196280	195557	194920	194005	193537	192654	191721	190794	189443	188737	187523	186923	186107	185053	183656	182203	180505	179497	178467	177002	174010	170798	168273	165934	163827	162014	160041	156301	152944	150609	148683	145183	143624	141265	138523	134613	131354	128097	123824	122467	119930	116892	112671	108614	105094	101455	98103	94567	91872	87445	84105	79228	74545	73920	70124	66659	63281	60190	58378	54599	52591	50127	46910	43445	40937	39185	36844	35706	34660	33039	31267	29852	28296	27678	26989	25451	24439	22886	22356	21264	20129	19936	19258	18472	17877	17318	16864	16575	16377	16053	15624	15348	14906	14576	14208	13945	13666	13169	12674	12216	11736	11383	11119	10960	10526	9945	9707	9305	8924	8640	8364	7969	7655	7209	6955	6725	6534	6286	6045	5772	5473	5256	5068	4933	4724	4511	4237	3964	3809	3705	3542	3393	3112	3018	2726	2575	2460	2269	2019	1769	1596	1413	1289	1157	919	773	665	508	401	326	235	152	104	68	45	27	20	18	12	12	9	9	9	6	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Arkansas	214877	213969	213267	211145	207941	205048	203107	201650	200114	197421	194543	191504	189198	187057	185702	184252	181624	178854	176652	174325	172042	170924	169382	167137	164310	161521	159309	157359	156247	155026	153677	152625	150277	148312	146190	145173	143821	141916	139855	137617	135902	134348	133040	132166	130318	128006	126197	124235	122811	121866	120828	119230	117360	115812	114519	113641	113057	112190	110874	109712	108640	107679	106727	106115	105318	104135	102798	101596	100441	99597	99066	98422	97539	96524	95246	94167	93487	92833	92220	91312	90145	88880	88071	87430	87013	86525	85779	84821	83697	82755	82049	81242	80755	79946	79049	77963	76981	76364	75723	75160	74082	73211	72219	71497	70627	70219	69710	67911	66804	66406	66021	65727	65377	64690	64175	63081	62112	61497	61224	60856	60378	59583	58745	58023	57374	56894	56574	56199	55652	54765	54216	53487	53077	52665	51992	51992	51766	51096	50411	50028	49383	48811	48039	47028	46293	45381	44597	43810	43173	42511	41759	40968	40181	39447	38623	37981	37249	36259	35246	34655	33927	33228	32533	31762	31114	30297	29812	28939	28367	27864	26803	26052	25246	24512	24253	23814	23209	22622	22075	21197	20777	20257	19818	19310	18740	18062	17375	16678	16083	15561	15142	14631	13928	13606	13191	12917	12501	12095	11547	10816	10368	10080	9740	9426	9101	8651	8425	8067	7818	7443	7253	7013	6777	6538	6277	6180	6029	5922	5775	5612	5458	5003	4923	4813	4759	4578	4463	4366	4236	4164	4043	4012	3747	3747	3703	3611	3525	3491	3437	3372	3337	3281	3193	3127	3069	3001	2911	2810	2599	2276	1990	1973	1781	1744	1695	1620	1569	1498	1410	1280	1228	1171	1119	1000	946	875	837	743	704	643	584	523	473	426	409	381	335	280	219	192	165	122	100	62	4	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	2156389	2120610	2060797	2040188	2002494	1958508	1923887	1884033	1842557	1802195	1753974	1708559	1644742	1611493	1585378	1549176	1516215	1482551	1448987	1415396	1390828	1366673	1337941	1310307	1286550	1265182	1246042	1230264	1215455	1200624	1185576	1171802	1160940	1145209	1128219	1114524	1105435	1089750	1077174	1064040	1052285	1041690	1032095	1023067	1013566	1004116	995575	989432	981297	972713	969362	963211	956854	950920	945401	940411	935878	932143	928028	923648	919276	914888	910438	906596	903684	898799	893364	886939	883746	879645	875692	873614	871253	868148	865204	861310	857913	855190	852410	849076	845270	841928	838202	835507	832713	829521	826013	822205	819115	815654	812711	809890	807451	803660	799516	796436	793065	790096	786168	783313	779491	775037	771321	768204	765134	761728	758933	754905	750961	747290	744344	740965	738856	735314	730662	726018	721281	715617	712475	705951	702038	697385	691821	687004	681032	675561	669280	664435	658900	652267	647274	638140	629415	623873	617994	613101	597984	591376	578946	574231	559746	554388	546814	541339	530606	526685	516851	512175	506613	500556	492934	484913	470762	458121	452288	446452	440185	430773	421286	409305	397870	386906	380745	373259	364706	354885	346211	333357	324543	318761	310885	302484	292560	284012	271035	264681	252895	250514	246550	238681	231418	223646	215487	210692	206844	201112	196024	191477	184765	178657	175243	170862	167133	162798	158961	155726	152349	150034	146659	143439	139715	136681	133816	130657	128606	125783	122194	119374	117215	114733	111951	109895	106638	103813	101071	99492	96470	94069	92564	90281	88056	86018	83764	81518	80166	78725	76693	74871	72798	70980	69329	67600	66572	63800	62148	60616	58456	55884	54903	53347	52026	50130	48747	46164	44972	43559	42368	41355	39561	37352	35480	33686	31431	30511	29157	27677	26686	25389	23934	22800	21717	21081	19710	18897	17351	16024	15034	12837	12016	10790	9410	8233	7155	5863	5110	4679	3910	3009	2542	2113	1651	1412	1243	1009	831	700	557	373	372	281	221	178	144	101	95	81	59	51	35	25	21	12	12	11	11	10	10	10	10	10	10	8	8	8	8	8	8	8	8	7	7	6	6	6	6	6	6	6	6	3	3	3	2	2	2	2	2	0	0	0	0
Colorado	325018	323619	322189	319530	316500	313552	311036	308890	306598	304107	300414	296716	293382	291104	288193	285634	281673	276995	272346	268589	264618	260581	257347	252222	247209	241172	237310	232905	228772	225283	220953	216683	210630	206439	202289	198600	194679	188566	182801	176694	172044	167713	163417	159234	154038	147599	142402	138427	134537	130984	127967	124469	121006	117637	114709	112147	109910	107350	104426	102014	100208	98733	97300	95089	93400	91572	90222	88849	87582	86374	85302	84369	83230	81918	80777	80085	79037	78461	77642	76619	75785	74922	74191	73537	73076	72555	71898	71218	70536	70025	69490	69079	68510	67926	67217	66669	66053	65399	64857	64356	63750	63145	62686	62099	61687	61313	60896	60482	60175	59911	59671	59484	59271	58986	58287	58287	58019	57775	57424	57223	57040	56773	56343	55993	55800	55341	55143	54883	54230	54230	53901	53631	53370	53176	52838	52538	52219	51756	51441	51038	50660	50324	49893	49436	48988	48394	47968	47727	47267	46809	46204	45796	45314	44565	44336	43789	42980	42313	41698	41059	40566	40142	39788	39344	38726	38155	37686	37236	36913	36591	36191	35525	35116	34664	34257	34065	33866	33612	33352	33029	32715	32511	32307	32022	31796	31479	31155	30893	30705	30539	30348	30187	29901	29671	29442	29299	29130	29017	28822	28647	28499	28347	28183	28001	27848	27615	27360	27060	26788	26577	26378	26098	25612	25121	24767	24565	24269	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19703	19375	18827	18370	17832	17367	16918	16635	16225	15793	15284	14758	14316	13879	13441	12968	12256	11278	10891	10473	10112	9730	9440	9047	8675	8280	7950	7696	7307	6893	6513	6202	5655	5429	5183	4950	4565	4173	3728	3342	2966	2627	2308	2061	1738	1430	1087	912	723	595	475	364	278	216	183	161	136	103	78	49	34	17	12	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	172743	172743	172743	172743	170705	168960	167377	162782	162782	162782	160102	157781	155462	153992	146761	146761	146761	142979	140548	138258	135844	127715	127715	127715	126177	121426	118754	117295	112581	112581	112581	109152	109152	107280	106740	101469	101469	101469	99381	97028	94986	93284	88645	88645	88645	85899	84741	82953	81432	78125	78125	78125	77060	75373	74843	73858	71207	71207	71207	70446	69127	68637	68099	66052	66052	66052	65373	64871	64455	64021	62830	62830	62830	62028	61861	61697	61377	60038	60038	60038	59748	59364	59241	59120	58297	58297	58297	57742	57550	57329	57147	56587	56587	56587	56472	56315	56160	56024	55527	55527	55527	55386	55166	55031	54895	54326	54326	54326	54093	53871	53782	53365	53365	53365	53365	53209	53108	53006	52879	52495	52495	52495	52350	52220	52040	52011	51519	51519	51519	51432	51314	51255	51255	50897	50897	50897	50782	50706	50684	50567	50320	50320	50320	50245	50225	50110	50062	49810	49810	49810	49670	49540	49077	48983	48776	48776	48776	48232	48223	48096	48055	47893	47893	47893	47750	47636	47530	47510	47287	47287	47287	47209	47108	47033	46976	46717	46717	46717	46646	46572	46514	46362	46303	46206	46059	45994	45913	45899	45782	45755	45715	45557	45440	45429	45349	45235	45088	44994	44689	44461	44347	44179	44092	43968	43818	43460	43239	43091	42979	42740	42201	42022	41762	41559	41288	41288	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24583	23936	23100	22469	20360	19815	17962	17550	16809	15884	14755	13989	13381	12035	11510	10538	9784	7781	7781	6906	5675	5276	4914	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	194	194	159	96	68	41	24	23	11	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	55057	54473	53653	53015	52235	51623	51056	50616	50136	49109	48768	47929	47142	46457	45460	44876	43818	43036	42393	41464	40711	39912	39096	38398	37456	36698	36343	35654	35251	34670	34170	33579	32995	32664	32211	31808	31321	30816	30153	29755	29552	29200	28803	28395	28016	27546	27342	27112	26908	26603	26258	26035	25753	25534	25426	25311	25126	24951	24751	24553	24392	24249	24168	23961	23847	23687	23528	23375	23325	23196	23093	22942	22724	22560	22465	22394	22289	22130	21998	21827	21682	21550	21466	21363	21243	21125	20937	20787	20613	20531	20389	20260	20156	20085	19947	19830	19761	19667	19566	19449	19366	19318	19234	19137	18937	18849	18726	18559	18466	18308	18308	18249	18043	17892	17752	17653	17549	17535	17429	17343	17343	17083	16976	16976	16962	16942	16895	16828	16770	16718	16643	16593	16536	16451	16396	16340	15967	15765	15699	15634	15575	15502	15445	15365	15296	15137	15055	14949	14877	14788	14689	14602	14476	14406	14290	14175	14175	13924	13792	13746	13624	13519	13429	13337	13114	13050	12969	12879	12804	12743	12652	12531	12462	12414	12293	12128	11996	11923	11731	11510	11474	11376	11226	11091	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8529	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6277	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2317	2070	2014	1926	1758	1625	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	163	130	119	104	68	56	45	39	30	19	16	8	6	6	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	28202	27710	27436	27436	27226	26900	26740	26601	26342	26104	25830	25602	25339	25038	24874	24643	24357	24098	23854	23589	23319	23136	22872	22480	22164	21842	21685	21552	21448	21308	20937	20736	20516	20409	20290	20151	19961	19808	19678	19465	19309	19064	18977	18814	18666	18507	18379	18173	18087	18001	17891	17792	17682	17601	17524	17438	17369	17266	17144	17074	16973	16906	16812	16767	16706	16609	16537	16498	16445	16395	16370	16334	16255	16166	16132	16068	16022	15984	15918	15843	15765	15652	15652	15547	15519	15473	15423	15358	15326	15300	15264	15250	15215	15163	15106	15050	15021	14978	14955	14902	14852	14790	14743	14687	14622	14592	14493	14493	14412	14387	14362	14315	14279	14238	14186	14135	14077	14049	13992	13959	13925	13851	13794	13684	13684	13639	13590	13534	13469	13409	13354	13325	13273	13220	13159	13118	13024	12959	12896	12807	12753	12653	12589	12518	12443	12398	12313	12274	12205	12126	12057	11999	11945	11858	11780	11717	11649	11571	11529	11427	11339	11261	11194	11115	11076	11026	10946	10906	10847	10801	10743	10679	10642	10569	10515	10482	10447	10435	10390	10365	10327	10292	10248	10216	10185	10159	10128	10094	10058	10020	9984	9952	9903	9847	9818	9799	9767	9709	9654	9589	9537	9474	9389	9332	9269	9199	9120	9016	8886	8857	8801	8717	8538	8492	8406	8334	8225	8110	7966	7893	7788	7551	7434	7270	7123	7042	6871	6736	6584	6485	6389	6272	6102	5899	5654	5461	5322	5170	5016	4797	4658	4323	4106	3994	3892	3841	3699	3528	3361	3206	3098	2927	2793	2666	2476	2350	2197	2058	1955	1875	1778	1660	1523	1440	1211	1097	1002	902	757	653	586	495	401	342	304	271	231	187	141	120	102	98	71	40	31	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	1271979	1264588	1247546	1247546	1234399	1223015	1212581	1201566	1193165	1181483	1168483	1155335	1143794	1134383	1125931	1116973	1106396	1094697	1083362	1073770	1065785	1058074	1049638	1039207	1029030	1018160	1008166	999319	992660	985297	979020	961676	961676	953300	944745	938414	931827	923418	914333	905248	897323	889864	885201	875096	870552	863619	858012	852174	847821	843897	837077	832625	827380	821123	816700	812063	807412	802547	800216	794624	790426	786311	782013	778636	776251	771780	768091	762533	760389	756727	755020	752481	748437	744988	741632	738749	736024	734491	728921	728921	726013	722707	720125	717874	716459	714591	711804	709144	706516	704568	701302	700564	698682	695887	693040	690499	687909	685439	683754	681233	677660	674456	671201	668846	665730	663994	661571	658381	654731	652259	650092	648269	646431	643867	640211	637013	633442	631040	623471	621586	619003	615806	611991	608722	605502	602829	600571	597597	593286	588602	584047	579932	576094	573416	569637	563285	557137	550901	542792	536961	532806	526577	518075	510389	502739	497330	491884	487132	480028	470386	461379	451423	441977	432747	423855	414511	402312	389868	379619	369834	360394	350047	337569	327241	315775	301810	291629	282435	269811	254511	244151	232718	223783	213794	206447	200111	190052	178594	169106	158997	152434	146341	141075	132545	122960	114018	109014	103503	100217	97291	93797	89748	85926	82719	80109	77326	75568	73552	70971	69069	67371	66000	64904	63938	62758	61488	60183	58764	57447	56830	56163	55424	54497	53285	52634	52255	51746	50867	50127	49451	48675	47471	46944	46442	45588	44811	44138	43210	42402	41923	40982	40596	40001	39199	38828	38002	37439	36897	36078	35463	34728	33690	33193	32848	32138	31532	30839	30533	29648	28309	27869	27059	26314	25492	24759	23343	22511	21628	21019	19895	18494	17531	16364	15456	14545	13324	12350	11537	10268	9008	6956	6741	5473	4246	3763	2900	2357	1682	1412	1227	1004	763	564	432	306	190	101	100	76	50	30	24	15	13	10	7	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	632299	628788	624630	618576	608290	600517	591438	587918	582300	576537	568396	560619	553995	546558	542838	538040	531593	525402	517779	512267	506690	501405	499371	494354	487978	482139	476405	471563	469516	467564	464526	461517	457909	454732	451056	449132	446804	440591	437156	433732	430571	426236	424989	422905	419870	416876	413894	411652	407333	406061	405037	402427	399625	397137	394526	362921	361982	360790	358225	356848	355025	353372	351881	350923	349605	347759	345535	343750	342438	341310	340558	339384	337850	336241	334601	333304	332311	331409	330269	329032	327407	326142	324650	323714	322925	322169	320634	319359	318026	316306	315281	314685	313873	312514	311698	310161	308294	307339	306155	305021	302854	300903	299056	296994	295337	294314	292905	290781	289123	287300	285350	283807	283199	281548	279354	277288	274613	272697	270471	268973	267758	265372	263074	260590	258354	256253	253949	252222	249630	246741	243982	241677	238861	237030	235168	231895	228668	226153	222588	219025	216596	213427	209004	204895	201713	197948	195435	193177	190012	186352	182286	178323	175052	170843	167953	165188	161420	156607	152302	148988	145582	143129	139880	135192	131287	127838	123963	120572	116935	114401	111217	106727	103890	100470	97064	95516	93319	90493	87709	84242	81291	79417	77210	74985	72995	71095	69381	67810	65928	64701	63809	62009	60912	60030	59078	58414	57681	56804	55783	54973	53980	53249	52497	51898	51359	50621	49859	48894	48207	47902	47063	46331	45881	45266	44638	43983	43400	42902	42242	41482	40663	39801	38855	38283	37579	37212	36772	35977	35427	34924	34002	33580	32588	32181	31618	30743	29998	29451	28665	28331	27489	26264	25775	24922	24302	23486	23222	22491	21883	21214	19881	19407	18301	17669	17194	15669	14987	14578	13315	12452	12159	11485	10566	9901	8822	7314	6647	6160	5831	5348	4638	3929	2808	2651	2366	2000	1525	1247	1026	772	621	555	485	287	197	146	121	99	73	42	31	23	17	10	5	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
