State	X2020.01.22	X2020.01.23	X2020.01.24	X2020.01.25	X2020.01.26	X2020.01.27	X2020.01.28	X2020.01.29	X2020.01.30	X2020.01.31	X2020.02.01	X2020.02.02	X2020.02.03	X2020.02.04	X2020.02.05	X2020.02.06	X2020.02.07	X2020.02.08	X2020.02.09	X2020.02.10	X2020.02.11	X2020.02.12	X2020.02.13	X2020.02.14	X2020.02.15	X2020.02.16	X2020.02.17	X2020.02.18	X2020.02.19	X2020.02.20	X2020.02.21	X2020.02.22	X2020.02.23	X2020.02.24	X2020.02.25	X2020.02.26	X2020.02.27	X2020.02.28	X2020.02.29	X2020.03.01	X2020.03.02	X2020.03.03	X2020.03.04	X2020.03.05	X2020.03.06	X2020.03.07	X2020.03.08	X2020.03.09	X2020.03.10	X2020.03.11	X2020.03.12	X2020.03.13	X2020.03.14	X2020.03.15	X2020.03.16	X2020.03.17	X2020.03.18	X2020.03.19	X2020.03.20	X2020.03.21	X2020.03.22	X2020.03.23	X2020.03.24	X2020.03.25	X2020.03.26	X2020.03.27	X2020.03.28	X2020.03.29	X2020.03.30	X2020.03.31	X2020.04.01	X2020.04.02	X2020.04.03	X2020.04.04	X2020.04.05	X2020.04.06	X2020.04.07	X2020.04.08	X2020.04.09	X2020.04.10	X2020.04.11	X2020.04.12	X2020.04.13	X2020.04.14	X2020.04.15	X2020.04.16	X2020.04.17	X2020.04.18	X2020.04.19	X2020.04.20	X2020.04.21	X2020.04.22	X2020.04.23	X2020.04.24	X2020.04.25	X2020.04.26	X2020.04.27	X2020.04.28	X2020.04.29	X2020.04.30	X2020.05.01	X2020.05.02	X2020.05.03	X2020.05.04	X2020.05.05	X2020.05.06	X2020.05.07	X2020.05.08	X2020.05.09	X2020.05.10	X2020.05.11	X2020.05.12	X2020.05.13	X2020.05.14	X2020.05.15	X2020.05.16	X2020.05.17	X2020.05.18	X2020.05.19	X2020.05.20	X2020.05.21	X2020.05.22	X2020.05.23	X2020.05.24	X2020.05.25	X2020.05.26	X2020.05.27	X2020.05.28	X2020.05.29	X2020.05.30	X2020.05.31	X2020.06.01	X2020.06.02	X2020.06.03	X2020.06.04	X2020.06.05	X2020.06.06	X2020.06.07	X2020.06.08	X2020.06.09	X2020.06.10	X2020.06.11	X2020.06.12	X2020.06.13	X2020.06.14	X2020.06.15	X2020.06.16	X2020.06.17	X2020.06.18	X2020.06.19	X2020.06.20	X2020.06.21	X2020.06.22	X2020.06.23	X2020.06.24	X2020.06.25	X2020.06.26	X2020.06.27	X2020.06.28	X2020.06.29	X2020.06.30	X2020.07.01	X2020.07.02	X2020.07.03	X2020.07.04	X2020.07.05	X2020.07.06	X2020.07.07	X2020.07.08	X2020.07.09	X2020.07.10	X2020.07.11	X2020.07.12	X2020.07.13	X2020.07.14	X2020.07.15	X2020.07.16	X2020.07.17	X2020.07.18	X2020.07.19	X2020.07.20	X2020.07.21	X2020.07.22	X2020.07.23	X2020.07.24	X2020.07.25	X2020.07.26	X2020.07.27	X2020.07.28	X2020.07.29	X2020.07.30	X2020.07.31	X2020.08.01	X2020.08.02	X2020.08.03	X2020.08.04	X2020.08.05	X2020.08.06	X2020.08.07	X2020.08.08	X2020.08.09	X2020.08.10	X2020.08.11	X2020.08.12	X2020.08.13	X2020.08.14	X2020.08.15	X2020.08.16	X2020.08.17	X2020.08.18	X2020.08.19	X2020.08.20	X2020.08.21	X2020.08.22	X2020.08.23
Alabama	115060	114532	113632	112449	111478	110361	109004	108433	107580	106309	105557	104786	103851	103020	101334	100173	98301	96592	94654	93702	92661	91444	89349	87723	85762	83782	82366	81115	79294	78130	76005	74212	71813	70358	68891	67011	65234	63091	61088	59067	57255	55545	53587	51947	50508	49174	46962	45785	44878	43953	42862	41865	40111	38962	38045	37175	35441	35083	34183	33206	32064	31097	30454	30021	29549	29002	28206	27312	26912	26272	25615	24601	23710	22845	21989	21422	20925	20500	20043	19387	19072	18851	18766	18630	17952	17359	17031	16530	16032	15650	14986	14478	14117	13670	13288	13052	12376	12086	11771	11674	11373	11101	10700	10464	10164	9889	9668	9385	9046	8691	8437	8112	7888	7611	7294	7088	6912	6750	6539	6421	6026	6026	5832	5593	5317	5079	4888	4712	4571	4345	4075	3953	3734	3563	3217	2947	2703	2328	2169	1952	1765	1614	1495	1233	1060	987	899	825	694	587	517	381	242	196	157	131	106	78	51	39	29	11	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	4741	4677	4588	4520	4438	4371	4309	4259	4156	4073	3963	3879	3819	3774	3711	3613	3536	3483	3448	3394	3341	3280	3136	2990	2879	2798	2730	2623	2525	2339	2249	2193	2131	2042	1950	1875	1796	1734	1693	1631	1579	1539	1479	1385	1323	1268	1222	1180	1162	1134	1107	1060	1014	975	937	901	880	851	833	813	789	760	758	752	741	720	707	695	675	663	660	653	624	609	592	572	562	543	535	523	512	504	486	466	459	433	429	424	411	410	408	407	407	403	401	401	400	388	388	388	388	383	383	383	379	379	378	377	374	372	371	370	368	365	364	355	355	351	345	340	339	339	337	335	329	321	319	314	309	300	293	285	277	272	257	246	235	226	213	190	185	171	157	143	132	119	114	102	85	58	56	41	34	30	18	13	11	8	5	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	198103	197895	196899	196280	195557	194920	194005	193537	192654	191721	190794	189443	188737	187523	186923	186107	185053	183656	182203	180505	179497	178467	177002	174010	170798	168273	165934	163827	162014	160041	156301	152944	150609	148683	145183	143624	141265	138523	134613	131354	128097	123824	122467	119930	116892	112671	108614	105094	101455	98103	94567	91872	87445	84105	79228	74545	73920	70124	66659	63281	60190	58378	54599	52591	50127	46910	43445	40937	39185	36844	35706	34660	33039	31267	29852	28296	27678	26989	25451	24439	22886	22356	21264	20129	19936	19258	18472	17877	17318	16864	16575	16377	16053	15624	15348	14906	14576	14208	13945	13666	13169	12674	12216	11736	11383	11119	10960	10526	9945	9707	9305	8924	8640	8364	7969	7655	7209	6955	6725	6534	6286	6045	5772	5473	5256	5068	4933	4724	4511	4237	3964	3809	3705	3542	3393	3112	3018	2726	2575	2460	2269	2019	1769	1596	1413	1289	1157	919	773	665	508	401	326	235	152	104	68	45	27	20	18	12	12	9	9	9	6	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Arkansas	56574	56199	55652	54765	54216	53487	53077	52665	51992	51879	51766	51096	50411	50028	49383	48811	48039	47028	46293	45381	44597	43810	43173	42511	41759	40968	40181	39447	38623	37981	37249	36259	35246	34655	33927	33228	32533	31762	31114	30297	29812	28939	28367	27864	26803	26052	25246	24512	24253	23814	23209	22622	22075	21197	20777	20257	19818	19310	18740	18062	17375	16678	16083	15561	15142	14631	13928	13606	13191	12917	12501	12095	11547	10816	10368	10080	9740	9426	9101	8651	8425	8067	7818	7443	7253	7013	6777	6538	6277	6180	6029	5922	5775	5612	5458	5003	4923	4813	4759	4578	4463	4366	4236	4164	4043	4012	3747	3747	3703	3611	3525	3491	3437	3372	3337	3281	3193	3127	3069	3001	2911	2810	2599	2276	1990	1973	1781	1744	1695	1620	1569	1498	1410	1280	1228	1171	1119	1000	946	875	837	743	704	643	584	523	473	426	409	381	335	280	219	192	165	122	100	62	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	669280	664435	658900	652267	647274	638140	629415	623873	617994	613101	597984	591376	578946	574231	559746	554388	546814	541339	530606	526685	516851	512175	506613	500556	492934	484913	470762	458121	452288	446452	440185	430773	421286	409305	397870	386906	380745	373259	364706	354885	346211	333357	324543	318761	310885	302484	292560	284012	271035	264681	252895	250514	246550	238681	231418	223646	215487	210692	206844	201112	196024	191477	184765	178657	175243	170862	167133	162798	158961	155726	152349	150034	146659	143439	139715	136681	133816	130657	128606	125783	122194	119374	117215	114733	111951	109895	106638	103813	101071	99492	96470	94069	92564	90281	88056	86018	83764	81518	80166	78725	76693	74871	72798	70980	69329	67600	66572	63800	62148	60616	58456	55884	54903	53347	52026	50130	48747	46164	44972	43559	42368	41355	39561	37352	35480	33686	31431	30511	29157	27677	26686	25389	23934	22800	21717	21081	19710	18897	17351	16024	15034	12837	12016	10790	9410	8233	7155	5863	5110	4679	3910	3009	2542	2113	1651	1412	1243	1009	831	700	557	373	372	281	221	178	144	101	95	81	59	51	35	25	21	12	12	11	11	10	10	10	10	10	10	8	8	8	8	8	8	8	8	7	7	6	6	6	6	6	6	6	6	3	3	3	2	2	2	2	2	0	0	0	0
Colorado	55123	54864	54211	54211	53882	53612	53351	53157	52819	52519	52200	51737	51422	51020	50642	50306	49875	49418	48970	48376	47950	47709	47249	46791	46186	45778	45296	44547	44318	43771	42962	42295	41680	41041	40548	40124	39770	39326	38708	38137	37668	37218	36895	36573	36173	35507	35099	34647	34240	34048	33849	33595	33335	33012	32698	32494	32290	32006	31780	31463	31139	30877	30689	30524	30333	30172	29886	29656	29427	29284	29115	29002	28807	28632	28484	28333	28169	27987	27834	27601	27346	27046	26774	26563	26364	26084	25598	25107	24754	24552	24256	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19703	19375	18827	18370	17832	17367	16918	16635	16225	15793	15284	14758	14316	13879	13441	12968	12256	11278	10891	10473	10112	9730	9440	9047	8675	8280	7950	7696	7307	6893	6513	6202	5655	5429	5183	4950	4565	4173	3728	3342	2966	2627	2308	2061	1738	1430	1087	912	723	595	475	364	278	216	183	161	136	103	78	49	34	17	12	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	51519	51519	51519	51432	51314	51255	50961	50897	50897	50897	50782	50706	50684	50567	50320	50320	50320	50245	50225	50110	50062	49810	49810	49810	49670	49540	49077	48983	48776	48776	48776	48232	48223	48096	48055	47893	47893	47893	47750	47636	47530	47510	47287	47287	47287	47209	47108	47033	46976	46717	46717	46717	46646	46572	46514	46362	46303	46206	46059	45994	45913	45899	45782	45755	45715	45557	45440	45429	45349	45235	45088	44994	44689	44461	44347	44179	44092	43968	43818	43460	43239	43091	42979	42740	42201	42022	41762	41559	41288	40936	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24583	23936	23100	22469	20360	19815	17962	17550	16809	15884	14755	13989	13381	12035	11510	10538	9784	7781	7781	6906	5675	5276	4914	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	194	194	159	96	68	41	24	23	11	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	16895	16828	16770	16718	16643	16593	16536	16451	16396	16340	15967	15765	15699	15634	15575	15502	15445	15365	15296	15137	15055	14949	14877	14788	14689	14602	14476	14406	14290	14175	13971	13924	13792	13746	13624	13519	13429	13337	13114	13050	12969	12879	12804	12743	12652	12531	12462	12414	12293	12128	11996	11923	11731	11510	11474	11376	11226	11091	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8529	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6277	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2317	2070	2014	1926	1758	1625	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	163	130	119	104	68	56	45	39	30	19	16	8	6	6	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	600571	597597	593286	588602	584047	579932	576094	573416	569637	563285	557137	550901	542792	536961	532806	526577	518075	510389	502739	497330	491884	487132	480028	470386	461379	451423	441977	432747	423855	414511	402312	389868	379619	369834	360394	350047	337569	327241	315775	301810	291629	282435	269811	254511	244151	232718	223783	213794	206447	200111	190052	178594	169106	158997	152434	146341	141075	132545	122960	114018	109014	103503	100217	97291	93797	89748	85926	82719	80109	77326	75568	73552	70971	69069	67371	66000	64904	63938	62758	61488	60183	58764	57447	56830	56163	55424	54497	53285	52634	52255	51746	50867	50127	49451	48675	47471	46944	46442	45588	44811	44138	43210	42402	41923	40982	40596	40001	39199	38828	38002	37439	36897	36078	35463	34728	33690	33193	32848	32138	31532	30839	30533	29648	28309	27869	27059	26314	25492	24759	23343	22511	21628	21019	19895	18494	17531	16364	15456	14545	13324	12350	11537	10268	9008	6956	6741	5473	4246	3763	2900	2357	1682	1412	1227	1004	763	564	432	306	190	101	100	76	50	30	24	15	13	10	7	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	253949	252222	249630	246741	243982	241677	238861	237030	235168	231895	228668	226153	222588	219025	216596	213427	209004	204895	201713	197948	195435	193177	190012	186352	182286	178323	175052	170843	167953	165188	161420	156607	152302	148988	145582	143129	139880	135192	131287	127838	123963	120572	116935	114401	111217	106727	103890	100470	97064	95516	93319	90493	87709	84242	81291	79417	77210	74985	72995	71095	69381	67810	65928	64701	63809	62009	60912	60030	59078	58414	57681	56804	55783	54973	53980	53249	52497	51898	51359	50621	49859	48894	48207	47902	47063	46331	45881	45266	44638	43983	43400	42902	42242	41482	40663	39801	38855	38283	37579	37212	36772	35977	35427	34924	34002	33580	32588	32181	31618	30743	29998	29451	28665	28331	27489	26264	25775	24922	24302	23486	23222	22491	21883	21214	19881	19407	18301	17669	17194	15669	14987	14578	13315	12452	12159	11485	10566	9901	8822	7314	6647	6160	5831	5348	4638	3929	2808	2651	2366	2000	1525	1247	1026	772	621	555	485	287	197	146	121	99	73	42	31	23	17	10	5	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
