State	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	241957	239318	236865	234080	232506	230708	228373	225910	223486	220848	219232	217822	215843	213617	210637	208637	206562	206523	204665	203518	202131	200528	198927	197504	195692	194458	193613	191932	190113	188775	187267	185938	184723	183831	182567	180437	176605	175210	174078	173002	172137	171157	169845	168620	167396	166514	165414	164698	163897	162683	161085	160485	159476	158717	158181	157402	155727	154772	153584	152350	151604	150965	150239	149263	146897	145859	145202	144325	143578	142768	141454	140423	139660	138619	137861	137166	136107	135138	134061	133005	132221	131690	130914	130373	129225	128240	127234	126500	124944	124155	122879	121041	119904	118190	116045	115485	114809	114212	112737	111696	110415	109092	107667	106926	106096	104976	104219	103485	102391	101466	99854	98895	97044	95323	93457	92502	91458	90299	88266	86664	84652	82698	81256	79948	78188	76795	74685	72594	70600	69236	67733	66181	64152	62128	60194	58284	56168	54781	52802	51329	49695	48149	46348	44932	44022	43216	42255	41340	39647	38477	37589	36503	35083	34903	33880	32878	31889	30771	30122	29683	29225	28676	27941	27034	26485	26182	25364	24405	23370	22659	21834	21268	20777	20355	19910	19262	18954	18734	18525	18200	17689	17262	16749	16263	15899	15309	14676	14328	13954	13590	13186	12825	12438	12137	11828	11494	11161	10822	10566	10262	9982	9720	9437	9115	8769	8520	8203	7977	7700	7440	7187	6979	6820	6621	6475	6274	6092	5899	5692	5404	5163	4978	4788	4557	4465	4307	4041	3870	3667	3346	3112	2954	2614	2308	2079	1905	1727	1606	1371	1175	1063	1001	880	801	684	574	472	298	224	180	149	115	88	61	51	36	28	15	8	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	30102	29543	28863	28273	27773	27224	26544	26081	25588	25041	24399	23814	23153	22405	21812	21331	20832	20300	19826	19306	18699	18174	17860	17448	17057	16705	16355	15908	15522	15155	14798	14417	14070	13545	13188	12936	12699	12475	12242	12038	11824	11614	11390	11220	11052	10893	10697	10447	10214	10025	9885	9763	9612	9413	9270	9129	8985	8845	8739	8617	8500	8388	8269	8142	7999	7922	7862	7791	7683	7587	7476	7364	7312	7268	7191	7129	7025	6928	6813	6748	6714	6679	6582	6492	6366	6276	6209	6173	6135	6086	5989	5870	5781	5727	5691	5619	5552	5462	5390	5305	5228	5157	5107	5003	4918	4813	4712	4645	4590	4521	4421	4334	4266	4220	4161	4092	4014	3866	3716	3605	3483	3390	3255	3144	2911	2793	2727	2648	2541	2435	2295	2179	2102	2050	1972	1915	1855	1784	1668	1591	1537	1485	1434	1410	1382	1349	1294	1234	1184	1142	1095	1070	1038	1011	982	938	915	881	870	856	833	805	786	761	747	743	731	697	676	649	627	614	595	586	572	559	531	512	491	484	455	450	444	431	430	426	423	423	418	416	416	411	411	408	403	398	396	391	390	388	386	385	383	380	377	376	375	373	370	369	360	360	356	350	346	344	344	342	340	334	326	324	319	314	305	297	289	281	276	261	249	238	228	215	193	187	172	161	150	142	129	119	111	92	75	64	50	43	39	26	16	15	12	9	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	314324	310850	306868	302324	299665	295334	291696	287225	283102	279896	276912	275436	273053	269577	266562	265163	263133	259699	259264	257384	254764	252768	250633	249818	248139	247473	245946	244045	242480	241165	240122	238964	238163	236772	235882	234906	233912	232937	231897	231149	230459	229486	228748	227635	226734	226050	225575	224978	224084	223401	222538	221934	221070	220754	220399	219763	219212	218507	218184	217510	217237	216826	216367	215852	215284	214846	214251	214021	213551	212942	211660	209907	209209	208725	208512	208128	207523	207002	206541	206045	205964	205767	205517	204681	203953	202861	202342	201835	201661	201287	200658	200139	199459	199273	198414	198103	197895	196899	196280	195557	194920	194005	193537	192654	191721	190794	189443	188737	187523	186923	186107	185053	183656	182203	180505	179497	178467	177002	174010	170798	168273	165934	163827	162014	160041	156301	152944	150609	148683	145183	143624	141265	138523	134613	131354	128097	123824	122467	119930	116892	112671	108614	105094	101455	98103	94567	91872	87445	84105	79228	74545	73920	70124	66659	63281	60190	58378	54599	52591	50127	46910	43445	40937	39185	36844	35706	34660	33039	31267	29852	28296	27678	26989	25451	24439	22886	22356	21264	20129	19936	19258	18472	17877	17318	16864	16575	16377	16053	15624	15348	14906	14576	14208	13945	13666	13169	12674	12216	11736	11383	11119	10960	10526	9945	9707	9305	8924	8640	8364	7969	7655	7209	6955	6725	6534	6286	6045	5772	5473	5256	5068	4933	4724	4511	4237	3964	3809	3705	3542	3393	3112	3018	2726	2575	2460	2269	2019	1769	1596	1413	1289	1157	919	773	665	508	401	326	235	152	104	68	45	27	20	18	12	12	9	9	9	6	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Arkansas	152625	150277	148312	146190	145173	143821	141916	139855	137617	135902	134348	133040	132166	130318	128006	126197	124235	122811	121866	120828	119230	117360	115812	114519	113641	113057	112190	110874	109712	108640	107679	106727	106115	105318	104135	102798	101596	100441	99597	99066	98422	97539	96524	95246	94167	93487	92833	92220	91312	90145	88880	88071	87430	87013	86525	85779	84821	83697	82755	82049	81242	80755	79946	79049	77963	76981	76364	75723	75160	74082	73211	72219	71497	70627	70219	69710	67911	66804	66406	66021	65727	65377	64690	64175	63081	62112	61497	61224	60856	60378	59583	58745	58023	57374	56894	56574	56199	55652	54765	54216	53487	53077	52665	51992	51879	51766	51096	50411	50028	49383	48811	48039	47028	46293	45381	44597	43810	43173	42511	41759	40968	40181	39447	38623	37981	37249	36259	35246	34655	33927	33228	32533	31762	31114	30297	29812	28939	28367	27864	26803	26052	25246	24512	24253	23814	23209	22622	22075	21197	20777	20257	19818	19310	18740	18062	17375	16678	16083	15561	15142	14631	13928	13606	13191	12917	12501	12095	11547	10816	10368	10080	9740	9426	9101	8651	8425	8067	7818	7443	7253	7013	6777	6538	6277	6180	6029	5922	5775	5612	5458	5003	4923	4813	4759	4578	4463	4366	4236	4164	4043	4012	3747	3747	3703	3611	3525	3491	3437	3372	3337	3281	3193	3127	3069	3001	2911	2810	2599	2276	1990	1973	1781	1744	1695	1620	1569	1498	1410	1280	1228	1171	1119	1000	946	875	837	743	704	643	584	523	473	426	409	381	335	280	219	192	165	122	100	62	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	1171802	1160940	1145209	1128219	1114524	1105435	1089750	1077174	1064040	1052285	1041690	1032095	1023067	1013566	1004116	995575	989432	981297	972713	969362	963211	956854	950920	945401	940411	935878	932143	928028	923648	919276	914888	910438	906596	903684	898799	893364	886939	883746	879645	875692	873614	871253	868148	865204	861310	857913	855190	852410	849076	845270	841928	838202	835507	832713	829521	826013	822205	819115	815654	812711	809890	807451	803660	799516	796436	793065	790096	786168	783313	779491	775037	771321	768204	765134	761728	758933	754905	750961	747290	744344	740965	738856	735314	730662	726018	721281	715617	712475	705951	702038	697385	691821	687004	681032	675561	669280	664435	658900	652267	647274	638140	629415	623873	617994	613101	597984	591376	578946	574231	559746	554388	546814	541339	530606	526685	516851	512175	506613	500556	492934	484913	470762	458121	452288	446452	440185	430773	421286	409305	397870	386906	380745	373259	364706	354885	346211	333357	324543	318761	310885	302484	292560	284012	271035	264681	252895	250514	246550	238681	231418	223646	215487	210692	206844	201112	196024	191477	184765	178657	175243	170862	167133	162798	158961	155726	152349	150034	146659	143439	139715	136681	133816	130657	128606	125783	122194	119374	117215	114733	111951	109895	106638	103813	101071	99492	96470	94069	92564	90281	88056	86018	83764	81518	80166	78725	76693	74871	72798	70980	69329	67600	66572	63800	62148	60616	58456	55884	54903	53347	52026	50130	48747	46164	44972	43559	42368	41355	39561	37352	35480	33686	31431	30511	29157	27677	26686	25389	23934	22800	21717	21081	19710	18897	17351	16024	15034	12837	12016	10790	9410	8233	7155	5863	5110	4679	3910	3009	2542	2113	1651	1412	1243	1009	831	700	557	373	372	281	221	178	144	101	95	81	59	51	35	25	21	12	12	11	11	10	10	10	10	10	10	8	8	8	8	8	8	8	8	7	7	6	6	6	6	6	6	6	6	3	3	3	2	2	2	2	2	0	0	0	0
Colorado	216683	210630	206439	202289	198600	194679	188566	182801	176694	172044	167713	163417	159234	154038	147599	142402	138427	134537	130984	127967	124469	121006	117637	114709	112147	109910	107350	104426	102014	100208	98733	97300	95089	93400	91572	90222	88849	87582	86374	85302	84369	83230	81918	80777	80085	79037	78461	77642	76619	75785	74922	74191	73537	73076	72555	71898	71218	70536	70025	69490	69079	68510	67926	67217	66669	66053	65399	64857	64356	63750	63145	62686	62099	61687	61313	60896	60482	60175	59911	59671	59484	59271	58986	58287	58287	58019	57775	57424	57223	57040	56773	56343	55993	55800	55341	55143	54883	54230	54230	53901	53631	53370	53176	52838	52538	52219	51756	51441	51038	50660	50324	49893	49436	48988	48394	47968	47727	47267	46809	46204	45796	45314	44565	44336	43789	42980	42313	41698	41059	40566	40142	39788	39344	38726	38155	37686	37236	36913	36591	36191	35525	35116	34664	34257	34065	33866	33612	33352	33029	32715	32511	32307	32022	31796	31479	31155	30893	30705	30539	30348	30187	29901	29671	29442	29299	29130	29017	28822	28647	28499	28347	28183	28001	27848	27615	27360	27060	26788	26577	26378	26098	25612	25121	24767	24565	24269	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19703	19375	18827	18370	17832	17367	16918	16635	16225	15793	15284	14758	14316	13879	13441	12968	12256	11278	10891	10473	10112	9730	9440	9047	8675	8280	7950	7696	7307	6893	6513	6202	5655	5429	5183	4950	4565	4173	3728	3342	2966	2627	2308	2061	1738	1430	1087	912	723	595	475	364	278	216	183	161	136	103	78	49	34	17	12	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	109152	109152	107280	106740	101469	101469	101469	99381	97028	94986	93284	88645	88645	88645	85899	84741	82953	81432	78125	78125	78125	77060	75373	74843	73858	71207	71207	71207	70446	69127	68637	68099	67863	67863	67863	67165	66649	66222	65776	64552	64552	64552	63728	63556	63388	63059	61683	61683	61683	61385	60990	60864	60740	59894	59894	59894	59324	59127	58900	58713	58138	58138	58138	58020	57859	57700	57560	57049	57049	57049	56904	56678	56539	56399	55814	55814	55814	55575	55347	55256	54828	54828	54828	54828	54668	54564	54459	54329	53934	53934	53934	53785	53651	53466	53436	52931	52931	52931	52842	52721	52660	52358	52292	52292	52292	52174	52096	52073	51953	51699	51699	51699	51622	51601	51483	51434	51175	51175	51175	51031	50897	50421	50324	50111	50111	50111	49552	49543	49413	49371	49205	49205	49205	49058	48941	48832	48811	48582	48582	48582	48502	48398	48321	48262	47996	47996	47996	47923	47847	47787	47631	47570	47470	47319	47252	47169	47155	47035	47007	46966	46804	46684	46673	46591	46474	46323	46226	45913	45679	45562	45389	45300	45173	45019	44651	44424	44272	44157	43911	43357	43173	42906	42697	42419	42057	41992	41576	41118	40726	40282	40086	39483	39160	38444	37708	37073	36435	35809	35273	34689	34472	33886	33297	32653	31842	31458	30792	30087	30087	29550	28457	27498	27031	26707	25959	25254	24589	23730	23082	20915	20355	18451	18028	17267	16317	15157	14370	13745	12362	11823	10824	10049	7991	7991	7092	5827	5417	5045	3925	3651	3210	2638	2044	1562	1323	1036	895	631	422	332	195	195	160	96	68	41	24	23	11	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	33579	32995	32664	32211	31808	31321	30816	30153	29755	29552	29200	28803	28395	28016	27546	27342	27112	26908	26603	26258	26035	25753	25534	25426	25311	25126	24951	24751	24553	24392	24249	24168	23961	23847	23687	23528	23375	23325	23196	23093	22942	22724	22560	22465	22394	22289	22130	21998	21827	21682	21550	21466	21363	21243	21125	20937	20787	20613	20531	20389	20260	20156	20085	19947	19830	19761	19667	19566	19449	19366	19318	19234	19137	18937	18849	18726	18559	18466	18308	18308	18249	18043	17892	17752	17653	17549	17535	17429	17343	17105	17083	16976	16969	16962	16942	16895	16828	16770	16718	16643	16593	16536	16451	16396	16340	15967	15765	15699	15634	15575	15502	15445	15365	15296	15137	15055	14949	14877	14788	14689	14602	14476	14406	14290	14175	13971	13924	13792	13746	13624	13519	13429	13337	13114	13050	12969	12879	12804	12743	12652	12531	12462	12414	12293	12128	11996	11923	11731	11510	11474	11376	11226	11091	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8529	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6277	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2317	2070	2014	1926	1758	1625	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	163	130	119	104	68	56	45	39	30	19	16	8	6	6	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	961676	961676	953300	944745	938414	931827	923418	914333	905248	897323	889864	885201	875096	870552	863619	858012	852174	847821	843897	837077	832625	827380	821123	816700	812063	807412	802547	800216	794624	790426	786311	782013	778636	776251	771780	768091	762533	760389	756727	755020	752481	748437	744988	741632	738749	736024	734491	728921	728921	726013	722707	720125	717874	716459	714591	711804	709144	706516	704568	701302	700564	698682	695887	693040	690499	687909	685439	683754	681233	677660	674456	671201	668846	665730	663994	661571	658381	654731	652259	650092	648269	646431	643867	640211	637013	633442	631040	623471	621586	619003	615806	611991	608722	605502	602829	600571	597597	593286	588602	584047	579932	576094	573416	569637	563285	557137	550901	542792	536961	532806	526577	518075	510389	502739	497330	491884	487132	480028	470386	461379	451423	441977	432747	423855	414511	402312	389868	379619	369834	360394	350047	337569	327241	315775	301810	291629	282435	269811	254511	244151	232718	223783	213794	206447	200111	190052	178594	169106	158997	152434	146341	141075	132545	122960	114018	109014	103503	100217	97291	93797	89748	85926	82719	80109	77326	75568	73552	70971	69069	67371	66000	64904	63938	62758	61488	60183	58764	57447	56830	56163	55424	54497	53285	52634	52255	51746	50867	50127	49451	48675	47471	46944	46442	45588	44811	44138	43210	42402	41923	40982	40596	40001	39199	38828	38002	37439	36897	36078	35463	34728	33690	33193	32848	32138	31532	30839	30533	29648	28309	27869	27059	26314	25492	24759	23343	22511	21628	21019	19895	18494	17531	16364	15456	14545	13324	12350	11537	10268	9008	6956	6741	5473	4246	3763	2900	2357	1682	1412	1227	1004	763	564	432	306	190	101	100	76	50	30	24	15	13	10	7	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	461517	457909	454732	451056	449132	446804	440591	437156	433732	430571	426236	424989	422905	419870	416876	413894	411652	407333	406061	405037	402427	399625	397137	394526	392964	391947	390656	387879	386388	384414	382624	381010	379973	378546	376547	374139	372206	370785	369564	368750	367479	365818	364076	362300	360896	359821	358844	357610	356271	354511	353141	351525	350512	349658	348839	347177	345796	344353	342491	341381	340736	339857	338385	337501	335837	333815	332781	331499	330271	327925	325812	323812	321579	319785	318677	317151	314851	313056	311082	308971	307300	306642	304854	302478	300241	297345	295270	292860	291238	289922	287338	284850	282160	279739	277464	274969	273099	270292	267164	264177	261681	258632	256649	254633	251089	247595	244872	241012	237154	234524	231093	226304	221855	218410	214333	211612	209167	205740	201777	197374	193083	189541	184984	181855	178861	174781	169570	164909	161321	157633	154977	151459	146383	142155	138420	134224	130552	126614	123870	120422	115560	112488	108785	105097	103421	101042	97982	94968	91214	88019	85990	83600	81191	79036	76979	75123	73422	71384	70055	69089	67140	65952	64997	63966	63247	62453	61503	60397	59520	58445	57653	56839	56190	55606	54807	53982	52937	52193	51863	50955	50162	49675	49009	48329	47620	46989	46450	45735	44912	44025	43092	42068	41449	40687	40290	39814	38953	38357	37812	36814	36357	35283	34842	34232	33285	32478	31886	31035	30673	29761	28435	27906	26982	26311	25427	25141	24349	23691	22967	21524	21011	19813	19129	18615	16964	16226	15783	14415	13481	13164	12434	11439	10719	9551	7918	7196	6669	6313	5790	5021	4253	3039	2869	2560	2164	1650	1349	1110	835	671	600	524	310	213	158	131	107	79	45	33	24	18	10	5	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
