State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	630	618	610	591	583	580	566	551	549	541	529	522	504	489	488	485	483	473	450	435	403	393	390	383	369	343	315	298	290	288	289	272	256	242	228	219	209	209	202	196	183	163	157	153	148	133	118	114	99	93	92	80	70	66	64	49	45	44	38	32	27	23	10	10	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	7	7	7	6	6	6	5	3	3	3	3	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	907	904	886	860	834	810	807	801	801	775	764	747	705	687	680	679	651	624	595	562	542	536	532	517	450	426	395	362	362	330	330	320	308	275	275	275	273	266	249	231	208	191	184	180	183	164	155	143	132	125	117	106	98	89	73	65	64	52	44	35	32	25	20	17	15	13	8	6	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	133	133	132	125	120	119	117	116	115	113	110	107	102	100	98	98	98	98	97	95	94	91	88	88	87	87	83	80	76	72	64	61	57	57	51	51	48	47	45	42	42	41	39	38	37	37	33	32	29	27	25	21	21	18	18	16	16	14	12	12	10	8	7	6	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	4172	4144	4077	3993	3894	3818	3768	3753	3737	3665	3583	3497	3403	3279	3240	3208	3136	3052	2957	2879	2779	2716	2687	2613	2535	2464	2381	2278	2216	2180	2126	2031	1946	1864	1779	1725	1689	1621	1533	1421	1282	1225	1177	1140	1037	956	860	767	714	640	604	583	544	495	432	380	348	289	265	238	199	173	146	124	110	94	81	65	50	39	30	25	24	18	16	12	7	5	3	4	4	4	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	1445	1443	1436	1421	1392	1352	1333	1332	1327	1324	1310	1299	1257	1224	1215	1192	1150	1086	1062	1010	987	971	967	960	944	919	903	851	842	832	821	777	766	736	706	688	684	674	552	506	483	447	420	411	389	372	354	327	306	289	274	250	226	193	179	150	140	126	111	97	79	69	51	47	44	31	19	20	11	7	7	6	5	5	3	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	3944	3912	3868	3826	3803	3769	3742	3693	3675	3637	3583	3529	3472	3450	3408	3339	3285	3219	3125	3041	3008	2967	2932	2874	2797	2718	2633	2556	2436	2436	2339	2257	2169	2087	2012	1924	1865	1767	1639	1544	1423	1331	1127	1086	1036	971	868	671	602	554	494	448	380	326	277	206	189	165	131	112	85	69	36	34	33	27	21	19	12	10	8	4	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	366	361	356	345	344	335	332	326	322	322	317	310	304	297	290	286	271	260	247	237	225	221	221	213	202	193	187	182	177	168	159	152	144	137	125	120	112	100	92	89	82	72	67	67	61	55	46	43	41	35	33	32	23	19	16	15	14	14	14	12	11	10	6	6	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	2451	2447	2413	2364	2319	2259	2252	2237	2233	2190	2144	2096	2052	1997	1973	1964	1917	1875	1827	1779	1735	1721	1715	1669	1600	1539	1471	1399	1379	1364	1314	1268	1218	1171	1088	1075	1055	1046	987	893	867	822	774	748	725	668	596	571	499	461	438	390	354	309	283	236	221	195	170	164	87	85	63	56	54	35	29	23	18	18	13	13	11	9	7	5	3	3	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	2053	2004	1987	1973	1933	1896	1848	1827	1822	1808	1775	1697	1675	1649	1610	1598	1588	1545	1517	1498	1444	1406	1403	1400	1355	1327	1299	1246	1184	1177	1169	1132	1101	1036	995	916	907	899	881	848	798	775	687	673	650	587	552	525	465	433	429	416	379	362	329	229	211	201	184	163	139	111	87	80	69	64	48	40	32	25	25	20	14	10	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
