State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	17952	17359	17031	16530	16032	15650	14986	14478	14117	13670	13288	13052	12376	12086	11771	11674	11373	11101	10700	10464	10164	9889	9668	9385	9046	8691	8437	8112	7888	7611	7294	7088	6912	6750	6539	6421	6026	6026	5832	5593	5317	5079	4888	4712	4571	4345	4075	3953	3734	3563	3217	2947	2703	2328	2169	1952	1765	1614	1495	1233	1060	987	899	825	694	587	517	381	242	196	157	131	106	78	51	39	29	11	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	459	433	429	424	411	410	408	407	407	403	401	401	400	388	388	388	388	383	383	383	379	379	378	377	374	372	371	370	368	365	364	355	355	351	345	340	339	339	337	335	329	321	319	314	309	300	293	285	277	272	257	246	235	226	213	190	185	171	157	143	132	119	114	102	85	58	56	41	34	30	18	13	11	8	5	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	19936	19258	18472	17877	17318	16864	16575	16377	16053	15624	15348	14906	14576	14208	13945	13666	13169	12674	12216	11736	11383	11119	10960	10526	9945	9707	9305	8924	8640	8364	7969	7655	7209	6955	6725	6534	6286	6045	5772	5473	5256	5068	4933	4724	4511	4237	3964	3809	3705	3542	3393	3112	3018	2726	2575	2460	2269	2019	1769	1596	1413	1289	1157	919	773	665	508	401	326	235	152	104	68	45	27	20	18	12	12	9	9	9	6	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Arkansas	7253	7013	6777	6538	6277	6180	6029	5922	5775	5612	5458	5003	4923	4813	4759	4578	4463	4366	4236	4164	4043	4012	3747	3747	3703	3611	3525	3491	3437	3372	3337	3281	3193	3127	3069	3001	2911	2810	2599	2276	1990	1973	1781	1744	1695	1620	1569	1498	1410	1280	1228	1171	1119	1000	946	875	837	743	704	643	584	523	473	426	409	381	335	280	219	192	165	122	100	62	4	3	3	3	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	111951	109895	106622	103813	101050	99387	96400	94020	92539	90252	88031	85997	83752	81457	80166	78725	76693	74871	72798	70978	69329	67600	66558	63779	62148	60616	58456	55884	54903	53347	52026	50130	48747	46164	44966	43558	42368	41355	39561	37344	35465	33686	31431	30491	29157	27677	26686	25356	23931	22795	21706	21081	19710	18897	17351	16019	15034	12837	12004	10773	9399	8210	7138	5852	5095	4657	3899	2998	2538	2108	1646	1405	1243	1005	828	700	557	373	372	281	221	178	144	101	95	81	59	51	35	25	21	12	12	11	11	10	10	10	10	10	10	8	8	8	8	8	8	8	8	7	7	6	6	6	6	6	6	6	6	3	3	3	2	2	2	2	2	0	0	0	0
Colorado	26364	26084	25598	25107	24754	24552	24256	24174	23964	23487	23191	22797	22482	22202	21938	21633	21232	20838	20475	20157	19879	19703	19375	18827	18370	17832	17367	16918	16635	16225	15793	15284	14758	14316	13879	13441	12968	12256	11278	10891	10473	10112	9730	9440	9047	8675	8280	7950	7696	7307	6893	6513	6202	5655	5429	5183	4950	4565	4173	3728	3342	2966	2627	2308	2061	1738	1430	1087	912	723	595	475	364	278	216	183	161	136	103	78	49	34	17	12	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	42201	42022	41762	41559	41288	41303	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24583	23936	23100	22469	20360	19815	17962	17550	16809	15884	14755	13989	13381	12035	11510	10538	9784	7781	7781	6906	5675	5276	4914	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	194	194	159	96	68	41	24	23	11	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	9498	9422	9236	9171	9096	9066	8965	8809	8529	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6277	6277	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2317	2070	2014	1926	1758	1625	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	163	130	119	104	68	56	45	39	30	19	16	8	6	6	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	56163	55424	54497	53285	52634	52255	51746	50867	50127	49451	48675	47471	46944	46442	45588	44811	44138	43210	42402	41923	40982	40596	40001	39199	38828	38002	37439	36897	36078	35463	34728	33690	33193	32848	32138	31532	30839	30533	29648	28309	27869	27059	26314	25492	24759	23343	22511	21628	21019	19895	18494	17531	16364	15456	14545	13324	12350	11537	10268	9008	6956	6741	5473	4246	3763	2900	2357	1682	1412	1227	1004	763	564	432	306	190	101	100	76	50	30	24	15	13	10	7	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	47063	46331	45881	45266	44638	43983	43400	42902	42242	41482	40663	39801	38855	38283	37579	37212	36772	35977	35427	34924	34002	33580	32588	32181	31618	30743	29998	29451	28665	28331	27489	26264	25775	24922	24302	23486	23222	22491	21883	21214	19881	19407	18301	17669	17194	15669	14987	14578	13315	12452	12159	11485	10566	9901	8822	7314	6647	6160	5831	5348	4638	3929	2808	2651	2366	2000	1525	1247	1026	772	621	555	485	287	197	146	121	99	73	42	31	23	17	10	5	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
