State	X2020.12.27	X2020.12.26	X2020.12.25	X2020.12.24	X2020.12.23	X2020.12.22	X2020.12.21	X2020.12.20	X2020.12.19	X2020.12.18	X2020.12.17	X2020.12.16	X2020.12.15	X2020.12.14	X2020.12.13	X2020.12.12	X2020.12.11	X2020.12.10	X2020.12.09	X2020.12.08	X2020.12.07	X2020.12.06	X2020.12.05	X2020.12.04	X2020.12.03	X2020.12.02	X2020.12.01	X2020.11.30	X2020.11.29	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21
Alabama	4691	4685	4680	4676	4587	4452	4389	4389	4389	4296	4254	4198	4124	4102	4102	4102	4086	4034	3985	3942	3892	3889	3877	3831	3776	3711	3638	3578	3577	3572	3572	3572	3532	3472	3459	3457	3457	3451	3419	3347	3301	3249	3248	3246	3231	3213	3201	3120	3084	3084	3082	3049	3026	3006	2987	2973	2973	2967	2932	2914	2911	2892	2866	2866	2866	2859	2843	2828	2805	2789	2788	2788	2786	2756	2706	2665	2665	2664	2664	2653	2637	2601	2580	2559	2558	2558	2550	2548	2540	2517	2501	2501	2501	2491	2491	2488	2457	2439	2437	2437	2428	2401	2392	2387	2355	2351	2350	2333	2301	2285	2277	2276	2276	2275	2266	2233	2217	2200	2182	2162	2152	2107	2076	2045	2037	2024	2013	2011	1996	1974	1944	1936	1925	1898	1896	1893	1890	1882	1847	1797	1768	1755	1735	1714	1695	1666	1633	1627	1603	1580	1565	1538	1491	1491	1473	1456	1438	1397	1364	1303	1291	1287	1286	1265	1230	1211	1164	1124	1121	1114	1104	1068	1058	1033	1007	1007	1007	1006	985	972	950	929	919	919	907	896	891	864	841	839	838	822	810	790	785	774	773	773	769	755	744	729	718	692	689	676	653	653	653	646	630	618	610	591	583	580	566	551	549	541	529	522	504	489	488	485	483	473	450	435	403	393	390	383	369	343	315	298	290	288	288	272	262	242	228	219	213	209	197	197	186	164	160	147	147	137	123	114	104	93	93	80	78	67	64	53	45	44	38	32	28	14	11	5	4	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	8427	8424	8409	8301	8184	8133	7972	7971	7956	7819	7711	7558	7428	7358	7357	7340	7250	7173	7081	6985	6950	6950	6940	6885	6834	6755	6692	6640	6635	6624	6588	6568	6529	6515	6465	6464	6459	6427	6384	6365	6320	6302	6302	6300	6257	6240	6228	6198	6164	6164	6147	6111	6087	6059	6022	5982	5981	5979	5934	5920	5906	5891	5875	5874	5870	5865	5859	5854	5837	5830	5827	5824	5806	5789	5772	5767	5759	5759	5759	5746	5743	5733	5713	5707	5706	5705	5693	5674	5654	5632	5624	5623	5623	5588	5560	5526	5501	5482	5480	5471	5455	5411	5376	5346	5322	5322	5316	5290	5275	5253	5221	5219	5219	5207	5174	5133	5070	5048	5031	5031	5010	4980	4932	4899	4796	4775	4775	4760	4698	4688	4643	4535	4509	4509	4497	4426	4385	4348	4205	4157	4152	4140	4085	4005	3933	3850	3785	3769	3753	3695	3628	3470	3424	3320	3313	3288	3156	3067	2976	2918	2795	2768	2733	2597	2506	2442	2341	2250	2239	2158	2093	2047	1973	1933	1832	1829	1821	1802	1766	1726	1645	1598	1594	1581	1537	1495	1467	1398	1354	1350	1347	1322	1287	1252	1228	1204	1194	1190	1157	1130	1100	1074	1052	1048	1046	1016	1000	983	943	918	906	903	885	857	831	807	806	800	799	775	763	747	704	686	680	679	651	624	594	562	542	536	532	517	450	426	395	362	362	353	330	320	308	297	277	277	275	268	257	236	213	191	188	181	174	152	142	131	122	117	112	97	89	80	77	67	64	53	41	35	29	24	20	18	15	15	8	6	6	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	3482	3441	3438	3406	3376	3338	3295	3237	3191	3139	3112	3074	3016	2990	2945	2911	2875	2820	2786	2752	2713	2660	2620	2586	2555	2522	2512	2502	2470	2449	2436	2436	2425	2405	2387	2357	2337	2321	2297	2275	2245	2225	2183	2159	2148	2144	2126	2112	2108	2085	2068	2056	2037	2026	2003	1985	1958	1925	1900	1894	1875	1857	1833	1812	1797	1782	1772	1751	1728	1714	1704	1684	1665	1645	1634	1611	1586	1569	1552	1530	1503	1482	1469	1447	1425	1407	1391	1384	1369	1350	1329	1308	1285	1266	1246	1229	1209	1197	1181	1181	1173	1166	1157	1150	992	981	969	953	940	928	917	908	894	882	873	861	841	814	797	784	772	756	739	732	711	696	687	674	663	641	631	619	603	599	599	587	582	573	566	555	544	535	521	515	508	490	475	464	458	453	442	434	428	408	401	399	394	386	380	374	363	357	357	353	341	335	331	323	321	319	313	309	305	301	292	287	286	281	279	277	270	265	264	259	249	240	240	237	227	225	224	214	208	197	188	182	179	177	176	171	165	161	155	154	154	152	151	142	136	133	133	133	132	125	120	119	117	116	115	113	110	107	102	100	98	98	98	98	97	95	94	91	88	88	88	87	83	80	76	72	64	61	59	57	51	50	48	47	45	44	43	42	39	38	37	37	34	32	30	27	25	24	21	18	18	16	16	14	12	12	10	8	7	6	5	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	24283	24221	23964	23944	23633	23254	22980	22736	22651	22436	22150	21881	21483	21196	21043	20958	20854	20636	20466	20238	20052	19937	19876	19791	19586	19440	19327	19209	19151	19132	19100	19025	18982	18875	18768	18726	18709	18649	18555	18467	18360	18304	18265	18254	18218	18141	18109	18073	18035	17975	17964	17939	17866	17818	17751	17700	17671	17661	17627	17567	17541	17478	17398	17358	17345	17316	17266	17189	17067	16987	16979	16940	16901	16839	16752	16650	16594	16581	16568	16502	16425	16358	16251	16179	16150	16122	16074	15989	15898	15791	15641	15608	15588	15533	15389	15313	15209	15069	15018	15018	14912	14807	14716	14606	14458	14386	14333	14265	14094	13990	13843	13763	13730	13708	13644	13497	13330	13149	13020	12939	12906	12836	12696	12547	12409	12250	12152	12137	11984	11801	11686	11523	11334	11245	11229	11146	10995	10808	10654	10460	10365	10299	10197	10014	9866	9696	9500	9399	9365	9222	9009	8884	8716	8544	8451	8428	8325	8190	8038	7883	7764	7710	7697	7607	7490	7368	7227	7086	7042	7012	6936	6825	6708	6563	6452	6369	6329	6315	6263	6168	6083	5979	5937	5902	5872	5810	5728	5637	5561	5517	5495	5425	5359	5283	5202	5120	5089	5059	4986	4941	4869	4775	4679	4653	4626	4550	4484	4422	4360	4287	4242	4214	4144	4042	3961	3859	3808	3790	3768	3690	3624	3514	3422	3322	3290	3254	3192	3039	3014	2902	2820	2769	2732	2650	2561	2478	2386	2297	2235	2213	2147	2057	1961	1884	1800	1716	1692	1619	1548	1425	1316	1223	1176	1146	1050	971	885	778	725	676	632	594	548	506	447	386	351	323	282	247	212	184	147	132	122	104	83	68	52	39	35	28	24	19	17	14	11	6	5	5	4	4	3	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	4660	4652	4631	4610	4531	4464	4432	4420	4400	4323	4265	4192	4131	4015	3982	3916	3858	3795	3671	3508	3466	3437	3415	3375	3335	3226	3136	3060	3025	3012	2998	2977	2930	2868	2821	2811	2791	2752	2734	2669	2626	2605	2574	2554	2541	2512	2481	2469	2438	2421	2417	2404	2383	2366	2337	2320	2312	2309	2302	2295	2277	2265	2255	2244	2241	2233	2224	2220	2212	2207	2199	2199	2196	2187	2186	2181	2144	2134	2121	2115	2107	2097	2094	2085	2077	2071	2069	2064	2061	2058	2052	2048	2047	2045	2042	2038	2034	2031	2023	2022	2020	2016	2010	2006	2000	1994	1994	1991	1988	1984	1980	1980	1980	1978	1973	1963	1960	1953	1952	1945	1945	1945	1937	1933	1932	1926	1925	1923	1915	1909	1906	1906	1903	1897	1897	1892	1886	1881	1878	1868	1863	1862	1862	1857	1857	1855	1849	1846	1846	1841	1826	1826	1809	1800	1795	1795	1791	1788	1772	1764	1759	1753	1753	1753	1746	1745	1739	1728	1726	1725	1724	1707	1707	1707	1704	1703	1703	1701	1701	1697	1690	1682	1676	1674	1673	1669	1667	1665	1651	1647	1647	1643	1638	1631	1617	1605	1599	1598	1595	1583	1573	1553	1543	1527	1527	1524	1512	1494	1474	1458	1445	1443	1437	1422	1393	1352	1333	1332	1327	1324	1310	1299	1257	1224	1215	1192	1150	1091	1062	1009	986	969	965	958	942	919	901	849	840	830	818	775	764	734	705	678	670	670	557	526	484	448	421	409	389	374	355	329	308	290	274	253	227	192	179	150	140	126	110	96	80	69	51	47	44	31	24	19	11	10	7	6	5	5	3	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	5791	5791	5791	5791	5736	5703	5676	5581	5581	5581	5552	5506	5466	5444	5363	5363	5363	5327	5285	5242	5224	5146	5146	5146	5111	5091	5040	5020	4961	4961	4961	4926	4926	4881	4871	4828	4828	4828	4805	4784	4771	4759	4737	4737	4737	4726	4716	4707	4698	4671	4671	4671	4656	4645	4635	4627	4616	4616	4616	4609	4604	4595	4589	4577	4577	4577	4569	4567	4559	4554	4542	4542	4542	4540	4537	4533	4532	4530	4530	4530	4527	4522	4521	4517	4513	4513	4513	4511	4508	4505	4503	4501	4501	4501	4499	4497	4496	4495	4492	4492	4492	4488	4487	4485	4485	4480	4480	4480	4478	4474	4474	4468	4468	4468	4468	4468	4467	4466	4465	4465	4465	4465	4465	4463	4463	4460	4460	4460	4460	4458	4457	4456	4456	4453	4453	4453	4450	4450	4444	4444	4441	4441	4441	4437	4437	4437	4437	4432	4432	4432	4431	4425	4423	4418	4413	4413	4413	4410	4406	4406	4406	4396	4396	4396	4389	4380	4372	4371	4348	4348	4348	4348	4343	4338	4338	4335	4335	4335	4326	4324	4322	4320	4316	4311	4307	4298	4287	4277	4263	4260	4251	4238	4226	4219	4210	4204	4201	4186	4159	4146	4120	4097	4084	4071	4055	4038	4007	3989	3972	3964	3944	3912	3868	3826	3803	3769	3742	3693	3675	3637	3582	3529	3472	3449	3408	3339	3285	3219	3125	3041	3008	2967	2932	2874	2797	2718	2633	2556	2436	2436	2339	2257	2168	2089	2012	1925	1862	1764	1639	1544	1423	1331	1127	1086	1036	971	868	671	602	554	494	448	380	335	277	206	189	165	132	112	85	69	36	34	33	27	21	19	12	10	8	5	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	897	895	891	888	872	872	871	862	858	854	845	833	826	816	816	815	807	806	803	803	793	793	782	782	779	779	777	772	770	763	763	761	760	757	752	748	746	746	742	742	739	736	736	736	734	732	724	722	719	718	716	716	716	712	712	710	710	708	704	689	688	686	685	681	680	678	670	670	668	666	665	664	662	661	660	659	656	654	653	651	651	649	646	645	645	645	642	636	636	635	634	633	633	631	630	629	628	627	621	621	620	619	619	618	617	615	613	613	613	609	609	609	609	608	606	606	606	605	605	604	604	604	604	604	603	603	600	600	600	595	595	593	593	593	593	593	593	592	591	591	591	590	588	587	587	587	585	585	585	585	581	581	580	579	579	579	578	529	527	525	523	523	523	521	521	521	518	517	517	517	517	517	515	514	512	512	512	512	510	509	509	507	507	507	507	507	505	504	435	435	434	433	431	426	424	423	422	419	414	414	413	410	398	398	390	388	386	375	373	368	366	361	356	345	344	335	332	326	324	322	317	310	304	297	290	286	271	260	247	237	225	224	221	213	202	193	187	182	177	168	159	152	144	137	125	120	112	100	92	89	82	72	67	67	61	52	46	43	41	35	33	32	23	19	16	15	14	14	14	12	11	10	7	6	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	768	762	756	756	751	744	742	737	730	728	725	720	720	716	715	713	709	708	704	701	701	697	695	693	692	690	685	680	680	678	677	677	677	673	672	670	670	669	667	665	660	660	660	658	657	657	657	657	655	654	654	652	650	647	647	647	646	646	646	645	644	644	642	642	642	642	642	642	642	641	641	641	641	638	638	637	637	637	636	634	634	632	631	631	631	629	629	628	627	626	624	624	624	623	621	621	621	621	620	619	619	619	617	616	616	616	616	616	616	615	611	611	611	611	611	609	608	607	607	606	605	605	605	605	604	604	604	604	602	601	600	599	597	597	597	594	594	593	593	591	591	590	589	587	587	587	586	586	585	585	584	584	583	582	581	581	581	581	580	580	579	578	578	577	574	571	568	568	568	568	568	568	564	561	561	559	557	555	554	553	551	551	550	548	546	543	541	537	535	533	531	530	527	523	520	515	515	511	506	502	499	495	491	489	483	479	475	473	470	468	466	462	460	453	445	440	440	432	427	418	412	407	400	392	383	375	368	358	350	336	328	323	311	304	285	277	264	258	251	240	231	224	205	190	185	178	165	153	139	127	112	105	96	91	86	81	72	67	52	50	47	38	32	27	24	24	22	21	15	12	11	9	9	5	4	3	3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	21211	21134	20994	20994	20873	20753	20679	20567	20472	20400	20304	20203	20081	20002	19865	19784	19713	19590	19461	19377	19281	19176	19083	18993	18873	18775	18678	18596	18499	18441	18362	18253	18253	18156	18084	17990	17929	17888	17809	17730	17643	17558	17517	17488	17444	17371	17299	17247	17178	17120	17099	17013	16960	16921	16889	16833	16788	16760	16719	16647	16570	16504	16448	16428	16416	16339	16266	16209	16104	16020	15966	15916	15829	15735	15594	15530	15411	15363	15185	15185	15067	14903	14766	14711	14670	14627	14553	14443	14316	14142	14036	14031	14021	13914	13794	13617	13415	13316	13295	13286	13224	13085	12938	12786	12641	12607	12599	12501	12325	12114	11914	11870	11848	11810	11749	11649	11500	11373	11186	11118	11104	10956	10867	10732	10579	10396	10324	10273	10167	10048	9931	9757	9538	9451	9344	9140	8912	8764	8552	8276	8185	8108	7926	7746	7626	7401	7156	7083	7021	6842	6585	6332	6116	5930	5853	5776	5652	5517	5344	5205	5071	4981	4894	4804	4676	4520	4408	4276	4241	4196	4101	4008	3888	3840	3777	3730	3701	3683	3616	3549	3504	3446	3418	3389	3365	3326	3280	3237	3172	3160	3143	3103	3060	3017	2992	2937	2930	2924	2876	2847	2800	2764	2711	2699	2687	2659	2606	2565	2529	2459	2450	2446	2412	2363	2318	2258	2251	2236	2232	2189	2143	2095	2051	1996	1972	1963	1916	1874	1826	1778	1734	1720	1714	1668	1599	1538	1470	1398	1378	1363	1313	1267	1216	1170	1087	1073	1054	1045	986	926	866	822	773	747	725	667	613	570	498	460	445	418	370	322	295	253	220	194	169	144	100	85	72	60	56	46	29	23	20	18	13	11	9	8	7	6	4	3	3	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	10356	10352	10303	10256	10193	10135	10072	10056	10054	10009	9974	9913	9856	9803	9781	9779	9738	9683	9630	9582	9559	9516	9506	9443	9377	9301	9253	9198	9189	9173	9130	9089	9054	8979	8972	8955	8940	8904	8867	8833	8778	8740	8730	8729	8678	8655	8582	8507	8457	8428	8427	8389	8359	8303	7837	7810	7792	7790	7768	7737	7692	7661	7644	7626	7625	7584	7547	7523	7494	7479	7460	7429	7382	7320	7298	7282	7259	7246	7223	7178	7125	7089	7062	7028	6999	6972	6945	6903	6861	6836	6803	6789	6758	6717	6667	6620	6524	6455	6453	6450	6390	6328	6276	6255	6211	6191	6144	6103	6062	5987	5931	5907	5900	5842	5797	5735	5665	5604	5506	5478	5451	5352	5275	5195	5147	5045	5021	4982	4889	4797	4744	4691	4624	4600	4568	4474	4440	4360	4255	4138	4108	4095	4029	3942	3899	3835	3760	3758	3744	3674	3596	3566	3488	3435	3424	3421	3368	3288	3264	3186	3113	3110	3105	3071	3043	3030	2996	2972	2951	2946	2915	2880	2871	2850	2829	2812	2809	2808	2801	2779	2758	2739	2735	2733	2727	2704	2658	2646	2607	2603	2602	2596	2565	2536	2492	2457	2416	2411	2384	2337	2292	2250	2176	2148	2147	2143	2116	2092	2070	2057	2019	1973	1953	1942	1904	1867	1820	1799	1794	1779	1749	1672	1650	1624	1584	1573	1563	1521	1494	1470	1420	1383	1380	1378	1332	1309	1277	1228	1168	1161	1153	1121	1086	1022	981	907	897	889	871	837	810	767	682	670	661	611	569	517	479	438	432	425	412	370	348	294	219	208	198	176	154	126	103	83	79	64	56	47	38	25	25	20	14	10	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
