State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	630	618	610	605	583	580	566	558	551	541	529	522	500	486	485	482	482	470	448	438	401	391	388	381	368	341	314	297	289	287	287	269	261	240	227	218	212	208	196	175	141	112	112	110	96	82	75	73	61	61	60	58	48	48	39	32	31	26	21	17	16	13	6	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	7	7	7	6	7	7	5	3	3	3	3	3	3	2	2	1	1	0	0	0	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	913	898	882	853	828	805	803	798	797	772	760	746	703	685	679	678	650	623	593	561	541	535	531	516	450	426	395	362	362	348	330	320	304	293	276	275	273	266	249	228	208	187	184	177	169	150	142	131	122	115	108	95	86	79	72	65	64	52	41	32	29	24	20	17	15	13	8	5	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	133	133	132	125	120	119	117	116	115	113	110	107	102	100	98	98	98	98	97	95	94	91	88	88	88	87	83	80	75	72	64	61	59	57	51	50	48	47	45	44	43	42	39	38	37	37	34	32	27	27	25	24	21	18	18	16	15	13	12	12	10	8	7	5	5	6	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	4172	4141	4074	3993	3912	3821	3766	3751	3735	3667	3597	3495	3406	3284	3240	3208	3157	3049	2969	2877	2777	2716	2689	2627	2540	2459	2376	2282	2208	2185	2128	2031	1941	1865	1776	1713	1690	1611	1527	1430	1317	1224	1177	1147	1011	971	879	779	726	677	632	596	546	505	448	389	352	323	284	246	215	185	152	135	124	103	86	70	55	43	36	32	27	22	20	17	14	9	7	7	7	7	6	5	4	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	1445	1443	1436	1421	1392	1351	1332	1329	1325	1321	1308	1298	1257	1224	1214	1192	1150	1091	1062	1009	987	971	967	959	944	921	901	851	842	832	820	777	766	736	704	678	670	672	550	508	486	449	422	411	391	374	357	329	290	290	274	250	227	193	179	150	139	126	111	97	80	69	54	47	44	31	24	19	11	7	7	6	4	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	3944	3912	3868	3826	3801	3768	3742	3693	3674	3637	3581	3528	3471	3448	3407	3338	3285	3219	3125	3041	3008	2967	2932	2874	2796	2718	2633	2556	2495	2436	2339	2257	2168	2088	2011	1923	1861	1763	1637	1542	1423	1331	1127	1086	1036	971	868	671	602	554	494	448	380	335	277	206	189	165	133	111	85	69	36	34	33	27	21	19	12	10	8	5	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	366	361	356	346	345	336	332	326	324	322	317	310	304	297	290	286	271	260	247	236	223	202	202	202	202	193	187	182	177	168	159	152	144	137	125	120	112	100	92	89	82	72	67	67	61	52	46	43	35	35	33	32	23	19	16	15	14	14	14	12	11	10	7	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	2451	2447	2412	2363	2318	2257	2251	2236	2232	2189	2144	2094	2051	1996	1973	1963	1917	1875	1827	1779	1735	1719	1713	1667	1596	1535	1468	1399	1379	1364	1314	1267	1218	1171	1088	1074	1055	1046	987	927	867	823	774	748	726	668	614	571	461	461	446	419	371	323	296	254	221	195	170	144	97	85	71	59	56	46	30	25	21	19	13	10	10	8	7	6	5	3	3	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	2053	2005	2003	1970	1938	1896	1847	1824	1819	1804	1770	1690	1669	1634	1594	1585	1575	1535	1503	1482	1445	1392	1390	1388	1343	1319	1283	1233	1171	1165	1158	1125	1088	1029	988	912	902	895	878	842	815	766	687	673	665	615	574	522	441	441	431	420	408	367	345	292	219	207	197	175	154	125	102	82	78	65	55	46	37	26	20	20	14	10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
