State	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	2013	2011	1989	1969	1940	1930	1919	1894	1892	1889	1885	1878	1844	1795	1766	1753	1733	1712	1694	1666	1633	1627	1603	1580	1565	1538	1491	1491	1471	1453	1436	1393	1362	1303	1291	1286	1285	1264	1230	1211	1164	1123	1121	1114	1104	1068	1058	1033	1007	1007	1007	1006	985	972	948	929	918	918	906	895	889	864	840	839	838	821	809	790	785	774	768	768	764	750	739	723	712	687	684	670	651	650	650	643	629	618	610	605	583	580	566	558	551	541	529	522	500	486	485	482	482	470	448	438	401	391	388	381	368	341	314	297	289	287	287	269	261	240	227	218	212	208	194	174	141	112	112	110	96	82	75	73	61	61	60	58	48	48	39	32	31	26	21	17	16	13	6	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	32	31	30	29	29	29	28	28	28	27	27	26	26	26	26	26	25	25	25	25	25	24	24	22	22	21	20	20	19	19	18	18	18	17	17	17	17	16	16	16	16	17	17	14	14	14	14	14	14	14	14	14	14	14	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	7	7	7	6	7	7	5	3	3	3	3	3	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	4771	4756	4687	4681	4628	4526	4505	4504	4491	4422	4382	4347	4199	4150	4147	4136	4080	4002	3930	3843	3778	3765	3745	3692	3624	3454	3407	3303	3301	3284	3284	3061	2974	2917	2784	2761	2728	2583	2492	2434	2337	2245	2237	2151	2082	2038	1962	1927	1810	1807	1805	1788	1720	1720	1632	1588	1588	1579	1535	1484	1463	1395	1342	1339	1337	1311	1271	1238	1218	1192	1186	1183	1138	1123	1094	1069	1045	1045	1035	1004	989	974	935	910	910	896	880	851	826	803	801	796	795	770	758	744	701	683	677	676	648	621	591	559	539	533	529	514	448	424	393	360	360	346	328	318	302	291	274	274	272	265	248	227	207	186	183	176	168	149	141	130	121	114	108	95	86	79	72	65	64	52	41	32	29	24	20	17	15	13	8	5	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arkansas	687	674	663	640	630	616	600	597	597	584	579	570	563	552	541	534	520	513	506	488	473	460	457	451	440	432	406	406	399	397	392	384	378	372	361	355	355	352	340	334	330	322	320	318	312	308	304	300	291	286	285	280	278	276	269	264	263	258	248	239	239	236	226	224	223	213	207	196	187	181	178	176	175	170	164	160	154	152	152	150	149	140	135	133	133	133	132	125	120	119	117	116	115	113	110	107	102	100	98	98	98	98	97	95	94	91	88	88	88	87	83	80	75	72	64	61	59	57	51	50	47	46	44	43	41	41	38	37	36	36	33	32	27	27	25	24	21	18	18	16	15	13	12	12	10	8	7	5	5	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	12152	12116	11970	11807	11675	11511	11331	11226	11210	11136	10986	10799	10638	10463	10371	10285	10186	10001	9868	9701	9507	9393	9361	9224	9008	8892	8714	8545	8450	8428	8339	8202	8048	7891	7772	7712	7701	7543	7489	7366	7237	7096	7049	7026	6952	6849	6710	6563	6448	6336	6330	6312	6383	6160	6081	5976	5930	5898	5865	5804	5723	5622	5565	5507	5486	5418	5352	5278	5197	5115	5082	5055	4984	4928	4854	4749	4657	4632	4604	4535	4452	4384	4315	4171	4171	4141	4074	3993	3912	3823	3766	3751	3735	3667	3597	3495	3406	3284	3240	3208	3157	3049	2969	2877	2777	2716	2689	2627	2540	2459	2376	2282	2208	2185	2128	2031	1941	1865	1776	1713	1690	1611	1527	1430	1317	1224	1177	1147	1011	971	879	779	726	677	632	596	546	505	448	389	352	323	284	246	215	185	152	135	124	103	86	70	55	43	36	30	27	22	20	17	14	9	7	7	7	7	6	5	4	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	1918	1918	1910	1903	1900	1898	1895	1895	1894	1886	1880	1874	1874	1861	1856	1855	1853	1850	1848	1846	1842	1842	1841	1837	1821	1820	1799	1799	1794	1794	1790	1786	1771	1763	1758	1752	1752	1751	1745	1743	1737	1727	1725	1725	1724	1706	1704	1695	1691	1690	1690	1690	1686	1686	1679	1672	1664	1664	1664	1656	1655	1653	1643	1639	1639	1635	1631	1626	1616	1603	1598	1597	1594	1582	1571	1551	1540	1524	1524	1520	1509	1492	1472	1456	1444	1442	1435	1421	1392	1351	1332	1329	1325	1321	1308	1298	1257	1224	1214	1192	1150	1091	1062	1009	987	971	967	959	944	921	901	851	842	832	820	776	765	735	703	678	670	660	550	508	486	449	422	411	391	374	357	329	290	290	274	250	227	193	179	150	139	126	111	97	80	69	54	47	44	31	24	19	11	7	7	6	4	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	4460	4460	4460	4457	4456	4454	4454	4453	4453	4453	4450	4450	4443	4443	4440	4440	4440	4436	4434	4434	4434	4431	4431	4431	4430	4425	4418	4418	4413	4413	4413	4410	4406	4405	4405	4395	4395	4395	4388	4380	4372	4370	4348	4348	4348	4348	4343	4338	4338	4335	4335	4335	4326	4324	4320	4318	4316	4311	4307	4298	4287	4277	4263	4260	4251	4238	4226	4219	4209	4203	4200	4186	4159	4146	4120	4094	4084	4071	4055	4038	4007	3989	3972	3942	3942	3912	3868	3826	3801	3768	3742	3693	3674	3637	3581	3528	3471	3448	3407	3338	3285	3219	3125	3041	3008	2967	2932	2874	2796	2718	2633	2556	2495	2436	2339	2257	2168	2088	2011	1923	1861	1762	1637	1542	1423	1331	1127	1086	1036	971	868	671	602	554	494	448	380	335	277	206	189	165	133	111	85	69	36	34	33	27	21	19	12	10	8	5	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	600	600	600	595	595	592	592	592	592	592	592	591	591	591	591	590	588	587	587	587	585	585	585	583	581	581	579	579	579	579	578	529	527	525	523	523	523	523	521	521	521	515	515	515	516	516	515	514	512	512	512	510	510	508	507	506	506	506	506	506	504	503	435	435	434	433	431	426	424	423	422	419	414	414	413	410	398	398	390	388	385	375	373	368	366	361	356	346	345	336	332	326	324	322	317	310	304	297	290	286	271	260	247	236	223	202	202	202	202	193	187	182	177	168	159	152	144	137	125	120	112	100	92	89	82	72	67	67	61	52	46	43	35	35	33	32	23	19	16	15	14	14	14	12	11	10	7	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	10325	10274	10168	10046	9931	9758	9538	9451	9345	9140	8913	8765	8553	8277	8186	8109	7927	7747	7626	7401	7157	7083	7021	6843	6586	6332	5931	5931	5853	5777	5653	5518	5345	5205	5072	4981	4895	4793	4677	4520	4408	4276	4242	4197	4102	4009	3889	3840	3778	3731	3702	3684	3617	3550	3503	3446	3418	3390	3366	3327	3281	3236	3172	3161	3144	3104	3061	3018	2993	2938	2931	2925	2877	2847	2800	2765	2711	2700	2688	2660	2607	2564	2529	2459	2450	2446	2411	2362	2317	2257	2251	2236	2232	2189	2144	2094	2051	1996	1973	1963	1917	1875	1827	1779	1735	1719	1713	1667	1596	1535	1468	1399	1379	1364	1314	1267	1218	1171	1088	1074	1054	1045	987	927	867	823	774	750	726	668	614	571	461	461	446	419	370	323	296	254	221	195	170	144	97	85	71	59	56	46	30	23	19	17	13	10	10	8	7	6	5	3	3	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	5132	5092	4997	4903	4846	4790	4723	4700	4666	4573	4538	4453	4344	4226	4195	4182	4113	4023	3982	3919	3841	3839	3824	3751	3671	3636	3508	3508	3495	3492	3441	3358	3266	3248	3173	3171	3166	3130	3103	3090	3053	3016	2999	2996	2992	2937	2923	2902	2882	2860	2859	2856	2852	2833	2807	2794	2777	2775	2773	2750	2717	2689	2648	2632	2632	2631	2597	2578	2531	2500	2445	2440	2418	2386	2344	2282	2266	2174	2171	2160	2151	2126	2103	2077	2038	1998	1997	1965	1934	1894	1846	1823	1818	1803	1769	1689	1668	1633	1593	1584	1574	1534	1502	1481	1444	1392	1390	1388	1343	1319	1283	1233	1171	1165	1158	1125	1088	1029	988	912	902	895	875	841	812	764	687	673	665	611	573	521	440	440	430	419	407	369	342	292	219	207	197	175	154	125	102	82	78	65	55	46	37	26	20	20	14	10	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hawaii	47	47	46	45	42	41	40	40	40	40	40	38	34	34	31	31	31	29	27	27	26	26	26	26	26	26	26	26	26	26	26	26	25	24	24	24	24	23	22	22	22	22	19	19	19	19	19	19	19	19	19	19	18	18	18	18	18	18	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	16	16	16	16	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	6	6	6	5	4	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Idaho	306	306	304	291	291	282	273	269	269	265	251	246	246	239	237	235	229	223	217	210	200	196	196	189	177	173	160	152	146	146	144	138	135	126	122	119	119	114	114	110	103	102	102	102	101	100	98	94	94	92	92	92	92	92	92	91	91	91	90	90	90	89	89	89	89	89	89	88	88	88	86	86	86	85	85	85	83	83	83	83	83	83	83	83	82	82	82	82	82	81	78	78	78	78	76	76	76	74	73	73	73	72	69	69	69	67	67	67	67	66	65	63	63	63	62	62	60	58	58	56	56	54	54	54	51	48	45	44	43	41	41	39	33	27	27	25	23	17	14	12	10	10	10	9	9	9	7	6	5	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	7880	7874	7857	7833	7806	7782	7755	7744	7726	7720	7695	7671	7656	7636	7635	7630	7613	7593	7573	7544	7525	7516	7502	7494	7475	7457	7414	7414	7397	7396	7383	7365	7346	7323	7300	7293	7288	7270	7249	7224	7216	7189	7183	7164	7140	7115	7096	7060	7024	7018	7012	7003	6949	6949	6921	6900	6886	6871	6845	6807	6767	6704	6669	6646	6624	6579	6536	6484	6397	6325	6307	6288	6259	6184	6094	6017	5923	5903	5862	5794	5735	5620	5524	5411	5389	5329	5268	5184	5081	4923	4884	4855	4790	4715	4607	4524	4377	4233	4176	4127	4057	3927	3791	3601	3458	3405	3347	3239	3110	2974	2838	2660	2616	2554	2456	2354	2214	2125	1983	1933	1875	1794	1686	1565	1468	1349	1290	1259	1132	1072	948	868	720	720	677	596	528	462	380	307	274	244	209	157	139	99	72	65	47	29	26	18	16	11	8	6	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indiana	3003	3001	2992	2979	2968	2954	2926	2920	2917	2902	2894	2874	2859	2834	2831	2830	2816	2807	2800	2788	2776	2772	2768	2768	2744	2731	2707	2707	2704	2698	2687	2683	2666	2649	2632	2629	2627	2610	2602	2592	2582	2569	2567	2563	2544	2539	2539	2524	2504	2493	2493	2487	2468	2455	2447	2432	2427	2424	2403	2394	2385	2377	2363	2350	2346	2327	2304	2289	2265	2251	2240	2231	2214	2197	2172	2158	2135	2121	2110	2078	2050	2029	2020	1975	1966	1943	1943	1904	1869	1848	1830	1824	1812	1791	1764	1716	1675	1621	1607	1596	1550	1506	1481	1444	1411	1379	1362	1328	1295	1264	1213	1151	1132	1115	1062	1007	963	943	910	879	843	817	789	750	708	673	641	616	582	552	515	473	440	412	392	367	332	304	269	244	210	185	154	133	111	90	75	57	47	44	35	29	24	19	14	9	5	5	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iowa	1035	1030	1017	1011	1003	987	979	975	973	964	954	949	937	931	930	925	912	906	893	885	879	874	872	865	854	844	829	829	826	826	820	815	808	799	793	792	787	782	777	758	756	753	749	748	743	740	732	725	722	721	721	720	717	717	713	707	703	703	701	693	690	688	686	685	681	680	676	671	661	653	650	649	642	638	629	622	607	602	598	588	578	565	559	537	532	527	520	500	485	463	456	449	444	418	400	381	366	355	351	346	336	318	306	288	270	264	251	242	230	218	206	187	183	175	170	162	148	136	127	118	112	107	96	90	83	79	75	74	64	60	53	43	41	41	34	31	27	27	26	25	17	11	11	11	9	7	6	4	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kansas	431	430	426	422	414	410	407	407	407	404	403	396	390	387	380	380	380	375	368	366	366	361	358	356	354	349	341	335	332	326	326	316	316	313	311	305	305	304	301	301	297	297	293	288	291	291	286	285	284	277	277	277	277	277	275	273	271	270	267	265	264	264	264	264	264	256	247	247	246	246	243	243	243	240	240	236	236	232	232	232	224	224	220	214	213	213	213	213	210	209	207	204	204	203	203	201	196	195	194	194	192	189	185	184	179	173	173	168	164	164	161	156	145	142	141	135	134	128	126	122	120	114	114	112	102	102	94	87	85	81	77	69	62	56	55	48	42	38	30	25	22	21	16	13	10	10	9	5	5	4	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kentucky	872	872	864	856	842	830	817	813	810	804	795	789	782	774	772	771	763	756	748	747	740	738	736	731	727	720	705	705	696	692	687	680	673	670	669	668	665	656	648	643	633	627	623	620	618	610	606	600	591	583	583	583	579	571	564	559	557	553	552	545	537	536	525	525	523	521	518	516	509	503	498	498	497	493	483	477	471	469	469	465	457	450	442	439	431	431	418	409	400	394	391	391	391	391	386	376	366	346	334	334	332	328	326	321	311	304	304	298	294	283	275	261	253	248	248	240	235	225	213	208	205	200	191	185	171	154	148	144	137	129	121	115	105	96	94	90	79	66	62	59	45	40	37	31	20	18	11	10	10	9	5	5	4	4	3	3	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	4605	4545	4545	4493	4466	4431	4403	4384	4307	4307	4277	4237	4195	4169	4145	4089	4089	4028	3978	3937	3910	3893	3835	3835	3810	3770	3674	3674	3651	3603	3603	3573	3555	3496	3461	3430	3398	3398	3374	3350	3336	3314	3307	3294	3272	3247	3231	3211	3188	3180	3169	3169	3147	3130	3112	3089	3085	3076	3076	3050	3038	3020	3002	2990	2989	2969	2947	2947	2927	2904	2899	2890	2882	2872	2854	2842	2829	2823	2812	2799	2770	2757	2721	2688	2683	2678	2678	2634	2615	2596	2585	2567	2560	2533	2505	2485	2457	2438	2423	2411	2381	2347	2313	2270	2232	2203	2186	2146	2128	2086	2035	1985	1964	1945	1922	1858	1798	1754	1695	1669	1643	1600	1539	1472	1403	1327	1296	1268	1214	1156	1100	1011	837	837	803	753	700	650	578	512	476	408	370	309	268	238	185	153	137	119	83	65	45	34	20	20	14	10	7	4	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
