State	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	17849	17358	17031	16553	16029	15648	15194	14507	14152	13670	13410	13049	12374	12078	11768	11671	11387	11094	10699	10468	10164	9889	9668	9384	9046	8691	8436	8110	7885	7611	7294	7063	6916	6744	6537	6417	6213	6026	5825	5598	5317	5074	4897	4719	4515	4400	4237	3951	3800	3582	3262	3007	2838	2499	2197	2003	1840	1632	1534	1270	1106	997	941	825	717	639	531	386	242	196	167	131	106	78	51	39	29	22	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	460	434	430	425	412	411	409	408	408	404	402	402	400	400	397	388	388	388	384	384	382	380	379	378	375	373	372	371	369	366	365	356	356	352	346	342	340	340	338	336	330	322	320	315	310	301	294	286	278	273	258	247	236	226	213	191	185	171	157	147	142	133	119	114	102	85	69	59	42	37	23	20	16	10	6	6	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	20119	19255	18465	17763	17261	16782	16560	16339	16039	15607	15315	14897	14566	14170	13937	13631	13168	12673	12175	11735	11379	11118	10960	10526	9944	9706	9304	8919	8640	8364	7961	7648	7202	6948	6716	6526	6280	6043	5768	5459	5251	5064	4928	4718	4507	4234	3962	3806	3701	3539	3393	3111	3018	2726	2575	2456	2269	2018	1769	1596	1414	1289	1154	919	773	663	508	401	326	234	152	103	63	44	27	20	18	12	12	10	10	10	6	6	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Arkansas	7253	7011	6776	6531	6277	6177	6028	5920	5772	5610	5456	5002	4922	4812	4758	4576	4462	4365	4235	4161	4038	4007	3745	3745	3692	3607	3522	3461	3417	3358	3304	3269	3201	3122	3064	2998	2907	2807	2598	2391	2260	1969	1779	1776	1690	1615	1593	1495	1472	1276	1227	1201	1146	1077	997	927	853	740	732	678	621	560	504	445	403	375	328	296	222	192	165	118	100	62	37	28	22	16	12	8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	112243	109860	105517	103868	101758	99746	96527	94323	92550	90674	88225	86003	83785	81834	80113	78734	76898	74861	73035	70978	69340	67931	66739	64505	62302	60636	58695	56140	54901	53647	52204	50322	48795	46414	45172	43673	42565	41317	39556	37688	35814	33869	31591	30829	29420	28126	27097	25859	24437	23433	22562	21566	20337	19191	17706	16545	15356	14055	12755	11397	10172	8815	7643	6707	6058	5226	4368	3518	2990	2587	2105	1804	1597	1318	1107	923	740	621	504	406	352	326	221	194	131	119	79	62	48	34	30	22	22	18	16	15	13	13	12	12	12	9	9	9	8	8	8	8	8	7	7	6	6	6	6	6	6	6	6	4	4	4	4	4	3	3	2	0	0	0	0
Colorado	26378	26098	25612	25121	24766	24542	24248	24157	23954	23485	23178	22797	22475	22196	21927	21624	21224	20830	20467	20152	19875	19697	19371	18827	18371	17830	17364	16902	16624	16224	15766	15261	14745	14304	13793	13355	12884	12171	11182	10871	10440	10100	9723	9426	9046	8675	7493	7290	7128	6898	6638	6322	6098	5655	5429	5172	4950	4565	4173	3724	3341	2965	2624	2306	2061	1732	1429	1086	911	720	591	475	362	277	183	183	160	131	101	77	49	24	18	14	7	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	42201	42022	41762	41559	41288	41234	40873	40465	40022	39640	39203	39016	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31783	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24582	23921	23100	22469	20360	19815	17962	17550	16809	15884	14753	13989	13381	12035	11510	10538	9784	8781	7781	6906	5675	5276	4915	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	223	194	159	96	68	41	26	20	8	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7870	7670	7537	7366	7214	6952	6741	6555	6447	6280	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2323	2075	2014	1926	1761	1638	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	165	119	119	104	87	56	45	39	30	26	17	8	7	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	56163	55421	54496	53285	52633	52254	51745	50866	50127	49447	48671	47470	46940	46436	45585	44810	44134	43209	42388	41897	40982	40596	39998	39196	38828	38001	37429	36892	36078	35460	34725	33690	33192	32844	32136	31527	30836	30533	29647	28576	27868	27056	26312	25491	24747	23340	22519	21628	21019	19895	18986	17968	16826	15698	14747	13629	12350	11544	10268	9008	7559	6741	5704	4948	4038	3198	2439	1975	1412	1227	1005	762	652	432	328	216	167	136	96	64	58	49	25	14	9	6	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	47096	46345	45869	45277	44602	42301	41191	40362	39572	39021	38234	37401	36706	36071	35528	35349	35077	34587	34125	33680	33268	32658	31823	31292	30725	30187	29196	28710	27928	27627	26805	25832	25128	24217	23592	22830	22566	22014	21477	20493	19662	19084	18216	17580	17152	16144	15120	14578	13621	12550	12261	11856	10885	10204	9156	7554	6731	6374	5960	5440	4744	4110	3024	2682	2445	2197	1633	1374	1093	799	619	555	483	283	197	145	121	98	66	56	56	33	19	17	5	6	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
