State	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22
Alabama	103851	103009	101331	100172	98299	96592	94654	93702	92658	91442	89347	87721	85760	82366	82292	81115	79294	78130	76005	74211	71812	70357	68891	67011	65234	63091	61088	59067	57254	55545	53587	51947	50508	49173	46962	45784	44874	43951	42862	41864	40111	38962	38045	37174	35430	35077	34180	33206	32064	31097	30453	30021	29549	29002	28206	27312	26912	26272	25235	24220	23333	22474	21626	21071	20590	20166	19709	19073	18766	18553	18427	18246	17849	17358	17031	16553	16029	15648	15194	14507	14152	13670	13410	13049	12374	12078	11768	11671	11387	11094	10699	10468	10164	9889	9668	9384	9046	8691	8436	8110	7885	7611	7294	7063	6916	6744	6537	6417	6213	6026	5825	5598	5317	5074	4897	4719	4515	4400	4237	3951	3801	3581	3262	3007	2838	2497	2197	2003	1840	1632	1534	1270	1106	997	941	825	717	639	531	386	242	196	167	131	106	78	51	39	29	22	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alaska	3821	3774	3709	3611	3532	3483	3447	3393	3338	3280	3136	2879	2879	2796	2730	2622	2525	2339	2249	2194	2131	2041	1949	1882	1785	1716	1674	1622	1579	1539	1474	1378	1319	1269	1226	1184	1166	1115	1088	1044	967	967	932	900	876	835	835	784	759	759	759	753	742	721	708	696	676	664	661	652	625	610	593	573	563	544	536	524	513	505	487	467	460	434	430	425	412	411	409	408	408	404	402	402	400	400	397	388	388	388	384	384	382	380	379	378	375	373	372	371	369	366	365	356	356	352	346	342	340	340	338	336	330	322	320	315	310	301	294	286	278	273	258	247	236	226	213	191	185	171	157	147	142	133	119	114	102	85	69	59	42	37	23	15	13	10	6	6	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	188737	187521	186923	186103	185050	183645	182194	180498	179490	178467	177000	174010	170798	168266	165934	163825	162003	160049	156301	152944	150609	148674	145182	143619	141265	138523	134611	131354	128097	123824	122467	119930	116892	112671	108614	105094	101441	98084	94553	91857	87424	84092	79205	74533	73908	70051	66458	63030	59973	58353	54586	52390	49798	46688	43443	40924	39097	36705	35691	34458	32918	31263	29852	28296	27677	26889	25451	24331	22753	22220	21249	20123	20119	19255	18465	17763	17261	16782	16560	16339	16039	15607	15315	14897	14566	14170	13937	13631	13168	12673	12175	11735	11379	11118	10960	10526	9944	9706	9304	8919	8640	8364	7961	7648	7202	6948	6716	6526	6280	6043	5768	5459	5251	5064	4928	4718	4507	4234	3962	3798	3701	3539	3393	3111	3018	2726	2575	2456	2269	2018	1769	1596	1414	1289	1154	919	773	663	508	401	326	234	152	103	63	44	27	20	18	12	12	10	10	10	6	6	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Arkansas	50411	50025	49382	48811	48024	47028	46291	45380	44596	43710	43087	42431	41697	40914	40143	39415	38606	37978	37249	36257	35246	34655	33927	33227	32533	31762	31114	30297	29729	28938	28367	27855	26800	26048	25245	24508	24246	23809	23202	22617	22074	21197	20774	20251	19813	19307	18739	18057	17372	16677	16082	15561	15137	14626	13927	13606	13190	12917	12499	12094	11546	10814	10366	10076	9736	9424	9101	8651	8422	8062	7815	7442	7252	7010	6776	6531	6277	6177	6028	5920	5772	5610	5456	5002	4922	4812	4758	4576	4462	4365	4235	4161	4038	4007	3745	3745	3692	3607	3522	3461	3417	3358	3304	3269	3201	3122	3064	2998	2907	2807	2598	2391	2260	1969	1779	1776	1690	1615	1593	1495	1471	1274	1226	1201	1145	1075	991	924	853	740	732	678	621	560	503	444	402	375	327	295	221	185	159	118	100	62	37	28	22	16	12	8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	585181	571110	560236	554022	547943	539980	531891	526161	520357	512525	507711	500421	492309	482754	471436	461381	450801	446334	438368	429235	419555	407367	396577	384978	379114	370115	363293	353254	344791	333506	324444	318356	311254	300316	291350	283510	273077	256268	252194	250562	247249	237008	230359	222053	214507	209956	205969	200441	195441	190599	184357	177691	174423	170677	167090	163325	159045	155687	152969	150314	146999	143238	139736	136863	133884	131348	128965	126313	122995	119846	117521	115207	112703	110136	106651	104014	101877	99851	96673	94449	92664	90778	88324	86092	83870	81912	80175	78795	76959	74920	73093	71038	69417	67995	66799	64567	62373	60701	58752	56191	54947	53696	52253	50322	48795	46414	45172	43673	42565	41317	39556	37688	35814	33869	31591	30829	29420	28126	27097	25859	24437	23433	22562	21566	20336	19191	17706	16545	15356	14055	12755	11397	10172	8815	7643	6707	6058	5226	4368	3518	2990	2587	2105	1804	1597	1318	1107	923	740	621	504	406	304	278	221	194	131	119	79	62	48	34	30	22	22	18	16	15	13	13	12	12	12	9	9	9	8	8	8	8	8	7	7	6	6	6	6	6	6	6	6	4	4	4	4	4	3	3	2	0	0	0	0
Colorado	51441	51038	50659	50323	49893	49436	48987	48393	47967	47714	47266	46807	46203	45794	45311	44564	44331	43782	42977	42311	41682	41044	40557	40134	39785	39344	38724	38155	37684	37241	36913	36591	36189	35524	35115	34663	34255	34063	33864	33610	33352	33026	32713	32510	32303	32022	31795	31478	31153	30891	30703	30535	30347	30185	29899	29670	29429	29296	29127	29015	28819	28643	28495	28342	28178	27999	27846	27615	27359	27058	26785	26577	26378	26098	25612	25121	24766	24542	24248	24157	23954	23485	23178	22796	22475	22196	21927	21624	21224	20830	20467	20152	19875	19697	19371	18827	18371	17830	17364	16902	16624	16224	15766	15261	14743	14304	13793	13355	12884	12171	11182	10871	10440	10100	9723	9426	9046	8675	7493	7288	7127	6894	6635	6320	6098	5655	5429	5172	4950	4565	4173	3724	3341	2965	2624	2306	2061	1732	1429	1086	911	720	591	475	361	277	183	183	159	130	99	76	49	24	18	14	7	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	50684	50567	50320	50320	50320	50245	50223	50110	50062	49810	49810	49810	49668	49540	49077	48983	48776	48776	48776	48232	48198	48081	48040	47891	47891	47891	47750	47636	47530	47510	47287	47287	47287	47209	47108	47032	46975	46717	46717	46717	46646	46572	46513	46362	46302	46206	46059	45994	45911	45897	45782	45752	45715	45557	45355	45347	45276	45198	45054	44994	44688	44461	44347	44177	44092	43967	43817	43460	43238	43091	42978	42732	42201	42022	41762	41559	41288	41234	40873	40465	40022	39640	39203	39016	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31783	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24582	23921	23100	22469	20360	19815	17962	17550	16809	15884	14753	13989	13381	12035	11510	10538	9784	8781	7781	6906	5675	5276	4915	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	223	193	158	96	68	41	26	20	8	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	15699	15634	15575	15502	15444	15365	15296	15137	15055	14949	14877	14848	14782	14689	14602	14406	14290	14175	14171	13924	13792	13746	13624	13519	13429	13355	13114	13050	12972	12879	12804	12743	12652	12531	12462	12414	12293	12128	12100	11923	11731	11510	11479	11376	11222	11091	11017	10961	10886	10847	10820	10775	10679	10611	10499	10444	10401	10340	10264	10229	10173	10065	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7870	7670	7537	7366	7214	6952	6741	6555	6447	6280	6111	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2323	2075	2014	1926	1761	1638	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	165	119	119	104	87	56	45	39	30	26	17	8	7	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	542792	536961	532806	526577	518060	510389	502715	497292	491855	487102	480012	470386	461379	451393	441917	432709	423843	414509	402312	389868	379619	369823	360394	350047	337569	327239	315548	301810	291629	282435	269811	254511	244151	232718	223783	213794	206447	200111	190052	178589	169106	158997	152422	146338	141072	132495	122953	114017	109014	103485	100206	97270	93797	89748	85926	82716	80108	77325	75566	73549	70970	69069	67370	65998	64901	63934	62758	61487	60182	58762	57447	56828	56161	55421	54496	53285	52633	52254	51745	50866	50127	49447	48671	47470	46940	46436	45585	44810	44134	43209	42388	41884	40979	40593	39998	39196	38828	38001	37429	36892	36078	35460	34725	33690	33192	32844	32136	31527	30836	30533	29647	28576	27868	27056	26312	25491	24747	23340	22520	21625	21019	19858	18983	17968	16826	15698	14747	13629	12350	11544	10268	9008	7559	6741	5704	4948	4038	3198	2458	1975	1412	1227	1005	762	652	432	328	216	168	136	96	64	42	32	25	14	9	6	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	222588	219021	216594	213427	209004	204894	201703	197775	194798	192926	189994	186344	182276	178315	175006	170811	167925	165164	161385	156627	152031	148966	145766	143114	139866	135172	131261	127830	123956	118701	117025	114672	112216	108305	104056	101111	97728	95656	93496	91045	88481	84967	82086	80156	77316	75260	73461	71492	69661	67939	66273	64820	63926	62339	61229	60245	59218	58572	57743	56931	56044	55143	54115	53422	52773	51905	51343	50748	49987	49011	48394	47889	47079	46332	45855	45265	44588	42295	41187	40362	39572	39021	38234	37401	36706	36071	35528	35349	35077	34587	34125	33680	33268	32658	31823	31292	30708	30175	29196	28709	27928	27627	26805	25832	25128	24217	23592	22830	22566	22014	21476	20493	19662	19084	18216	17580	17152	16144	15120	14567	13621	12550	12261	11856	10880	10198	9128	7548	6729	6373	5959	5440	4744	4110	3024	2682	2445	2197	1633	1383	1090	797	618	555	483	283	197	145	120	98	66	43	43	32	19	17	5	5	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
